TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
BOS,27.3,63.0,19.0,57,25,6.38,-0.03,6.35,109.8,103.5,6.3,101.5,0.34,0.02,0.55,0.5,0.47,14.7,14.6,35.8,0.25,0.22,0.5,0.47,14.7,14.6,67.6,0.25,0.22,Boston Garden,612711,
PHI,28.1,58.0,24.0,56,26,5.73,0.0,5.74,109.6,103.9,5.7,100.6,0.35,0.02,0.57,0.52,0.48,15.5,16.5,30.5,0.26,0.26,0.52,0.48,15.5,16.5,65.0,0.26,0.26,The Spectrum,498901,
MIL,27.3,55.0,27.0,55,27,5.48,-0.1,5.38,107.7,102.3,5.4,100.0,0.33,0.02,0.55,0.51,0.47,16.5,15.9,35.1,0.25,0.25,0.51,0.47,16.5,15.9,67.3,0.25,0.25,MECCA Arena,443288,
LAL,26.8,57.0,25.0,53,29,4.87,-0.5,4.37,110.2,105.5,4.7,103.1,0.28,0.01,0.55,0.52,0.49,14.7,14.8,35.8,0.2,0.19,0.52,0.49,14.7,14.8,66.3,0.2,0.19,The Forum,605236,
SEA,26.4,52.0,30.0,52,30,4.13,-0.45,3.69,106.4,102.3,4.1,100.0,0.33,0.02,0.54,0.49,0.46,14.1,14.4,31.3,0.24,0.21,0.49,0.46,14.1,14.4,67.2,0.24,0.21,King County Domed Stadium,721049,
PHO,26.4,46.0,36.0,50,32,3.45,-0.4,3.05,105.8,102.4,3.4,99.5,0.3,0.02,0.54,0.5,0.47,15.9,14.6,32.2,0.23,0.23,0.5,0.47,15.9,14.6,68.5,0.23,0.23,Arizona Veterans Memorial Coliseum,486855,
SAS,26.1,48.0,34.0,47,35,2.3,-0.52,1.79,109.9,107.6,2.3,102.5,0.31,0.03,0.54,0.49,0.49,13.0,13.7,34.0,0.24,0.26,0.49,0.49,13.0,13.7,68.8,0.24,0.26,HemisFair Arena,434278,
WAB,26.0,43.0,39.0,43,39,0.88,0.19,1.06,103.3,102.5,0.8,99.4,0.29,0.03,0.52,0.48,0.47,14.7,13.9,29.4,0.23,0.23,0.48,0.47,14.7,13.9,69.9,0.23,0.23,Capital Centre,379891,
NJN,25.1,44.0,38.0,43,39,0.68,0.18,0.87,103.0,102.3,0.7,103.1,0.33,0.02,0.53,0.49,0.49,16.6,18.3,33.7,0.24,0.28,0.49,0.49,16.6,18.3,67.0,0.24,0.28,Brendan Byrne Arena,560734,13526.0
ALT,26.5,42.0,40.0,43,39,0.54,0.27,0.81,105.1,104.6,0.5,95.1,0.35,0.02,0.53,0.48,0.47,14.6,15.6,32.2,0.27,0.28,0.48,0.47,14.6,15.6,67.6,0.27,0.28,Omni Coliseum,314593,
GSW,25.1,45.0,37.0,44,38,1.04,-0.24,0.8,108.8,107.7,1.1,101.4,0.32,0.04,0.54,0.5,0.49,14.5,14.1,34.8,0.23,0.26,0.5,0.49,14.5,14.1,68.8,0.23,0.26,Oakland-Alameda County Coliseum Arena,391726,
POR,24.7,42.0,40.0,43,39,0.6,-0.21,0.39,108.8,108.2,0.6,100.5,0.33,0.02,0.55,0.51,0.5,14.4,15.0,32.5,0.24,0.22,0.51,0.5,14.4,15.0,65.9,0.24,0.22,Memorial Coliseum,519306,
DEN,27.0,46.0,36.0,42,40,0.52,-0.4,0.13,114.3,113.9,0.4,109.8,0.39,0.02,0.58,0.52,0.53,14.1,13.9,31.8,0.31,0.21,0.52,0.53,14.1,13.9,64.3,0.31,0.21,McNichols Sports Arena,456857,
HOU,28.3,46.0,36.0,41,41,-0.04,-0.36,-0.39,108.3,108.3,0.0,97.2,0.3,0.02,0.52,0.48,0.5,13.7,14.3,37.8,0.22,0.21,0.48,0.5,13.7,14.3,66.1,0.22,0.21,The Summit,480190,
DET,24.4,39.0,43.0,39,43,-0.91,0.28,-0.63,105.8,106.6,-0.8,104.3,0.35,0.03,0.53,0.48,0.51,16.0,16.4,34.8,0.26,0.22,0.48,0.51,16.0,16.4,66.9,0.26,0.22,Pontiac Silverdome,391205,
IND,27.0,35.0,47.0,36,46,-1.87,0.38,-1.49,102.7,104.6,-1.9,98.7,0.3,0.04,0.52,0.47,0.49,14.6,15.9,30.5,0.22,0.22,0.47,0.49,14.6,15.9,66.3,0.22,0.22,Market Square Arena,309633,
CHI,26.5,34.0,48.0,36,46,-2.02,0.45,-1.57,106.6,108.6,-2.0,99.0,0.38,0.03,0.56,0.5,0.5,17.3,13.2,33.6,0.29,0.21,0.5,0.5,17.3,13.2,69.0,0.29,0.21,Chicago Stadium,372613,
NYK,28.0,33.0,49.0,34,48,-2.67,0.52,-2.15,106.0,108.6,-2.6,99.5,0.3,0.03,0.54,0.5,0.51,15.4,15.4,33.1,0.22,0.26,0.5,0.51,15.4,15.4,66.9,0.22,0.26,Madison Square Garden (IV),451140,
KCK,24.0,30.0,52.0,33,49,-3.1,-0.15,-3.25,104.2,107.2,-3.0,101.8,0.3,0.02,0.53,0.5,0.5,15.5,16.5,29.9,0.21,0.29,0.5,0.5,15.5,16.5,66.0,0.21,0.29,Kemper Arena,305665,
DAL,24.4,28.0,54.0,29,53,-4.43,-0.06,-4.48,105.9,110.4,-4.5,98.5,0.33,0.03,0.52,0.47,0.51,13.7,14.5,33.9,0.24,0.27,0.47,0.51,13.7,14.5,66.8,0.24,0.27,Reunion Arena,380484,
UTA,24.8,25.0,57.0,27,55,-5.66,0.03,-5.63,106.2,111.7,-5.5,103.9,0.31,0.01,0.54,0.5,0.51,14.5,14.1,30.6,0.23,0.24,0.5,0.51,14.5,14.1,65.3,0.23,0.24,Salt Palace,311779,
SDC,25.4,17.0,65.0,23,59,-7.39,0.34,-7.05,106.6,113.8,-7.2,101.4,0.33,0.05,0.55,0.51,0.53,16.2,13.9,33.2,0.24,0.28,0.51,0.53,16.2,13.9,68.0,0.24,0.28,San Diego Sports Arena,225036,
CLE,26.1,15.0,67.0,20,62,-8.51,0.74,-7.77,103.3,111.8,-8.5,99.3,0.3,0.02,0.51,0.47,0.52,13.7,14.7,32.0,0.22,0.27,0.47,0.52,13.7,14.7,65.9,0.22,0.27,Coliseum at Richfield,232421,
