TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
GSW,26.6,67.0,15.0,65,17,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.24,0.31,0.57,0.54,0.47,13.1,14.3,24.1,0.18,0.22,0.54,0.47,13.1,14.3,74.5,0.18,0.22,Oracle Arena,803436,19596
LAC,28.8,56.0,26.0,58,24,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.3,0.32,0.56,0.53,0.49,11.6,13.2,22.8,0.22,0.23,0.53,0.49,11.6,13.2,75.7,0.22,0.23,STAPLES Center,785892,19168
SAS,29.8,55.0,27.0,58,24,6.2,0.14,6.34,108.5,102.0,6.5,93.8,0.26,0.27,0.56,0.52,0.48,13.1,13.3,23.4,0.2,0.19,0.52,0.48,13.1,13.3,77.3,0.2,0.19,AT&T Center,762855,18606
ALT,27.8,60.0,22.0,56,26,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.26,0.32,0.56,0.53,0.49,13.5,14.9,21.4,0.2,0.18,0.53,0.49,13.5,14.9,73.4,0.2,0.18,Philips Arena,713909,17412
POR,27.0,51.0,31.0,53,29,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.22,0.32,0.54,0.51,0.48,12.6,11.3,24.2,0.18,0.18,0.51,0.48,12.6,11.3,76.2,0.18,0.18,Moda Center,798368,19472
CLE,26.9,53.0,29.0,53,29,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.29,0.33,0.56,0.52,0.5,13.4,12.6,26.8,0.22,0.18,0.52,0.5,13.4,12.6,74.7,0.22,0.18,Quicken Loans Arena,843042,20562
HOU,27.6,56.0,26.0,50,32,3.44,0.38,3.82,107.0,103.4,3.6,96.5,0.31,0.39,0.55,0.51,0.49,15.0,14.6,26.8,0.22,0.21,0.51,0.49,15.0,14.6,72.9,0.22,0.21,Toyota Center,747412,18230
MEM,29.6,55.0,27.0,50,32,3.24,0.38,3.62,105.7,102.2,3.5,92.0,0.28,0.18,0.53,0.49,0.49,12.6,14.5,24.7,0.21,0.18,0.49,0.49,12.6,14.5,75.3,0.21,0.18,FedEx Forum,710502,17329
DAL,29.9,50.0,32.0,49,33,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.26,0.3,0.55,0.52,0.5,11.9,14.7,23.6,0.2,0.2,0.52,0.5,11.9,14.7,72.2,0.2,0.2,American Airlines Center,827702,20188
CHI,28.8,50.0,32.0,50,32,3.0,-0.46,2.54,107.5,104.3,3.2,92.8,0.3,0.27,0.54,0.49,0.47,12.9,11.3,27.0,0.24,0.18,0.49,0.47,12.9,11.3,74.4,0.24,0.18,United Center,886612,21625
OKC,25.4,45.0,37.0,47,35,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.28,0.26,0.53,0.49,0.49,13.1,12.4,28.9,0.21,0.21,0.49,0.49,13.1,12.4,75.6,0.21,0.21,Chesapeake Energy Arena,746323,18203
TOR,26.1,49.0,33.0,49,33,3.07,-0.62,2.45,111.0,107.7,3.3,92.8,0.3,0.3,0.55,0.51,0.51,12.0,13.4,25.6,0.23,0.21,0.51,0.51,12.0,13.4,73.3,0.23,0.21,Air Canada Centre,809824,19752
