SEASON,TEAM ID,TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DRB%,ARENA,ATTENDANCE,ATTENDANCE/G
2017,10,GSW,28.2,67.0,15.0,67,15,11.63,-0.28,11.35,115.6,104.0,11.6,99.8,0.26,0.36,0.6,0.56,13.2,22.8,0.2,74.9,Oracle Arena,803436,19596
2017,27,SAS,29.6,61.0,21.0,60,22,7.2,-0.06,7.13,111.1,103.5,7.6,94.2,0.26,0.28,0.56,0.52,12.6,24.0,0.21,77.6,AT&T Center,755347,18423
2017,11,HOU,27.4,55.0,27.0,55,27,5.77,0.08,5.84,114.7,109.0,5.7,100.0,0.3,0.46,0.58,0.55,13.3,24.6,0.23,75.8,Toyota Center,695903,16973
2017,13,LAC,30.0,51.0,31.0,52,30,4.29,0.13,4.42,112.7,108.2,4.5,96.1,0.31,0.33,0.57,0.54,12.0,21.5,0.23,76.9,STAPLES Center,782609,19088
2017,29,UTA,26.8,51.0,31.0,52,30,3.94,0.06,4.0,109.6,105.3,4.3,91.6,0.29,0.33,0.56,0.53,13.2,23.2,0.22,78.9,Vivint Smart Home Arena,806142,19662
2017,28,TOR,26.1,51.0,31.0,52,30,4.21,-0.56,3.65,112.3,107.8,4.5,94.7,0.29,0.29,0.56,0.52,11.8,25.0,0.23,76.3,Air Canada Centre,813050,19830
2017,6,CLE,29.2,51.0,31.0,49,33,3.18,-0.31,2.87,113.6,110.3,3.3,96.2,0.28,0.4,0.58,0.55,12.6,21.9,0.21,75.8,Quicken Loans Arena,843042,20562
2017,2,BOS,25.9,53.0,29.0,48,34,2.63,-0.39,2.25,111.2,108.4,2.8,96.8,0.27,0.39,0.57,0.52,12.2,21.2,0.22,75.3,TD Garden,760690,18553
2017,30,WAS,26.0,49.0,33.0,46,36,1.8,-0.45,1.36,111.2,109.3,1.9,97.4,0.25,0.28,0.56,0.53,12.8,24.1,0.2,75.5,Verizon Center,697107,17003
2017,21,OKC,24.7,47.0,35.0,43,39,0.76,0.39,1.14,108.3,107.5,0.8,97.8,0.3,0.3,0.54,0.5,13.2,27.9,0.22,79.0,Chesapeake Energy Arena,746323,18203
