SEASON,TEAM ID,TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DRB%,ARENA,ATTENDANCE,ATTENDANCE/G
1990,24,PHO,26.7,54.0,28.0,58,24,7.1,-0.01,7.09,113.1,106.2,6.9,100.7,0.38,0.08,0.56,0.51,13.3,31.1,0.3,68.8,Arizona Veterans Memorial Coliseum,578661,
1990,14,LAL,28.9,63.0,19.0,58,24,6.78,-0.04,6.74,114.0,107.0,7.0,96.3,0.34,0.12,0.56,0.51,13.2,32.8,0.27,68.5,Great Western Forum,712498,
1990,25,POR,26.7,59.0,23.0,57,25,6.32,0.16,6.48,110.5,104.4,6.1,102.3,0.36,0.08,0.54,0.49,13.4,36.5,0.27,70.8,Memorial Coliseum,528132,
1990,9,DET,29.5,59.0,23.0,57,25,6.09,-0.68,5.41,109.9,103.5,6.4,94.4,0.32,0.08,0.54,0.49,13.4,34.2,0.24,70.3,The Palace of Auburn Hills,879705,
1990,29,UTA,27.6,55.0,27.0,54,28,4.79,0.03,4.82,110.3,105.4,4.9,96.1,0.38,0.1,0.57,0.52,15.5,30.1,0.28,69.5,Salt Palace,517256,
1990,23,PHI,27.4,53.0,29.0,54,28,4.99,-0.75,4.23,113.5,108.4,5.1,96.5,0.36,0.08,0.56,0.5,12.9,32.0,0.28,68.4,The Spectrum,565926,
1990,27,SAS,26.4,56.0,26.0,50,32,3.49,0.09,3.58,107.7,104.2,3.5,98.5,0.36,0.03,0.54,0.49,14.7,34.2,0.27,68.7,HemisFair Arena,586787,
1990,2,BOS,30.2,52.0,30.0,51,31,3.99,-0.76,3.23,112.0,107.9,4.1,98.2,0.3,0.06,0.56,0.51,13.4,31.5,0.25,72.1,Boston Garden,611537,14890.0
1990,5,CHI,26.1,55.0,27.0,50,32,3.26,-0.51,2.74,112.3,109.0,3.3,96.7,0.3,0.09,0.56,0.52,13.4,31.9,0.24,68.1,Chicago Stadium,752564,
1990,11,HOU,27.9,41.0,41.0,45,37,1.46,0.24,1.71,104.8,103.4,1.4,101.2,0.31,0.07,0.53,0.49,15.5,33.1,0.22,69.2,The Summit,649702,
1990,8,DEN,29.5,43.0,39.0,45,37,1.41,0.15,1.56,108.0,106.7,1.3,105.4,0.28,0.08,0.52,0.48,11.2,29.1,0.22,71.3,McNichols Sports Arena,484288,
