TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
WAS,27.3,41.0,41.0,40,42,-0.5,0.0,-0.5,105.3,105.8,-0.5,98.5,0.26,0.28,0.54,0.51,0.52,13.1,14.6,20.6,0.19,0.22,0.51,0.52,13.1,14.6,77.7,0.19,0.22,Verizon Center,725426,17693
CHI,27.6,42.0,40.0,37,45,-1.48,0.01,-1.46,105.0,106.5,-1.5,95.7,0.24,0.24,0.53,0.49,0.48,12.6,10.7,24.5,0.19,0.18,0.49,0.48,12.6,10.7,74.9,0.19,0.18,United Center,894659,21821
ORL,23.9,35.0,47.0,36,46,-1.62,-0.06,-1.68,105.1,106.8,-1.7,96.0,0.23,0.26,0.53,0.5,0.51,12.8,13.8,23.1,0.18,0.22,0.5,0.51,12.8,13.8,76.5,0.18,0.22,Amway Center,719275,17515
MEM,30.5,42.0,40.0,35,47,-2.24,0.11,-2.14,105.4,107.8,-2.4,93.3,0.3,0.22,0.52,0.48,0.52,12.3,15.2,25.3,0.23,0.25,0.48,0.52,12.3,15.2,75.1,0.23,0.25,FedEx Forum,701894,17119
SAC,26.6,33.0,49.0,34,48,-2.48,0.16,-2.32,106.0,108.4,-2.4,100.0,0.3,0.26,0.55,0.51,0.52,14.2,14.0,23.9,0.21,0.2,0.51,0.52,14.2,14.0,74.9,0.21,0.2,Sleep Train Arena,707526,17222
NYK,27.2,32.0,50.0,33,49,-2.73,0.0,-2.74,104.6,107.6,-3.0,93.4,0.26,0.26,0.53,0.48,0.49,12.6,10.5,23.7,0.2,0.2,0.48,0.49,12.6,10.5,75.8,0.2,0.2,Madison Square Garden (IV),812292,19812
DEN,24.7,33.0,49.0,33,49,-3.1,0.29,-2.81,105.6,108.9,-3.3,95.7,0.28,0.28,0.53,0.49,0.52,13.2,12.6,25.8,0.22,0.22,0.49,0.52,13.2,12.6,77.3,0.22,0.22,Pepsi Center,577898,14095
MIN,24.6,29.0,53.0,31,51,-3.54,0.15,-3.38,106.5,110.1,-3.6,95.2,0.33,0.2,0.55,0.5,0.52,13.9,13.6,24.3,0.26,0.2,0.5,0.52,13.9,13.6,74.7,0.26,0.2,Target Center,581178,14175
NOP,26.6,30.0,52.0,31,51,-3.79,0.24,-3.56,105.6,109.5,-3.9,96.8,0.26,0.28,0.54,0.5,0.52,12.3,12.7,21.2,0.2,0.22,0.5,0.52,12.3,12.7,78.8,0.2,0.22,Smoothie King Center,688549,16794
MIL,23.5,33.0,49.0,29,53,-4.18,0.2,-3.98,104.3,108.7,-4.4,94.2,0.28,0.19,0.54,0.5,0.51,14.2,14.2,24.9,0.21,0.22,0.5,0.51,14.2,14.2,73.1,0.21,0.22,BMO Harris Bradley Center,621808,15166
PHO,26.0,23.0,59.0,24,58,-6.66,0.34,-6.32,102.2,109.0,-6.8,98.5,0.27,0.3,0.53,0.49,0.52,15.2,13.5,25.4,0.2,0.24,0.49,0.52,15.2,13.5,77.1,0.2,0.24,Talking Stick Resort Arena,701405,17107
BRK,26.9,21.0,61.0,22,60,-7.35,0.24,-7.12,103.2,110.9,-7.7,95.2,0.25,0.22,0.53,0.49,0.53,13.6,13.1,24.1,0.19,0.18,0.49,0.53,13.6,13.1,75.7,0.19,0.18,Barclays Center,620142,15125
LAL,26.5,17.0,65.0,17,65,-9.56,0.64,-8.92,101.6,111.6,-10.0,95.6,0.29,0.29,0.51,0.46,0.52,12.5,11.6,23.1,0.23,0.2,0.46,0.52,12.5,11.6,74.7,0.23,0.2,STAPLES Center,778877,18997
PHI,23.3,10.0,72.0,16,66,-10.23,0.31,-9.92,98.8,109.2,-10.4,97.9,0.27,0.33,0.52,0.49,0.51,14.8,13.5,20.6,0.19,0.24,0.49,0.51,14.8,13.5,74.0,0.19,0.24,Wells Fargo Center,614650,14991
