SEASON,TEAM ID,TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DRB%,ARENA,ATTENDANCE,ATTENDANCE/G
2013,21,OKC,26.0,60.0,22.0,64,18,9.21,-0.06,9.15,112.4,102.6,9.8,93.3,0.34,0.24,0.58,0.53,14.4,26.7,0.28,73.4,Chesapeake Energy Arena,746323,18203
2013,16,MIA,30.3,66.0,16.0,62,20,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.3,0.28,0.59,0.55,13.7,22.2,0.22,73.0,AmericanAirlines Arena,819290,19983
2013,27,SAS,28.6,58.0,24.0,58,24,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.26,0.26,0.57,0.53,14.0,20.5,0.2,74.9,AT&T Center,755700,18432
2013,13,LAC,28.8,56.0,26.0,59,23,6.45,-0.02,6.43,110.6,103.6,7.0,91.1,0.29,0.26,0.56,0.53,13.9,28.8,0.2,73.5,STAPLES Center,788293,19227
2013,8,DEN,26.1,57.0,25.0,55,27,5.09,0.28,5.37,110.4,105.1,5.3,95.1,0.31,0.22,0.55,0.52,13.6,31.4,0.22,71.8,Pepsi Center,730616,17820
2013,15,MEM,27.0,56.0,26.0,54,28,4.15,0.18,4.32,104.9,100.3,4.6,88.4,0.26,0.17,0.51,0.47,13.3,31.0,0.2,74.3,FedEx Forum,681613,16625
2013,20,NYK,30.2,54.0,28.0,53,29,4.23,-0.5,3.73,111.1,106.3,4.8,89.8,0.26,0.35,0.55,0.52,11.7,25.6,0.2,74.7,Madison Square Garden (IV),780353,19033
2013,11,HOU,24.4,45.0,37.0,50,32,3.48,0.22,3.69,109.7,106.1,3.6,96.1,0.31,0.35,0.56,0.52,14.9,26.4,0.23,75.2,Toyota Center,683564,16672
2013,12,IND,25.7,49.0,32.0,52,29,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.29,0.24,0.52,0.48,14.3,30.3,0.22,74.6,Bankers Life Fieldhouse,626069,15270
2013,14,LAL,30.7,45.0,37.0,44,38,1.16,0.32,1.48,107.8,106.6,1.2,94.4,0.34,0.3,0.55,0.51,13.9,27.0,0.24,74.3,STAPLES Center,778877,18997
2013,10,GSW,25.3,47.0,35.0,44,38,0.89,0.42,1.32,106.4,105.5,0.9,94.5,0.26,0.24,0.55,0.51,14.0,25.4,0.2,75.5,Oracle Arena,794320,19374
