TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
HOU,29.8,65.0,17.0,61,21,8.48,-0.27,8.21,114.7,106.1,8.6,97.6,0.3,0.5,0.59,0.55,0.52,12.7,13.4,21.3,0.23,0.17,0.55,0.52,12.7,13.4,79.9,0.23,0.17,Toyota Center,732722,17871
TOR,25.8,59.0,23.0,60,22,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.38,0.57,0.54,0.5,12.1,13.0,23.0,0.2,0.21,0.54,0.5,12.1,13.0,77.7,0.2,0.21,Air Canada Centre,813431,19840
GSW,28.8,58.0,24.0,56,26,5.98,-0.19,5.79,113.6,107.6,6.0,99.6,0.24,0.34,0.6,0.57,0.5,14.1,12.6,21.0,0.2,0.19,0.57,0.5,14.1,12.6,76.3,0.2,0.19,Oracle Arena,803436,19596
UTA,26.7,48.0,34.0,53,29,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.36,0.56,0.53,0.51,13.7,14.0,21.5,0.2,0.19,0.53,0.51,13.7,14.0,79.8,0.2,0.19,Vivint Smart Home Arena,734806,17922
PHI,25.8,52.0,30.0,53,29,4.5,-0.2,4.3,109.5,105.0,4.5,99.8,0.26,0.34,0.57,0.54,0.49,14.6,12.6,25.3,0.2,0.22,0.54,0.49,14.6,12.6,78.6,0.2,0.22,Wells Fargo Center,833503,20361
OKC,27.3,48.0,34.0,50,32,3.41,0.0,3.42,110.7,107.2,3.5,96.7,0.28,0.34,0.55,0.51,0.52,12.4,14.7,27.7,0.2,0.19,0.51,0.52,12.4,14.7,77.4,0.2,0.19,Chesapeake Energy Arena,746322,18203
BOS,24.7,55.0,27.0,51,31,3.59,-0.35,3.23,107.6,103.9,3.7,96.0,0.24,0.36,0.55,0.52,0.5,13.0,13.0,21.5,0.19,0.19,0.52,0.5,13.0,13.0,78.4,0.19,0.19,TD Garden,763584,18624
SAS,29.3,47.0,35.0,49,33,2.89,0.0,2.89,107.9,104.8,3.1,95.0,0.24,0.28,0.54,0.51,0.51,12.2,13.2,23.7,0.19,0.17,0.51,0.51,12.2,13.2,78.6,0.19,0.17,AT&T Center,754562,18404
POR,25.6,49.0,33.0,48,34,2.6,0.0,2.6,109.1,106.4,2.7,96.5,0.24,0.32,0.55,0.51,0.5,12.3,11.7,23.3,0.19,0.19,0.51,0.5,12.3,11.7,79.1,0.19,0.19,Moda Center,795750,19409
MIN,27.1,47.0,35.0,47,35,2.23,0.12,2.35,113.4,111.1,2.3,96.0,0.28,0.26,0.57,0.52,0.54,11.4,13.9,24.4,0.22,0.19,0.52,0.54,11.4,13.9,76.4,0.22,0.19,Target Center,699308,17056
