TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
MIL,25.7,59.0,23.0,58,24,6.85,-0.16,6.69,110.5,103.6,6.9,99.7,0.34,0.04,0.55,0.5,0.47,14.2,16.1,35.4,0.26,0.29,0.5,0.47,14.2,16.1,65.6,0.26,0.29,MECCA Arena,422924,
LAL,27.4,62.0,20.0,58,24,7.35,-0.87,6.48,114.1,107.0,7.1,103.2,0.31,0.04,0.59,0.55,0.48,15.7,13.7,33.8,0.24,0.22,0.55,0.48,15.7,13.7,67.1,0.24,0.22,The Forum,610361,15505.0
BOS,28.5,63.0,19.0,57,25,6.65,-0.18,6.47,112.8,106.3,6.5,101.6,0.32,0.04,0.56,0.52,0.48,13.8,12.6,32.8,0.25,0.2,0.52,0.48,13.8,12.6,70.4,0.25,0.2,Boston Garden,610547,14890.0
PHI,27.9,58.0,24.0,51,31,4.1,0.07,4.17,111.3,107.3,4.0,100.8,0.41,0.03,0.56,0.5,0.49,16.0,15.7,37.4,0.33,0.26,0.5,0.49,16.0,15.7,66.6,0.33,0.26,The Spectrum,575415,
POR,25.2,42.0,40.0,49,33,3.4,-0.6,2.8,110.4,107.2,3.2,103.5,0.36,0.03,0.55,0.51,0.5,14.8,15.9,34.0,0.27,0.23,0.51,0.5,14.8,15.9,64.4,0.27,0.23,Memorial Coliseum,519306,
DET,26.9,46.0,36.0,47,35,2.49,0.24,2.73,109.6,107.2,2.4,105.0,0.28,0.02,0.53,0.48,0.5,13.0,14.9,35.4,0.22,0.24,0.48,0.5,13.0,14.9,69.6,0.22,0.24,Pontiac Silverdome,691550,
DEN,28.3,52.0,30.0,47,35,2.44,-0.39,2.05,110.7,108.4,2.3,107.6,0.32,0.03,0.54,0.49,0.52,13.2,17.0,33.6,0.25,0.28,0.49,0.52,13.2,17.0,66.1,0.25,0.28,McNichols Sports Arena,448546,
DAL,25.0,44.0,38.0,47,35,2.17,-0.37,1.8,111.5,109.3,2.2,98.8,0.32,0.06,0.55,0.5,0.51,12.5,14.2,30.7,0.25,0.22,0.5,0.51,12.5,14.2,68.8,0.25,0.22,Reunion Arena,683916,
HOU,25.3,48.0,34.0,45,37,1.72,-0.34,1.38,107.9,106.3,1.6,102.2,0.3,0.02,0.54,0.51,0.49,16.0,15.2,37.4,0.21,0.26,0.51,0.49,16.0,15.2,67.4,0.21,0.26,The Summit,553014,
NJN,26.5,42.0,40.0,42,40,0.23,0.41,0.64,107.9,107.7,0.2,101.0,0.3,0.03,0.53,0.49,0.5,13.8,15.6,33.9,0.22,0.26,0.49,0.5,13.8,15.6,68.2,0.22,0.26,Brendan Byrne Arena,502177,
SAS,28.1,41.0,41.0,43,39,0.91,-0.29,0.63,109.9,109.0,0.9,103.9,0.36,0.03,0.56,0.52,0.5,15.6,15.0,33.2,0.27,0.27,0.52,0.5,15.6,15.0,68.5,0.27,0.27,HemisFair Arena,351950,
WAB,27.1,40.0,42.0,40,42,-0.27,0.42,0.15,104.3,104.6,-0.3,100.3,0.27,0.05,0.52,0.49,0.49,13.4,15.3,27.5,0.2,0.23,0.49,0.49,13.4,15.3,68.2,0.2,0.23,Capital Centre,383098,17042.0
