TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
CHI,27.1,50.0,16.0,51,15,8.18,-0.76,7.43,107.4,98.3,9.1,89.1,0.26,0.2,0.52,0.49,0.45,13.2,12.8,32.6,0.18,0.18,0.49,0.45,13.2,12.8,74.3,0.18,0.18,United Center,731326,22161
SAS,27.5,50.0,16.0,48,18,7.17,0.11,7.28,110.9,103.2,7.7,92.9,0.26,0.26,0.56,0.53,0.49,12.8,12.9,25.1,0.2,0.17,0.53,0.49,12.8,12.9,76.0,0.2,0.17,AT&T Center,607095,18397
OKC,25.1,47.0,19.0,46,20,6.12,0.32,6.44,109.8,103.2,6.6,93.0,0.33,0.25,0.57,0.52,0.46,15.3,13.0,27.8,0.27,0.21,0.52,0.46,15.3,13.0,72.1,0.27,0.21,Chesapeake Energy Arena,600699,18203
MIA,28.3,46.0,20.0,47,19,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,0.31,0.2,0.55,0.5,0.48,14.5,15.8,26.6,0.24,0.2,0.5,0.48,14.5,15.8,73.9,0.24,0.2,AmericanAirlines Arena,657855,19935
PHI,24.9,35.0,31.0,43,23,4.24,-0.65,3.59,103.9,99.2,4.7,89.7,0.22,0.18,0.51,0.48,0.46,10.9,13.5,24.4,0.16,0.19,0.48,0.46,10.9,13.5,75.2,0.16,0.19,Wells Fargo Center,577597,17503
DEN,26.6,38.0,28.0,39,27,2.88,0.29,3.16,109.2,106.2,3.0,94.2,0.33,0.24,0.56,0.52,0.51,14.1,14.3,27.7,0.24,0.18,0.52,0.51,14.1,14.3,74.3,0.24,0.18,Pepsi Center,561966,17029
LAC,27.3,40.0,26.0,39,27,2.56,0.26,2.82,108.5,105.7,2.8,89.2,0.29,0.27,0.53,0.5,0.49,12.7,14.2,29.5,0.2,0.24,0.5,0.49,12.7,14.2,73.2,0.2,0.24,STAPLES Center,634237,19219
ALT,27.9,40.0,26.0,41,25,3.44,-0.77,2.67,104.9,101.2,3.7,90.2,0.26,0.25,0.54,0.5,0.48,13.4,14.4,23.9,0.19,0.19,0.5,0.48,13.4,14.4,74.4,0.19,0.19,Philips Arena,501593,15200
IND,26.3,42.0,24.0,41,25,3.3,-0.71,2.6,106.7,103.1,3.6,90.7,0.32,0.2,0.53,0.47,0.48,13.1,14.1,29.2,0.25,0.22,0.47,0.48,13.1,14.1,72.3,0.25,0.22,Bankers Life Fieldhouse,467561,14169
MEM,25.6,41.0,25.0,38,28,2.02,0.42,2.43,104.0,101.8,2.2,90.8,0.28,0.16,0.52,0.47,0.48,13.6,16.3,29.8,0.21,0.23,0.47,0.48,13.6,16.3,72.7,0.21,0.23,FedEx Forum,518446,15710
NYK,26.3,36.0,30.0,41,25,3.2,-0.81,2.39,104.4,101.0,3.4,93.2,0.31,0.29,0.53,0.49,0.48,14.9,15.9,26.6,0.23,0.22,0.49,0.48,14.9,15.9,73.7,0.23,0.22,Madison Square Garden (IV),652179,19763
BOS,29.3,39.0,27.0,39,27,2.52,-0.26,2.26,101.0,98.2,2.8,90.4,0.26,0.19,0.54,0.5,0.45,14.7,14.9,19.7,0.2,0.22,0.5,0.45,14.7,14.9,72.4,0.2,0.22,TD Garden,614592,18624
LAL,29.7,41.0,25.0,36,30,1.42,0.54,1.96,106.0,104.4,1.6,90.5,0.3,0.21,0.53,0.49,0.48,14.2,10.7,29.1,0.23,0.16,0.49,0.48,14.2,10.7,74.8,0.23,0.16,STAPLES Center,626901,18997
DAL,31.3,36.0,30.0,35,31,0.95,0.83,1.78,103.3,102.3,1.0,91.4,0.25,0.27,0.53,0.49,0.48,13.4,13.9,23.4,0.19,0.2,0.49,0.48,13.4,13.9,74.8,0.19,0.2,American Airlines Center,671050,20335
UTA,25.6,36.0,30.0,34,32,0.62,0.3,0.92,106.8,106.1,0.7,91.4,0.3,0.15,0.52,0.48,0.49,13.0,13.8,30.2,0.23,0.24,0.48,0.49,13.0,13.8,73.8,0.23,0.24,EnergySolutions Arena,637124,19307
HOU,26.2,34.0,32.0,34,32,0.23,0.35,0.57,105.5,105.2,0.3,91.7,0.24,0.24,0.53,0.49,0.49,13.5,13.8,27.5,0.18,0.21,0.49,0.49,13.5,13.8,73.4,0.18,0.21,Toyota Center,506994,15363
ORL,27.5,37.0,29.0,35,31,0.79,-0.33,0.46,105.0,104.1,0.9,89.0,0.29,0.35,0.53,0.51,0.49,14.5,12.9,26.5,0.19,0.19,0.51,0.49,14.5,12.9,75.5,0.19,0.19,Amway Center,623587,18897
PHO,28.9,33.0,33.0,32,34,-0.24,0.53,0.29,106.2,106.5,-0.3,92.6,0.26,0.24,0.54,0.5,0.49,13.3,13.1,25.8,0.19,0.2,0.5,0.49,13.3,13.1,71.7,0.19,0.2,US Airways Center,514718,15598
POR,27.5,28.0,38.0,32,34,-0.62,0.41,-0.22,105.7,106.4,-0.7,91.2,0.26,0.26,0.53,0.49,0.5,13.4,14.1,26.3,0.21,0.2,0.49,0.5,13.4,14.1,72.8,0.21,0.2,Rose Garden Arena,676384,20496
MIL,26.2,31.0,35.0,34,32,0.27,-0.5,-0.23,105.5,105.2,0.3,93.7,0.25,0.22,0.52,0.48,0.49,12.9,14.6,27.7,0.19,0.22,0.48,0.49,12.9,14.6,70.9,0.19,0.22,Bradley Center,485717,14719
MIN,24.4,26.0,40.0,28,38,-2.2,0.37,-1.83,104.3,106.6,-2.3,93.3,0.31,0.26,0.52,0.48,0.49,14.0,12.2,27.5,0.24,0.19,0.48,0.49,14.0,12.2,73.0,0.24,0.19,Target Center,577197,17491
GSW,25.3,23.0,43.0,25,41,-3.41,0.62,-2.79,105.4,109.1,-3.7,92.3,0.23,0.25,0.54,0.5,0.5,13.3,13.6,22.9,0.18,0.24,0.5,0.5,13.3,13.6,69.1,0.18,0.24,Oracle Arena,622311,18858
NOH,25.5,21.0,45.0,24,42,-3.76,0.65,-3.11,100.9,105.1,-4.2,88.3,0.27,0.15,0.52,0.48,0.48,15.2,13.5,27.5,0.21,0.22,0.48,0.48,15.2,13.5,73.1,0.21,0.22,New Orleans Arena,498618,15110
TOR,25.7,23.0,43.0,25,41,-3.3,-0.36,-3.67,100.8,104.5,-3.7,89.3,0.27,0.21,0.52,0.48,0.48,14.8,12.8,25.9,0.21,0.26,0.48,0.48,14.8,12.8,75.4,0.21,0.26,Air Canada Centre,555584,16836
