TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
SAS,30.1,37.0,13.0,39,11,8.06,-0.94,7.12,104.0,95.0,9.0,88.6,0.37,0.14,0.52,0.48,0.42,14.6,13.8,30.4,0.26,0.2,0.48,0.42,14.6,13.8,69.5,0.26,0.2,Alamodome,527357,
POR,27.4,35.0,15.0,36,14,6.36,-0.69,5.67,104.8,97.7,7.1,89.2,0.34,0.17,0.52,0.47,0.44,14.5,14.9,31.8,0.25,0.23,0.47,0.44,14.5,14.9,71.8,0.25,0.23,Rose Garden Arena,486556,
UTA,30.3,37.0,13.0,37,13,6.52,-0.99,5.54,105.8,98.4,7.4,87.0,0.42,0.11,0.55,0.48,0.44,16.0,14.4,30.0,0.32,0.24,0.48,0.44,16.0,14.4,70.4,0.32,0.24,Delta Center,493120,
MIA,30.3,33.0,17.0,35,15,4.96,0.15,5.11,104.7,98.9,5.8,84.8,0.35,0.23,0.54,0.49,0.44,15.3,13.6,27.3,0.26,0.23,0.49,0.44,15.3,13.6,71.0,0.26,0.23,Miami Arena,378813,
DET,27.7,29.0,21.0,32,18,3.42,0.55,3.97,104.2,100.3,3.9,86.3,0.34,0.18,0.53,0.48,0.47,15.6,15.4,30.5,0.26,0.26,0.48,0.47,15.6,15.4,72.0,0.26,0.26,The Palace of Auburn Hills,444585,
IND,30.8,33.0,17.0,32,18,3.74,0.12,3.86,108.7,104.4,4.3,86.4,0.32,0.21,0.54,0.49,0.46,12.8,12.7,28.7,0.25,0.24,0.49,0.46,12.8,12.7,69.9,0.25,0.24,Market Square Arena,404536,
ORL,28.7,33.0,17.0,30,20,2.6,0.51,3.11,100.3,97.4,2.9,88.8,0.32,0.17,0.5,0.46,0.47,15.4,16.7,32.6,0.22,0.18,0.46,0.47,15.4,16.7,70.8,0.22,0.18,Orlando Arena,411091,
ALT,29.6,31.0,19.0,31,19,2.9,-0.08,2.82,100.5,97.1,3.4,85.3,0.38,0.17,0.49,0.44,0.44,14.5,13.4,33.1,0.28,0.2,0.44,0.44,14.5,13.4,72.1,0.28,0.2,Georgia Dome,331831,
LAL,27.5,31.0,19.0,30,20,3.02,-0.35,2.68,107.6,104.3,3.3,91.6,0.38,0.17,0.54,0.5,0.47,14.1,13.3,30.6,0.26,0.27,0.5,0.47,14.1,13.3,70.2,0.26,0.27,Great Western Forum,430007,
PHI,26.0,28.0,22.0,29,21,2.06,0.5,2.56,99.9,97.6,2.3,88.6,0.38,0.1,0.49,0.44,0.45,15.3,17.1,34.2,0.28,0.25,0.44,0.45,15.3,17.1,69.8,0.28,0.25,First Union Center,436444,
PHO,29.3,27.0,23.0,29,21,2.26,-0.11,2.15,105.8,103.3,2.5,90.0,0.3,0.18,0.53,0.48,0.48,13.0,15.4,28.4,0.23,0.22,0.48,0.48,13.0,15.4,69.8,0.23,0.22,America West Arena,472283,
MIL,28.3,28.0,22.0,28,22,1.66,0.0,1.66,104.9,103.0,1.9,87.0,0.3,0.16,0.53,0.49,0.46,14.3,16.0,29.0,0.22,0.28,0.49,0.46,14.3,16.0,67.6,0.22,0.28,Bradley Center,381948,
NYK,29.0,27.0,23.0,27,23,1.02,0.43,1.45,98.6,97.5,1.1,86.9,0.33,0.16,0.51,0.46,0.43,15.9,14.9,27.9,0.24,0.26,0.46,0.43,15.9,14.9,71.0,0.24,0.26,Madison Square Garden (IV),494075,
HOU,29.6,31.0,19.0,29,21,2.32,-0.93,1.39,105.4,102.9,2.5,88.8,0.31,0.24,0.55,0.51,0.46,15.8,12.4,27.8,0.23,0.19,0.51,0.46,15.8,12.4,69.9,0.23,0.19,Compaq Center,407125,
CHO,29.0,26.0,24.0,25,25,-0.1,0.73,0.63,102.3,102.4,-0.1,89.7,0.37,0.2,0.54,0.48,0.46,15.5,14.3,24.4,0.28,0.24,0.48,0.46,15.5,14.3,69.5,0.28,0.24,Charlotte Coliseum,480807,
MIN,27.2,25.0,25.0,26,24,0.38,-0.55,-0.17,101.9,101.5,0.4,91.0,0.26,0.1,0.48,0.44,0.47,11.7,15.8,32.5,0.2,0.28,0.44,0.47,11.7,15.8,70.2,0.2,0.28,Target Center,427974,
SAC,26.1,27.0,23.0,24,26,-0.42,-0.47,-0.89,102.7,103.1,-0.4,96.0,0.3,0.22,0.51,0.48,0.47,14.7,13.7,30.6,0.2,0.18,0.48,0.47,14.7,13.7,67.7,0.2,0.18,ARCO Arena (II),418751,
