TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
CLE,26.6,66.0,16.0,65,17,8.93,-0.25,8.68,112.4,102.4,10.0,88.7,0.31,0.26,0.56,0.52,0.47,12.5,13.5,27.7,0.24,0.23,0.52,0.47,12.5,13.5,74.6,0.24,0.23,Quicken Loans Arena,841000,20512
BOS,27.8,62.0,20.0,61,21,7.51,-0.07,7.44,110.5,102.3,8.2,90.4,0.33,0.21,0.57,0.53,0.47,15.0,14.0,27.9,0.25,0.25,0.53,0.47,15.0,14.0,75.6,0.25,0.25,TD Banknorth Garden,763584,18624
LAL,27.4,65.0,17.0,61,21,7.66,-0.55,7.11,112.8,104.7,8.1,94.3,0.3,0.22,0.56,0.51,0.49,12.3,14.2,29.4,0.23,0.21,0.51,0.49,12.3,14.2,73.0,0.23,0.21,STAPLES Center,778877,18997
ORL,27.3,59.0,23.0,59,23,6.7,-0.21,6.48,109.2,101.9,7.3,92.3,0.35,0.34,0.56,0.52,0.46,13.4,12.3,24.0,0.25,0.21,0.52,0.46,13.4,12.3,75.9,0.25,0.21,Amway Arena,698768,17043
POR,24.0,54.0,28.0,56,26,5.34,-0.35,5.0,113.9,107.8,6.1,86.6,0.31,0.24,0.55,0.51,0.5,12.5,13.2,32.6,0.23,0.23,0.51,0.5,12.5,13.2,75.0,0.23,0.23,Rose Garden Arena,841499,20524
HOU,27.9,53.0,29.0,53,29,4.0,-0.27,3.73,108.4,104.0,4.4,90.2,0.29,0.25,0.55,0.5,0.48,13.6,11.9,26.4,0.24,0.19,0.5,0.48,13.6,11.9,75.3,0.24,0.19,Toyota Center,717669,17504
SAS,30.4,54.0,28.0,52,30,3.76,-0.4,3.36,108.5,104.3,4.2,88.4,0.25,0.25,0.55,0.51,0.49,11.7,11.7,22.1,0.19,0.19,0.51,0.49,11.7,11.7,78.0,0.19,0.19,AT&T Center,749048,18269
DEN,27.7,54.0,28.0,50,32,3.41,-0.29,3.13,110.4,106.8,3.6,94.3,0.38,0.23,0.56,0.51,0.48,14.2,14.1,27.5,0.29,0.26,0.51,0.48,14.2,14.1,71.7,0.29,0.26,Pepsi Center,706165,17224
UTA,25.5,48.0,34.0,48,34,2.65,-0.34,2.31,110.1,107.3,2.8,93.1,0.36,0.17,0.55,0.5,0.5,13.6,15.0,28.2,0.27,0.26,0.5,0.5,13.6,15.0,72.7,0.27,0.26,EnergySolutions Arena,816042,19903
ALT,25.8,47.0,35.0,46,36,1.57,0.13,1.7,109.3,107.6,1.7,89.6,0.32,0.25,0.55,0.5,0.49,12.5,13.2,26.0,0.24,0.21,0.5,0.49,12.5,13.2,71.6,0.24,0.21,Philips Arena,686688,16748
