TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
SAS,29.5,58.0,24.0,63,19,7.76,0.16,7.92,106.6,98.0,8.6,89.6,0.37,0.18,0.54,0.5,0.44,13.6,12.9,27.1,0.27,0.18,0.5,0.44,13.6,12.9,73.7,0.27,0.18,Alamodome,913176,22273
SAC,27.1,55.0,27.0,57,25,5.82,0.25,6.07,105.6,99.6,6.0,94.4,0.3,0.19,0.53,0.48,0.46,13.4,14.5,27.2,0.23,0.18,0.48,0.46,13.4,14.5,70.7,0.23,0.18,ARCO Arena (II),709997,17317
UTA,32.0,53.0,29.0,55,27,4.7,0.31,5.0,107.6,102.4,5.2,89.8,0.36,0.14,0.55,0.5,0.47,15.1,15.6,30.2,0.27,0.3,0.5,0.47,15.1,15.6,73.2,0.27,0.3,Delta Center,792196,19322
DAL,26.6,53.0,29.0,53,29,4.28,0.32,4.61,107.1,102.6,4.5,93.2,0.29,0.2,0.54,0.5,0.47,13.1,14.2,24.1,0.23,0.24,0.5,0.47,13.1,14.2,70.7,0.23,0.24,Reunion Arena,680238,16591
POR,30.1,50.0,32.0,53,29,4.2,0.33,4.52,106.5,101.8,4.7,89.1,0.3,0.16,0.54,0.5,0.47,14.8,14.3,30.0,0.22,0.22,0.5,0.47,14.8,14.3,72.4,0.22,0.22,Rose Garden Arena,831376,20277
LAL,29.2,56.0,26.0,51,31,3.38,0.37,3.74,108.4,104.8,3.6,91.7,0.35,0.19,0.54,0.5,0.47,13.3,12.2,31.1,0.24,0.23,0.5,0.47,13.3,12.2,72.5,0.24,0.23,STAPLES Center,776336,18935
PHI,28.2,56.0,26.0,54,28,4.28,-0.65,3.64,103.6,98.9,4.7,90.6,0.35,0.12,0.52,0.47,0.46,14.7,14.5,31.2,0.26,0.19,0.47,0.46,14.7,14.5,72.5,0.26,0.19,First Union Center,805692,19651
MIL,28.2,52.0,30.0,52,30,3.88,-0.74,3.14,108.8,104.6,4.2,92.1,0.28,0.22,0.54,0.5,0.47,12.8,14.4,28.1,0.22,0.25,0.5,0.47,12.8,14.4,71.1,0.22,0.25,Bradley Center,683125,16662
HOU,26.7,45.0,37.0,48,34,2.29,0.42,2.71,106.7,104.2,2.5,90.4,0.32,0.22,0.54,0.49,0.48,14.0,12.6,27.5,0.24,0.21,0.49,0.48,14.0,12.6,71.9,0.24,0.21,Compaq Center,518555,12648
PHO,28.6,51.0,31.0,48,34,2.21,0.42,2.63,100.3,98.0,2.3,93.1,0.29,0.16,0.51,0.46,0.46,14.1,16.3,27.3,0.22,0.25,0.46,0.46,14.1,16.3,73.7,0.22,0.25,America West Arena,737586,17990
