TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
SAS,30.4,58.0,24.0,64,18,8.43,-0.08,8.35,109.2,99.9,9.3,89.8,0.31,0.25,0.56,0.52,0.47,13.6,14.0,24.2,0.24,0.2,0.52,0.47,13.6,14.0,75.7,0.24,0.2,AT&T Center,764823,18654
DAL,28.1,67.0,15.0,61,21,7.22,0.06,7.28,111.3,103.2,8.1,89.5,0.32,0.22,0.56,0.51,0.48,13.4,14.2,28.7,0.26,0.26,0.51,0.48,13.4,14.2,75.0,0.26,0.26,American Airlines Center,834411,20351
PHO,27.6,61.0,21.0,59,23,7.3,-0.03,7.28,113.9,106.4,7.5,95.6,0.27,0.29,0.59,0.55,0.49,13.4,13.6,22.7,0.22,0.21,0.55,0.49,13.4,13.6,71.9,0.22,0.21,US Airways Center,755302,18422
HOU,28.2,52.0,30.0,55,27,4.85,0.19,5.04,106.0,100.7,5.3,90.7,0.29,0.29,0.54,0.5,0.47,13.6,13.6,25.7,0.22,0.23,0.5,0.47,13.6,13.6,77.0,0.22,0.23,Toyota Center,678362,16545
CHI,26.0,49.0,33.0,55,27,5.01,-0.49,4.52,104.9,99.6,5.3,93.6,0.31,0.19,0.53,0.49,0.47,14.7,16.2,28.6,0.23,0.25,0.49,0.47,14.7,16.2,74.3,0.23,0.25,United Center,912364,22253
DET,29.0,53.0,29.0,53,29,4.16,-0.47,3.69,108.9,104.2,4.7,87.3,0.31,0.2,0.54,0.49,0.48,12.0,14.3,28.3,0.24,0.23,0.49,0.48,12.0,14.3,70.9,0.24,0.23,The Palace of Auburn Hills,905116,22076
CLE,26.9,50.0,32.0,52,30,3.83,-0.5,3.33,105.5,101.3,4.2,90.8,0.32,0.21,0.52,0.48,0.48,13.4,14.7,29.7,0.22,0.24,0.48,0.48,13.4,14.7,75.8,0.22,0.24,Quicken Loans Arena,837883,20436
UTA,25.9,51.0,31.0,49,33,2.87,0.2,3.06,110.1,107.0,3.1,91.6,0.38,0.16,0.55,0.5,0.5,14.5,14.4,31.7,0.28,0.31,0.5,0.5,14.5,14.4,75.1,0.28,0.31,EnergySolutions Arena,802214,19566
DEN,26.5,45.0,37.0,45,37,1.62,0.07,1.69,107.6,105.9,1.7,97.4,0.36,0.21,0.55,0.5,0.5,14.6,14.5,28.9,0.27,0.2,0.5,0.5,14.6,14.5,71.8,0.27,0.2,Pepsi Center,706437,17230
TOR,26.0,47.0,35.0,44,38,0.99,-0.38,0.61,107.0,106.0,1.0,92.6,0.3,0.22,0.55,0.5,0.5,13.0,14.3,22.2,0.24,0.22,0.5,0.5,13.0,14.3,74.5,0.24,0.22,Air Canada Centre,748603,18259
ORL,25.6,40.0,42.0,43,39,0.78,-0.43,0.35,104.9,104.1,0.8,89.9,0.39,0.16,0.54,0.5,0.48,16.3,14.6,29.3,0.28,0.29,0.5,0.48,16.3,14.6,73.7,0.28,0.29,Amway Arena,700887,17095
LAL,25.3,42.0,40.0,41,41,-0.07,0.32,0.24,108.6,108.6,0.0,93.5,0.33,0.26,0.55,0.51,0.5,14.3,13.5,26.1,0.25,0.26,0.51,0.5,14.3,13.5,72.3,0.25,0.26,STAPLES Center,778415,18986
GSW,24.6,42.0,40.0,40,42,-0.34,0.34,0.0,107.0,107.4,-0.4,99.2,0.3,0.28,0.55,0.51,0.51,14.1,16.1,25.6,0.22,0.26,0.51,0.51,14.1,16.1,69.6,0.22,0.26,Oracle Arena,742267,18104
LAC,27.5,40.0,42.0,40,42,-0.46,0.39,-0.07,105.1,105.6,-0.5,90.8,0.36,0.14,0.54,0.48,0.49,14.5,13.3,27.2,0.28,0.25,0.48,0.49,14.5,13.3,74.7,0.28,0.25,STAPLES Center,755261,18421
WAS,26.8,41.0,41.0,40,42,-0.51,-0.28,-0.8,110.1,110.6,-0.5,94.1,0.36,0.24,0.54,0.49,0.52,12.6,14.4,28.1,0.27,0.25,0.49,0.52,12.6,14.4,71.0,0.27,0.25,Verizon Center,753283,18373
NJN,28.2,41.0,41.0,39,43,-0.77,-0.23,-1.0,105.7,106.6,-0.9,91.4,0.34,0.26,0.55,0.5,0.49,14.2,13.7,24.6,0.24,0.27,0.5,0.49,14.2,13.7,74.4,0.24,0.27,Continental Airlines Arena,693955,16926
NOK,26.4,39.0,43.0,36,46,-1.57,0.38,-1.19,104.8,106.5,-1.7,90.2,0.29,0.19,0.52,0.48,0.5,13.6,13.2,29.1,0.22,0.21,0.48,0.5,13.6,13.2,74.7,0.22,0.21,Ford Center,731165,17954
MIA,29.3,44.0,38.0,38,44,-0.91,-0.29,-1.21,104.3,105.3,-1.0,89.9,0.32,0.24,0.54,0.51,0.48,14.3,13.8,24.9,0.22,0.23,0.51,0.48,14.3,13.8,73.3,0.22,0.23,AmericanAirlines Arena,808541,19721
SAC,27.3,33.0,49.0,36,46,-1.8,0.46,-1.35,106.2,108.0,-1.8,94.8,0.38,0.23,0.55,0.49,0.51,13.5,14.9,23.1,0.29,0.24,0.49,0.51,13.5,14.9,72.5,0.29,0.24,ARCO Arena (II),709997,17317
SEA,25.9,31.0,51.0,33,49,-2.89,0.45,-2.45,107.2,110.3,-3.1,91.8,0.29,0.22,0.54,0.5,0.52,14.5,14.1,27.8,0.23,0.24,0.5,0.52,14.5,14.1,70.9,0.23,0.24,KeyArena at Seattle Center,654163,15955
IND,27.2,35.0,47.0,34,48,-2.44,-0.18,-2.62,102.9,105.5,-2.6,92.4,0.32,0.21,0.52,0.47,0.49,15.1,14.8,28.4,0.25,0.27,0.47,0.49,15.1,14.8,72.7,0.25,0.27,Conseco Fieldhouse,629750,15360
NYK,25.4,33.0,49.0,33,49,-2.85,-0.21,-3.06,105.7,108.8,-3.1,90.8,0.38,0.22,0.54,0.49,0.5,15.9,13.0,31.0,0.27,0.25,0.49,0.5,15.9,13.0,74.0,0.27,0.25,Madison Square Garden (IV),770617,18796
MIN,27.7,32.0,50.0,30,52,-3.67,0.51,-3.16,103.9,107.9,-4.0,91.0,0.29,0.17,0.54,0.49,0.5,14.8,13.3,25.1,0.23,0.23,0.49,0.5,14.8,13.3,72.1,0.23,0.23,Target Center,655947,15999
PHI,26.2,35.0,47.0,32,50,-3.02,-0.23,-3.26,103.6,106.9,-3.3,90.7,0.33,0.13,0.53,0.48,0.5,14.6,14.7,27.2,0.26,0.22,0.48,0.5,14.6,14.7,70.8,0.26,0.22,Wachovia Center,608603,14844
BOS,23.5,24.0,58.0,31,51,-3.41,-0.29,-3.7,103.2,106.9,-3.7,92.0,0.34,0.2,0.53,0.48,0.5,15.4,14.5,27.0,0.26,0.28,0.48,0.5,15.4,14.5,73.8,0.26,0.28,TD Banknorth Garden,690576,16843
POR,24.4,32.0,50.0,29,53,-4.29,0.51,-3.78,105.1,109.9,-4.8,88.3,0.31,0.19,0.53,0.48,0.51,14.5,13.5,28.2,0.24,0.27,0.48,0.51,14.5,13.5,73.0,0.24,0.27,Rose Garden Arena,670778,16360
CHA,25.5,33.0,49.0,30,52,-3.74,-0.22,-3.97,103.6,107.6,-4.0,92.0,0.32,0.19,0.52,0.48,0.5,13.9,14.7,26.4,0.24,0.28,0.48,0.5,13.9,14.7,71.6,0.24,0.28,Charlotte Bobcats Arena,637520,15549
MIL,26.0,28.0,54.0,29,53,-4.38,-0.06,-4.43,107.0,111.7,-4.7,92.3,0.29,0.22,0.54,0.5,0.52,14.1,14.5,27.6,0.21,0.23,0.5,0.52,14.1,14.5,68.1,0.21,0.23,Bradley Center,663629,16186
MEM,26.2,22.0,60.0,27,55,-5.15,0.71,-4.44,106.9,112.3,-5.4,93.6,0.37,0.21,0.56,0.5,0.53,15.2,14.0,25.9,0.28,0.24,0.5,0.53,15.2,14.0,71.1,0.28,0.24,FedEx Forum,600836,14655
ALT,24.1,30.0,52.0,27,55,-4.76,-0.1,-4.86,103.0,108.3,-5.3,90.0,0.35,0.16,0.52,0.47,0.5,15.1,14.5,29.2,0.26,0.27,0.47,0.5,15.1,14.5,70.9,0.26,0.27,Philips Arena,639375,15595
