TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
SAS,27.3,57.0,25.0,62,20,7.22,0.29,7.51,102.2,94.1,8.1,89.2,0.32,0.18,0.51,0.47,0.43,14.1,14.8,29.5,0.22,0.22,0.47,0.43,14.1,14.8,74.6,0.22,0.22,SBC Center,739706,18042
MIN,29.7,58.0,24.0,57,25,5.49,0.37,5.86,105.9,99.7,6.2,89.0,0.26,0.14,0.53,0.49,0.44,12.4,12.9,26.7,0.21,0.22,0.49,0.44,12.4,12.9,72.5,0.21,0.22,Target Center,723071,17636
SAC,29.3,55.0,27.0,55,27,5.01,0.4,5.41,110.3,104.9,5.4,92.8,0.3,0.22,0.55,0.51,0.48,13.0,13.7,26.0,0.24,0.19,0.51,0.48,13.0,13.7,69.8,0.24,0.19,ARCO Arena (II),709997,17317
DET,27.4,54.0,28.0,59,23,5.84,-0.81,5.04,102.0,95.4,6.6,87.9,0.33,0.15,0.51,0.46,0.44,14.7,15.5,30.1,0.25,0.2,0.46,0.44,14.7,15.5,71.8,0.25,0.2,The Palace of Auburn Hills,872902,21290
IND,27.1,61.0,21.0,58,24,5.76,-0.82,4.93,103.8,97.2,6.6,87.5,0.32,0.2,0.52,0.47,0.46,14.1,15.7,28.5,0.24,0.22,0.47,0.46,14.1,15.7,73.9,0.24,0.22,Conseco Fieldhouse,678326,16545
DAL,27.4,52.0,30.0,53,29,4.44,0.42,4.86,112.1,107.4,4.7,93.2,0.26,0.2,0.54,0.5,0.5,11.1,13.9,31.4,0.2,0.21,0.5,0.5,11.1,13.9,71.6,0.2,0.21,American Airlines Center,825594,20136
LAL,29.8,56.0,26.0,52,30,3.9,0.45,4.35,105.5,101.3,4.2,92.3,0.35,0.17,0.52,0.48,0.47,12.8,14.3,28.1,0.24,0.22,0.48,0.47,12.8,14.3,73.3,0.24,0.22,STAPLES Center,777757,18970
MEM,26.0,50.0,32.0,48,34,2.44,0.52,2.95,104.8,102.2,2.6,91.4,0.32,0.2,0.52,0.48,0.46,13.9,15.7,29.5,0.23,0.25,0.48,0.46,13.9,15.7,68.4,0.23,0.25,Pyramid Arena,622723,15188
HOU,28.3,45.0,37.0,47,35,1.73,0.55,2.28,100.9,99.0,1.9,87.8,0.29,0.23,0.53,0.48,0.45,16.4,13.1,26.5,0.22,0.23,0.48,0.45,16.4,13.1,74.5,0.22,0.23,Toyota Center,640794,15629
NJN,27.7,47.0,35.0,49,33,2.5,-0.63,1.88,100.8,98.0,2.8,89.4,0.29,0.18,0.52,0.47,0.46,14.4,15.7,25.9,0.22,0.22,0.47,0.46,14.4,15.7,73.9,0.22,0.22,Continental Airlines Arena,613051,14952
DEN,25.6,43.0,39.0,44,38,1.07,0.58,1.65,103.9,102.7,1.2,93.3,0.32,0.15,0.52,0.47,0.48,14.2,15.6,30.5,0.24,0.22,0.47,0.48,14.2,15.6,69.3,0.24,0.22,Pepsi Center,721476,17597
MIL,26.5,41.0,41.0,44,38,1.06,-0.64,0.42,106.5,105.4,1.1,91.6,0.33,0.17,0.53,0.48,0.48,12.7,13.3,27.6,0.26,0.21,0.48,0.48,12.7,13.3,71.8,0.26,0.21,Bradley Center,690180,16834
SEA,26.0,37.0,45.0,39,43,-0.63,0.66,0.02,107.3,108.0,-0.7,89.9,0.27,0.29,0.54,0.5,0.49,13.9,13.9,27.2,0.21,0.24,0.5,0.49,13.9,13.9,68.5,0.21,0.24,KeyArena at Seattle Center,625474,15154
GSW,28.1,37.0,45.0,39,43,-0.73,0.66,-0.07,103.0,103.8,-0.8,89.8,0.31,0.2,0.52,0.48,0.48,14.1,13.3,28.4,0.23,0.21,0.48,0.48,14.1,13.3,72.1,0.23,0.21,The Arena in Oakland,665648,16235
MIA,26.4,42.0,40.0,43,39,0.52,-0.65,-0.13,102.2,101.7,0.5,88.0,0.3,0.21,0.51,0.46,0.46,13.5,14.5,27.4,0.23,0.26,0.46,0.46,13.5,14.5,73.4,0.23,0.26,AmericanAirlines Arena,624809,15239
UTA,24.9,42.0,40.0,37,45,-1.22,0.69,-0.53,101.9,103.3,-1.4,86.6,0.36,0.13,0.51,0.46,0.47,16.1,15.4,34.1,0.27,0.32,0.46,0.47,16.1,15.4,72.4,0.27,0.32,Delta Center,785330,19154
POR,27.6,41.0,41.0,37,45,-1.27,0.69,-0.58,103.7,105.1,-1.4,86.2,0.27,0.17,0.52,0.48,0.48,14.4,13.3,31.2,0.2,0.19,0.48,0.48,14.4,13.3,70.0,0.2,0.19,Rose Garden Arena,684038,16684
NOH,30.3,41.0,41.0,41,41,-0.1,-0.62,-0.72,102.3,102.4,-0.1,89.1,0.29,0.25,0.5,0.46,0.48,14.1,15.0,30.6,0.22,0.22,0.46,0.48,14.1,15.0,71.3,0.22,0.22,New Orleans Arena,587613,14332
NYK,29.6,39.0,43.0,36,46,-1.48,-0.49,-1.97,101.7,103.3,-1.6,89.5,0.27,0.17,0.52,0.47,0.46,15.1,13.2,28.0,0.21,0.26,0.47,0.46,15.1,13.2,72.8,0.21,0.26,Madison Square Garden (IV),785739,19164
BOS,26.4,36.0,46.0,37,45,-1.45,-0.54,-1.99,102.1,103.7,-1.6,93.2,0.33,0.25,0.53,0.49,0.48,15.4,15.7,25.2,0.24,0.24,0.49,0.48,15.4,15.7,69.5,0.24,0.24,FleetCenter,664248,16201
