TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
CHI,29.9,72.0,10.0,70,12,12.24,-0.44,11.8,115.2,101.8,13.4,91.1,0.29,0.2,0.56,0.52,0.48,13.1,16.1,36.9,0.22,0.22,0.52,0.48,13.1,16.1,71.1,0.22,0.22,United Center,969149,
SEA,29.6,64.0,18.0,61,21,7.79,-0.4,7.4,110.3,102.1,8.2,93.8,0.38,0.25,0.57,0.53,0.48,16.2,16.7,29.7,0.29,0.25,0.53,0.48,16.2,16.7,69.5,0.29,0.25,KeyArena at Seattle Center,697301,16646.0
UTA,29.5,55.0,27.0,59,23,6.59,-0.34,6.25,113.3,106.1,7.2,90.0,0.36,0.16,0.57,0.52,0.49,14.1,15.1,31.6,0.28,0.3,0.52,0.49,14.1,15.1,71.7,0.28,0.3,Delta Center,813073,19911.0
SAS,29.4,59.0,23.0,58,24,6.3,-0.33,5.98,110.2,103.5,6.7,93.3,0.34,0.2,0.56,0.52,0.47,13.6,13.9,27.5,0.25,0.22,0.52,0.47,13.6,13.9,70.0,0.25,0.22,Alamodome,782701,18752.0
ORL,27.7,60.0,22.0,56,26,5.56,-0.16,5.4,112.9,106.9,6.0,91.8,0.34,0.25,0.56,0.53,0.49,13.2,14.0,29.0,0.23,0.22,0.53,0.49,13.2,14.0,68.8,0.23,0.22,Orlando Arena,707168,17248.0
LAL,27.1,53.0,29.0,53,29,4.45,-0.24,4.21,111.4,106.6,4.8,92.4,0.31,0.2,0.56,0.52,0.49,13.3,14.9,30.1,0.23,0.2,0.52,0.49,13.3,14.9,66.8,0.23,0.2,Great Western Forum,649634,17505.0
IND,29.4,52.0,30.0,50,32,3.24,-0.14,3.11,110.8,107.2,3.6,89.3,0.39,0.16,0.56,0.51,0.49,15.5,14.7,33.0,0.29,0.27,0.51,0.49,15.5,14.7,69.3,0.29,0.27,Market Square Arena,673967,
CLE,27.5,47.0,35.0,49,33,2.59,-0.09,2.49,109.9,106.7,3.2,82.3,0.3,0.26,0.55,0.51,0.51,13.7,16.3,28.6,0.23,0.24,0.51,0.51,13.7,16.3,70.2,0.23,0.24,Gund Arena,730095,
DET,26.8,46.0,36.0,49,33,2.5,-0.05,2.45,107.9,105.1,2.8,87.7,0.36,0.22,0.55,0.5,0.48,14.6,13.7,28.0,0.27,0.23,0.5,0.48,14.6,13.7,71.7,0.27,0.23,The Palace of Auburn Hills,730573,
NYK,30.4,47.0,35.0,48,34,2.32,-0.08,2.24,106.0,103.5,2.5,91.0,0.31,0.2,0.55,0.51,0.48,14.9,14.8,25.5,0.23,0.25,0.51,0.48,14.9,14.8,71.1,0.23,0.25,Madison Square Garden (IV),810283,
POR,28.1,44.0,38.0,48,34,2.35,-0.14,2.21,106.0,103.5,2.5,92.6,0.35,0.2,0.53,0.49,0.48,15.2,13.5,33.4,0.23,0.24,0.49,0.48,15.2,13.5,73.4,0.23,0.24,Rose Garden Arena,848055,
HOU,29.0,48.0,34.0,46,36,1.74,-0.12,1.63,109.3,107.4,1.9,93.2,0.32,0.26,0.56,0.51,0.5,14.1,13.6,26.9,0.24,0.21,0.51,0.5,14.1,13.6,68.6,0.24,0.21,The Summit,667840,16611.0
MIA,27.4,42.0,40.0,45,37,1.43,0.03,1.46,105.3,103.8,1.5,91.1,0.34,0.23,0.54,0.5,0.47,16.0,14.8,30.1,0.24,0.3,0.5,0.47,16.0,14.8,71.8,0.24,0.3,Miami Arena,606088,
ALT,28.1,46.0,36.0,45,37,1.22,0.07,1.29,109.4,108.0,1.4,89.6,0.3,0.24,0.53,0.49,0.51,14.0,16.3,34.0,0.23,0.22,0.49,0.51,14.0,16.3,67.1,0.23,0.22,Omni Coliseum,496668,8297.0
WAB,24.8,39.0,43.0,44,38,1.06,-0.07,0.99,108.7,107.6,1.1,93.7,0.31,0.18,0.56,0.52,0.49,15.0,15.0,28.2,0.23,0.27,0.52,0.49,15.0,15.0,67.8,0.23,0.27,US Airways Arena,669598,
PHO,27.9,41.0,41.0,42,40,0.33,-0.05,0.28,110.3,110.0,0.3,93.2,0.37,0.15,0.55,0.5,0.51,13.5,13.3,29.8,0.29,0.22,0.5,0.51,13.5,13.3,71.4,0.29,0.22,America West Arena,779943,
CHO,27.8,41.0,41.0,39,43,-0.57,0.09,-0.48,111.2,111.8,-0.6,91.6,0.32,0.23,0.56,0.51,0.53,14.1,13.9,29.5,0.25,0.22,0.51,0.53,14.1,13.9,70.3,0.25,0.22,Charlotte Coliseum,985722,24042.0
GSW,27.0,36.0,46.0,37,45,-1.45,0.03,-1.42,108.4,109.9,-1.5,93.4,0.35,0.18,0.54,0.49,0.51,14.8,15.2,33.9,0.26,0.23,0.49,0.51,14.8,15.2,67.2,0.26,0.23,Oakland-Alameda County Coliseum Arena,616025,
DEN,26.8,35.0,47.0,33,49,-2.71,0.09,-2.62,105.2,108.1,-2.9,92.2,0.33,0.17,0.53,0.48,0.49,14.2,12.8,30.7,0.24,0.24,0.48,0.49,14.2,12.8,72.7,0.24,0.24,McNichols Sports Arena,675425,
SAC,26.6,39.0,43.0,33,49,-2.71,0.09,-2.62,106.2,109.1,-2.9,93.4,0.37,0.18,0.54,0.49,0.5,16.0,15.1,32.5,0.27,0.3,0.49,0.5,16.0,15.1,69.0,0.27,0.3,ARCO Arena (II),709999,
BOS,26.3,33.0,49.0,32,50,-3.4,0.03,-3.37,106.4,109.9,-3.5,96.2,0.33,0.21,0.53,0.49,0.51,14.1,14.3,28.8,0.24,0.26,0.49,0.51,14.1,14.3,70.0,0.24,0.26,FleetCenter,730842,17085.0
LAC,25.2,29.0,53.0,31,51,-3.6,0.13,-3.46,106.5,110.3,-3.8,93.2,0.3,0.21,0.54,0.51,0.51,15.3,15.2,29.3,0.21,0.28,0.51,0.51,15.3,15.2,67.9,0.21,0.28,Los Angeles Memorial Sports Arena,405495,
NJN,27.4,30.0,52.0,29,53,-4.23,0.09,-4.14,101.9,106.5,-4.6,90.9,0.33,0.11,0.5,0.44,0.5,15.1,14.5,36.4,0.25,0.22,0.44,0.5,15.1,14.5,70.9,0.25,0.22,Brendan Byrne Arena,638144,
DAL,25.1,26.0,56.0,28,54,-4.9,0.19,-4.71,106.1,111.2,-5.1,95.4,0.27,0.27,0.51,0.47,0.53,13.3,14.7,34.1,0.19,0.22,0.47,0.53,13.3,14.7,68.6,0.19,0.22,Reunion Arena,684138,
MIL,27.5,25.0,57.0,26,56,-5.3,0.38,-4.92,105.6,111.5,-5.9,90.2,0.3,0.16,0.53,0.5,0.52,15.0,14.1,29.7,0.22,0.25,0.5,0.52,15.0,14.1,68.4,0.22,0.25,Bradley Center,647088,
MIN,26.4,26.0,56.0,26,56,-5.35,0.22,-5.14,104.1,109.8,-5.7,93.5,0.36,0.13,0.54,0.48,0.51,16.0,15.0,29.8,0.28,0.27,0.48,0.51,16.0,15.0,68.7,0.28,0.27,Target Center,585669,
TOR,26.2,21.0,61.0,21,61,-7.51,0.31,-7.2,103.8,111.8,-8.0,93.2,0.3,0.18,0.54,0.5,0.51,17.2,14.7,32.0,0.21,0.27,0.5,0.51,17.2,14.7,66.8,0.21,0.27,SkyDome,950330,
PHI,26.1,18.0,64.0,16,66,-10.0,0.55,-9.45,102.2,113.0,-10.8,92.2,0.35,0.22,0.52,0.47,0.52,16.0,14.4,29.4,0.26,0.22,0.47,0.52,16.0,14.4,65.0,0.26,0.22,CoreStates Spectrum,476016,
VAN,27.2,15.0,67.0,15,67,-9.98,0.43,-9.55,97.6,108.5,-10.9,91.0,0.31,0.17,0.5,0.46,0.51,15.5,16.1,27.3,0.22,0.24,0.46,0.51,15.5,16.1,66.3,0.22,0.24,General Motors Place,654013,19193.0
