TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
SEA,28.7,57.0,25.0,61,21,8.18,-0.27,7.91,114.8,106.3,8.5,95.5,0.38,0.19,0.57,0.53,0.49,14.1,16.1,32.6,0.29,0.28,0.53,0.49,14.1,16.1,68.7,0.29,0.28,Tacoma Dome,633604,17368.0
UTA,29.6,60.0,22.0,61,21,7.99,-0.23,7.76,114.3,105.7,8.6,92.6,0.39,0.13,0.59,0.54,0.5,14.8,15.5,29.1,0.31,0.29,0.54,0.5,14.8,15.5,72.5,0.31,0.29,Delta Center,811159,
ORL,26.6,57.0,25.0,59,23,7.06,-0.62,6.44,115.1,107.8,7.3,95.1,0.36,0.2,0.57,0.54,0.49,14.0,13.3,34.0,0.24,0.22,0.54,0.49,14.0,13.3,68.4,0.24,0.22,Orlando Arena,656410,
SAS,29.0,62.0,20.0,57,25,5.96,-0.06,5.9,111.7,105.4,6.3,94.6,0.37,0.17,0.56,0.52,0.48,13.8,13.0,30.9,0.28,0.21,0.52,0.48,13.8,13.0,72.3,0.28,0.21,Alamodome,920413,33072.0
CHI,28.1,47.0,35.0,54,28,4.83,-0.51,4.32,109.5,104.3,5.2,92.0,0.31,0.18,0.55,0.51,0.49,14.5,16.7,32.9,0.22,0.26,0.51,0.49,14.5,16.7,68.2,0.22,0.26,United Center,926218,
PHO,29.2,59.0,23.0,51,31,3.88,-0.02,3.86,114.5,110.4,4.1,95.9,0.34,0.23,0.57,0.52,0.52,12.7,14.0,29.7,0.26,0.23,0.52,0.52,12.7,14.0,69.8,0.26,0.23,America West Arena,779943,
POR,29.3,44.0,38.0,52,30,3.82,-0.02,3.8,109.7,105.7,4.0,93.8,0.31,0.18,0.52,0.48,0.49,13.0,14.8,37.1,0.22,0.28,0.48,0.49,13.0,14.8,73.5,0.22,0.28,Memorial Coliseum,529759,12888.0
IND,28.7,52.0,30.0,52,30,3.7,-0.34,3.35,109.6,105.6,4.0,90.0,0.38,0.16,0.56,0.51,0.49,15.5,15.8,32.8,0.29,0.24,0.51,0.49,15.5,15.8,68.6,0.29,0.24,Market Square Arena,654428,14601.0
CHO,28.0,50.0,32.0,50,32,3.28,-0.41,2.87,109.6,106.1,3.5,91.2,0.32,0.22,0.56,0.52,0.48,14.3,13.8,26.0,0.25,0.2,0.52,0.48,14.3,13.8,68.5,0.25,0.2,Charlotte Coliseum,971618,23698.0
NYK,29.4,55.0,27.0,50,32,3.11,-0.33,2.78,107.2,103.8,3.4,91.2,0.33,0.23,0.55,0.51,0.47,15.1,14.4,28.6,0.24,0.28,0.51,0.47,15.1,14.4,70.8,0.24,0.28,Madison Square Garden (IV),810283,19763.0
HOU,28.5,47.0,35.0,47,35,2.12,0.2,2.32,109.7,107.4,2.3,94.2,0.31,0.27,0.57,0.53,0.49,15.0,13.9,26.9,0.23,0.2,0.53,0.49,15.0,13.9,67.7,0.23,0.2,The Summit,653389,16503.0
ALT,28.2,42.0,40.0,45,37,1.28,-0.22,1.06,106.6,105.2,1.4,89.8,0.29,0.24,0.52,0.49,0.5,13.9,15.6,31.6,0.21,0.22,0.49,0.5,13.9,15.6,68.4,0.21,0.22,Omni Coliseum,504807,10291.0
DEN,26.6,41.0,41.0,43,39,0.84,0.11,0.96,109.1,108.2,0.9,91.5,0.36,0.18,0.56,0.51,0.49,15.6,13.2,32.0,0.26,0.26,0.51,0.49,15.6,13.2,70.2,0.26,0.26,McNichols Sports Arena,704011,
CLE,28.3,43.0,39.0,43,39,0.62,-0.07,0.55,105.3,104.6,0.7,84.8,0.32,0.16,0.52,0.47,0.49,14.2,15.0,31.8,0.24,0.22,0.47,0.49,14.2,15.0,72.4,0.24,0.22,Gund Arena,833850,20562.0
LAL,25.9,48.0,34.0,40,42,-0.22,0.21,-0.01,109.1,109.4,-0.3,95.2,0.29,0.21,0.54,0.5,0.5,13.4,14.8,31.3,0.22,0.22,0.5,0.5,13.4,14.8,64.4,0.22,0.22,Great Western Forum,591125,16760.0
SAC,26.4,39.0,43.0,38,44,-1.0,0.26,-0.74,105.5,106.5,-1.0,92.3,0.36,0.16,0.54,0.5,0.48,16.2,15.0,32.1,0.26,0.28,0.5,0.48,16.2,15.0,67.0,0.26,0.28,ARCO Arena (II),709997,
MIA,27.1,32.0,50.0,36,46,-1.63,-0.21,-1.85,108.2,109.9,-1.7,92.9,0.32,0.18,0.54,0.5,0.51,14.4,14.9,31.7,0.23,0.26,0.5,0.51,14.4,14.9,68.7,0.23,0.26,Miami Arena,598761,14259.0
BOS,27.2,35.0,47.0,36,46,-1.88,-0.04,-1.92,108.6,110.6,-2.0,94.0,0.33,0.14,0.54,0.49,0.51,14.3,13.6,33.1,0.25,0.24,0.49,0.51,14.3,13.6,68.6,0.25,0.24,Boston Garden,606070,14890.0
DAL,24.3,36.0,46.0,33,49,-2.9,0.51,-2.39,107.6,110.6,-3.0,94.7,0.3,0.16,0.51,0.47,0.52,13.9,13.7,38.9,0.22,0.21,0.47,0.52,13.9,13.7,69.8,0.22,0.21,Reunion Arena,678433,17502.0
NJN,27.5,30.0,52.0,32,50,-3.13,-0.14,-3.28,105.2,108.6,-3.4,92.3,0.34,0.19,0.52,0.47,0.49,14.4,12.4,33.3,0.26,0.22,0.47,0.49,14.4,12.4,70.9,0.26,0.22,Brendan Byrne Arena,684102,15409.0
MIL,25.7,34.0,48.0,29,53,-4.37,0.07,-4.3,106.2,110.9,-4.7,92.7,0.34,0.2,0.54,0.5,0.53,15.5,15.3,31.3,0.24,0.23,0.5,0.53,15.5,15.3,68.3,0.24,0.23,Bradley Center,670720,
GSW,26.0,26.0,56.0,27,55,-5.41,0.51,-4.9,106.7,112.2,-5.5,97.9,0.35,0.23,0.55,0.51,0.52,15.9,13.9,30.3,0.24,0.22,0.51,0.52,15.9,13.9,66.5,0.24,0.22,Oakland-Alameda County Coliseum Arena,616025,
PHI,25.1,24.0,58.0,27,55,-5.07,0.01,-5.06,104.1,109.7,-5.6,91.0,0.32,0.14,0.52,0.48,0.5,15.3,14.6,32.3,0.24,0.24,0.48,0.5,15.3,14.6,66.1,0.24,0.24,CoreStates Spectrum,507806,
WAB,24.5,21.0,61.0,26,56,-5.6,0.04,-5.56,105.4,111.3,-5.9,94.5,0.29,0.18,0.53,0.49,0.51,14.3,14.9,29.3,0.21,0.26,0.49,0.51,14.3,14.9,66.7,0.21,0.26,US Airways Arena,689463,
DET,26.9,28.0,54.0,22,60,-7.29,0.21,-7.08,105.1,112.9,-7.8,93.2,0.29,0.21,0.54,0.5,0.51,15.0,14.2,28.3,0.22,0.3,0.5,0.51,15.0,14.2,65.8,0.22,0.3,The Palace of Auburn Hills,719090,21454.0
MIN,25.4,21.0,61.0,18,64,-9.0,0.78,-8.22,102.6,112.4,-9.8,91.4,0.38,0.16,0.53,0.48,0.51,16.2,14.8,27.7,0.29,0.28,0.48,0.51,16.2,14.8,64.1,0.29,0.28,Target Center,603518,
LAC,24.9,17.0,65.0,18,64,-9.16,0.73,-8.43,101.5,111.1,-9.6,94.3,0.3,0.15,0.51,0.47,0.53,14.6,16.6,29.6,0.21,0.29,0.47,0.53,14.6,16.6,65.7,0.21,0.29,Los Angeles Memorial Sports Arena,438244,
