TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
BOS,27.3,61.0,21.0,60,22,7.79,-0.42,7.37,109.4,101.9,7.5,102.6,0.33,0.06,0.55,0.5,0.48,15.4,16.5,34.8,0.26,0.23,0.5,0.48,15.4,16.5,67.8,0.26,0.23,Boston Garden,596349.0,14664.0
LAL,26.2,60.0,22.0,55,27,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.28,0.01,0.57,0.53,0.48,16.5,14.0,32.6,0.22,0.18,0.53,0.48,16.5,14.0,66.9,0.22,0.18,The Forum,582882.0,17505.0
SEA,27.0,56.0,26.0,53,29,4.66,-0.42,4.24,105.8,101.2,4.6,101.8,0.3,0.02,0.52,0.47,0.46,14.9,15.4,36.4,0.23,0.22,0.47,0.46,14.9,15.4,67.9,0.23,0.22,King County Domed Stadium,,28726.0
PHI,27.0,59.0,23.0,52,30,4.22,-0.18,4.04,105.0,101.0,4.0,103.0,0.34,0.02,0.54,0.49,0.46,17.2,15.5,33.5,0.26,0.22,0.49,0.46,17.2,15.5,66.7,0.26,0.22,The Spectrum,,
MIL,25.3,49.0,33.0,51,31,3.94,-0.37,3.57,106.8,102.9,3.9,102.4,0.28,0.02,0.53,0.49,0.47,15.0,16.2,35.2,0.21,0.23,0.49,0.47,15.0,16.2,63.8,0.21,0.23,MECCA Arena,,
PHO,26.5,55.0,27.0,50,32,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.34,0.04,0.55,0.5,0.48,16.4,16.5,30.4,0.26,0.21,0.5,0.48,16.4,16.5,66.9,0.26,0.21,Arizona Veterans Memorial Coliseum,,
ALT,26.1,50.0,32.0,49,33,2.91,-0.09,2.83,105.2,102.3,2.9,98.9,0.38,0.01,0.52,0.46,0.46,15.4,17.1,36.9,0.29,0.29,0.46,0.46,15.4,17.1,65.6,0.29,0.29,Omni Coliseum,,
KCK,25.5,47.0,35.0,49,33,3.13,-0.32,2.82,104.0,101.0,3.0,103.2,0.3,0.02,0.52,0.48,0.48,14.5,17.9,31.0,0.22,0.27,0.48,0.48,14.5,17.9,68.1,0.22,0.27,Kemper Arena,,
CLE,27.4,37.0,45.0,42,40,0.34,0.09,0.43,106.7,106.4,0.3,105.6,0.27,0.02,0.52,0.48,0.5,13.2,16.3,33.1,0.21,0.22,0.48,0.5,13.2,16.3,65.9,0.21,0.22,Coliseum at Richfield,,15443.0
HOU,27.3,41.0,41.0,41,41,0.17,0.1,0.27,108.1,108.0,0.1,101.2,0.31,0.05,0.53,0.49,0.5,15.5,16.1,37.6,0.24,0.23,0.49,0.5,15.5,16.1,63.2,0.24,0.23,The Summit,,13656.0
SAS,26.9,41.0,41.0,40,42,-0.38,0.13,-0.24,108.6,109.0,-0.4,109.5,0.33,0.03,0.55,0.5,0.51,15.2,14.4,31.8,0.26,0.22,0.5,0.51,15.2,14.4,66.8,0.26,0.22,HemisFair Arena,,
IND,25.3,37.0,45.0,39,43,-0.7,0.16,-0.54,105.5,106.2,-0.7,104.4,0.3,0.04,0.52,0.48,0.49,14.8,17.0,35.4,0.23,0.23,0.48,0.49,14.8,17.0,62.5,0.23,0.23,Market Square Arena,,
POR,26.3,38.0,44.0,39,43,-0.82,-0.05,-0.87,103.4,104.3,-0.9,98.6,0.29,0.02,0.52,0.48,0.48,16.1,15.3,35.5,0.22,0.24,0.48,0.48,16.1,15.3,67.9,0.22,0.24,Memorial Coliseum,,
NYK,24.1,39.0,43.0,38,44,-1.15,0.19,-0.96,106.5,107.5,-1.0,106.5,0.3,0.02,0.54,0.5,0.5,15.7,16.4,33.7,0.22,0.26,0.5,0.5,15.7,16.4,64.0,0.22,0.26,Madison Square Garden (IV),,19591.0
NJN,26.1,34.0,48.0,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,106.1,0.32,0.04,0.52,0.47,0.47,16.6,16.5,32.1,0.25,0.26,0.47,0.47,16.6,16.5,66.4,0.25,0.26,Rutgers Athletic Center,,7364.0
WAB,29.0,39.0,43.0,34,48,-2.55,0.28,-2.27,103.2,105.7,-2.5,102.6,0.26,0.03,0.5,0.46,0.47,13.7,12.3,33.3,0.2,0.22,0.46,0.47,13.7,12.3,69.5,0.2,0.22,Capital Centre,,9518.0
CHI,25.9,30.0,52.0,34,48,-2.71,0.08,-2.63,104.3,107.0,-2.7,101.8,0.37,0.04,0.55,0.49,0.5,17.2,15.7,32.2,0.29,0.25,0.49,0.5,17.2,15.7,68.0,0.29,0.25,Chicago Stadium,,18508.0
SDC,27.6,35.0,47.0,30,52,-4.15,0.18,-3.97,105.7,109.8,-4.1,101.4,0.29,0.07,0.52,0.48,0.5,14.6,14.2,34.2,0.21,0.22,0.48,0.5,14.6,14.2,65.4,0.21,0.22,San Diego Sports Arena,,8503.0
GSW,26.3,24.0,58.0,29,53,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.26,0.02,0.52,0.48,0.5,15.5,15.5,31.1,0.19,0.27,0.48,0.5,15.5,15.5,69.8,0.19,0.27,Oakland-Alameda County Coliseum Arena,,13257.0
DEN,27.1,30.0,52.0,30,52,-4.41,0.2,-4.22,103.4,107.6,-4.2,103.9,0.34,0.03,0.52,0.47,0.5,15.1,14.4,33.6,0.25,0.22,0.47,0.5,15.1,14.4,67.8,0.25,0.22,McNichols Sports Arena,,17298.0
UTA,25.9,24.0,58.0,25,57,-6.01,0.31,-5.71,104.2,110.4,-6.2,97.6,0.28,0.03,0.55,0.5,0.5,16.7,13.5,29.7,0.23,0.24,0.5,0.5,16.7,13.5,67.1,0.23,0.24,Salt Palace,,12327.0
DET,24.7,16.0,66.0,22,60,-8.24,0.67,-7.57,101.2,108.8,-7.6,107.1,0.28,0.03,0.52,0.48,0.5,16.9,15.2,32.3,0.21,0.24,0.48,0.5,16.9,15.2,64.7,0.21,0.24,Pontiac Silverdome,,11138.0
