TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
SAC,27.0,61.0,21.0,61,21,7.61,0.0,7.61,109.0,101.1,7.9,95.6,0.31,0.17,0.54,0.5,0.47,12.4,13.6,27.9,0.23,0.18,0.5,0.47,12.4,13.6,71.7,0.23,0.18,ARCO Arena (II),709997,17317
LAL,27.9,58.0,24.0,60,22,7.12,0.03,7.15,109.4,101.7,7.7,92.1,0.31,0.21,0.53,0.5,0.45,11.8,13.0,28.8,0.22,0.23,0.5,0.45,11.8,13.0,72.0,0.22,0.23,STAPLES Center,778777,18995
SAS,28.5,58.0,24.0,59,23,6.21,0.07,6.28,106.5,99.7,6.8,90.0,0.35,0.19,0.54,0.49,0.45,13.8,13.7,27.2,0.26,0.19,0.49,0.45,13.8,13.7,71.9,0.26,0.19,Alamodome,906390,22107
DAL,27.6,57.0,25.0,53,29,4.26,0.16,4.41,112.2,107.7,4.5,92.8,0.29,0.24,0.55,0.51,0.48,11.3,12.9,26.1,0.23,0.24,0.51,0.48,11.3,12.9,70.7,0.23,0.24,American Airlines Center,802783,19580
NJN,26.1,52.0,30.0,53,29,4.16,-0.49,3.67,104.0,99.5,4.5,91.8,0.28,0.18,0.52,0.48,0.46,13.4,14.9,29.2,0.21,0.21,0.48,0.46,13.4,14.9,71.6,0.21,0.21,Continental Airlines Arena,564194,13761
MIN,26.7,50.0,32.0,51,31,3.38,0.2,3.58,109.0,105.3,3.7,90.5,0.26,0.15,0.53,0.49,0.48,12.5,12.7,31.3,0.2,0.22,0.49,0.48,12.5,12.7,73.7,0.2,0.22,Target Center,731673,17846
SEA,26.9,45.0,37.0,50,32,3.02,0.22,3.24,108.9,105.6,3.3,89.0,0.25,0.19,0.54,0.5,0.48,13.2,14.5,29.4,0.19,0.21,0.5,0.48,13.2,14.5,68.1,0.19,0.21,KeyArena at Seattle Center,633516,15452
POR,29.0,49.0,33.0,50,32,2.99,0.22,3.21,107.4,104.0,3.4,89.3,0.28,0.2,0.53,0.48,0.49,13.5,14.2,31.8,0.22,0.2,0.48,0.49,13.5,14.2,73.3,0.22,0.2,Rose Garden Arena,797821,19459
BOS,26.2,49.0,33.0,48,34,2.21,-0.46,1.75,103.4,101.0,2.4,92.5,0.29,0.29,0.52,0.48,0.46,12.8,15.1,24.1,0.22,0.24,0.48,0.46,12.8,15.1,72.9,0.22,0.24,FleetCenter,659751,16091
DET,29.5,50.0,32.0,48,34,2.13,-0.45,1.69,104.8,102.4,2.4,90.0,0.31,0.24,0.54,0.5,0.47,14.3,14.8,24.4,0.24,0.21,0.5,0.47,14.3,14.8,70.5,0.24,0.21,The Palace of Auburn Hills,760807,18556
PHI,29.0,43.0,39.0,46,36,1.6,-0.33,1.27,102.1,100.3,1.8,88.9,0.33,0.11,0.51,0.45,0.46,14.6,14.2,31.7,0.26,0.21,0.45,0.46,14.6,14.2,72.1,0.26,0.21,First Union Center,842976,20560
ORL,28.0,44.0,38.0,46,36,1.57,-0.32,1.25,107.0,105.3,1.7,93.2,0.28,0.24,0.53,0.49,0.49,12.6,14.4,26.3,0.21,0.22,0.49,0.49,12.6,14.4,69.2,0.21,0.22,TD Waterhouse Centre,621121,15149
UTA,29.9,44.0,38.0,44,38,0.89,0.32,1.21,105.6,104.6,1.0,90.3,0.38,0.13,0.53,0.47,0.48,15.4,15.9,33.5,0.29,0.29,0.47,0.48,15.4,15.9,71.7,0.29,0.29,Delta Center,766108,18686
CHO,28.3,44.0,38.0,44,38,0.96,-0.4,0.57,104.3,103.3,1.0,89.7,0.32,0.15,0.51,0.47,0.46,13.3,13.3,30.6,0.24,0.23,0.47,0.46,13.3,13.3,72.2,0.24,0.23,Charlotte Coliseum,462738,11286
IND,26.1,42.0,40.0,42,40,0.27,-0.34,-0.07,104.1,103.8,0.3,91.9,0.33,0.18,0.53,0.48,0.47,14.2,13.2,27.0,0.25,0.23,0.48,0.47,14.2,13.2,71.0,0.25,0.23,Conseco Fieldhouse,686537,16745
LAC,24.4,39.0,43.0,40,42,-0.46,0.38,-0.09,105.5,106.0,-0.5,90.1,0.3,0.17,0.52,0.48,0.48,13.8,12.1,31.3,0.22,0.19,0.48,0.48,13.8,12.1,69.9,0.22,0.19,STAPLES Center,740185,18053
PHO,26.5,36.0,46.0,39,43,-0.68,0.39,-0.3,103.3,104.0,-0.7,91.4,0.24,0.16,0.51,0.47,0.48,13.6,14.4,30.1,0.18,0.23,0.47,0.48,13.6,14.4,70.2,0.18,0.23,America West Arena,668939,16316
