TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
PHI,27.2,62.0,20.0,60,22,7.85,-0.09,7.76,107.0,99.5,7.5,103.4,0.34,0.01,0.56,0.52,0.45,17.3,16.3,32.3,0.26,0.25,0.52,0.45,17.3,16.3,67.1,0.26,0.25,The Spectrum,469355,
MIL,26.6,60.0,22.0,59,23,7.27,-0.13,7.14,108.7,101.8,6.9,103.6,0.31,0.02,0.55,0.5,0.46,15.7,16.6,36.3,0.24,0.28,0.5,0.46,15.7,16.6,65.6,0.24,0.28,MECCA Arena,448366,
BOS,27.0,62.0,20.0,56,26,5.88,0.17,6.05,108.4,102.6,5.8,100.8,0.33,0.03,0.55,0.51,0.46,16.2,15.1,34.7,0.25,0.24,0.51,0.46,16.2,15.1,67.0,0.25,0.24,Boston Garden,595454,
PHO,25.7,57.0,25.0,55,27,5.51,-0.68,4.83,104.6,99.4,5.2,104.7,0.33,0.02,0.54,0.49,0.47,17.1,17.5,35.1,0.25,0.24,0.49,0.47,17.1,17.5,68.2,0.25,0.24,Arizona Veterans Memorial Coliseum,482693,
LAL,27.0,54.0,28.0,51,31,3.84,-0.57,3.27,107.6,103.9,3.7,102.7,0.29,0.01,0.55,0.51,0.47,15.8,14.6,33.9,0.21,0.21,0.51,0.47,15.8,14.6,64.4,0.21,0.21,The Forum,538865,
CHI,26.5,45.0,37.0,46,36,1.98,0.37,2.34,107.8,105.8,2.0,100.6,0.37,0.03,0.56,0.5,0.49,17.2,15.5,36.9,0.29,0.23,0.5,0.49,17.2,15.5,68.4,0.29,0.23,Chicago Stadium,391118,
SAS,26.7,52.0,30.0,48,34,2.88,-0.7,2.18,108.5,105.7,2.8,102.9,0.37,0.01,0.55,0.49,0.48,15.4,14.1,37.5,0.28,0.23,0.49,0.48,15.4,14.1,68.0,0.28,0.23,HemisFair Arena,440553,
NYK,25.1,50.0,32.0,45,37,1.62,0.38,2.0,106.0,104.4,1.6,101.0,0.33,0.03,0.53,0.49,0.5,15.0,17.2,31.6,0.25,0.22,0.49,0.5,15.0,17.2,65.8,0.25,0.22,Madison Square Garden (IV),544641,
IND,26.0,44.0,38.0,45,37,1.4,0.32,1.72,106.4,105.0,1.4,100.9,0.35,0.02,0.53,0.48,0.49,15.1,17.0,35.5,0.25,0.25,0.48,0.49,15.1,17.0,64.5,0.25,0.25,Market Square Arena,415339,
POR,25.7,45.0,37.0,43,39,0.89,-0.37,0.52,106.5,105.7,0.8,103.0,0.29,0.02,0.53,0.5,0.49,15.2,15.8,33.9,0.21,0.25,0.5,0.49,15.2,15.8,65.7,0.21,0.25,Memorial Coliseum,519306,
WAB,28.6,39.0,43.0,41,41,0.01,0.41,0.42,102.7,102.7,0.0,102.4,0.28,0.03,0.51,0.48,0.47,14.4,14.3,30.5,0.2,0.21,0.48,0.47,14.4,14.3,67.8,0.2,0.21,Capital Centre,377238,
HOU,26.8,40.0,42.0,42,40,0.33,-0.53,-0.2,107.0,106.7,0.3,100.5,0.3,0.02,0.53,0.49,0.5,14.9,14.7,33.9,0.23,0.21,0.49,0.5,14.9,14.7,66.6,0.23,0.21,The Summit,385354,
KCK,26.2,40.0,42.0,41,41,0.01,-0.51,-0.49,104.7,104.7,0.0,101.3,0.31,0.02,0.54,0.5,0.48,15.1,15.6,29.2,0.22,0.26,0.5,0.48,15.1,15.6,68.3,0.22,0.26,Kemper Arena,336385,
DEN,26.8,37.0,45.0,40,42,-0.48,-0.47,-0.95,109.4,109.8,-0.4,109.8,0.38,0.02,0.54,0.48,0.51,13.4,14.6,33.1,0.3,0.23,0.48,0.51,13.4,14.6,65.4,0.3,0.23,McNichols Sports Arena,423287,15252.0
