Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1993,7,2504,DAL,Dallas Mavericks,Sean Rooks,"September 9, 1969",23.0,NBA,C,72.0,2087.0,14.7,0.53,0.0,0.52,9.3,19.3,13.9,7.3,0.9,2.5,14.8,21.0,0.8,0.7,1.5,0.03,-0.7,-1.7,-2.4,-0.2
1994,7,2504,DAL,Dallas Mavericks,Sean Rooks,"September 9, 1969",24.0,NBA,C,47.0,1255.0,14.6,0.55,0.0,0.53,7.0,16.9,11.6,6.3,0.9,2.4,14.1,19.1,1.4,0.7,2.2,0.08,-0.6,-1.1,-1.7,0.1
1995,18,2504,MIN,Minnesota Timberwolves,Sean Rooks,"September 9, 1969",25.0,NBA,C,80.0,2405.0,12.6,0.56,0.01,0.62,8.5,16.2,12.4,6.9,0.6,2.2,15.4,17.6,1.9,1.1,3.0,0.06,-1.5,-1.5,-3.0,-0.6
1996,31,2504,TOT,Total After Trade,Sean Rooks,"September 9, 1969",26.0,NBA,C,65.0,1117.0,13.4,0.57,0.02,0.71,8.6,18.7,13.6,6.7,1.1,2.9,17.6,18.1,0.8,1.0,1.8,0.08,-2.1,-0.4,-2.5,-0.1
1996,18,2504,MIN,Minnesota Timberwolves,Sean Rooks,"September 9, 1969",26.0,NBA,C,49.0,902.0,13.3,0.56,0.03,0.7,8.0,19.1,13.5,6.7,1.1,2.4,14.2,17.0,0.9,0.8,1.7,0.09,-1.4,-0.4,-1.9,0.0
1996,1,2504,ATL,Atlanta Hawks,Sean Rooks,"September 9, 1969",26.0,NBA,C,16.0,215.0,13.7,0.6,0.02,0.74,11.1,17.2,14.0,6.9,1.0,5.0,28.7,22.6,-0.1,0.3,0.2,0.04,-4.9,0.0,-4.9,-0.2
1997,14,2504,LAL,Los Angeles Lakers,Sean Rooks,"September 9, 1969",27.0,NBA,C,69.0,735.0,13.4,0.55,0.0,0.7,8.8,16.5,12.7,8.9,1.2,3.9,17.4,17.9,0.7,1.1,1.8,0.12,-3.5,0.9,-2.6,-0.1
1998,14,2504,LAL,Los Angeles Lakers,Sean Rooks,"September 9, 1969",28.0,NBA,C,41.0,425.0,13.4,0.51,0.0,0.78,12.6,18.7,15.7,8.2,0.2,3.7,12.3,16.0,0.7,0.5,1.1,0.13,-2.3,-0.7,-3.0,-0.1
1999,14,2504,LAL,Los Angeles Lakers,Sean Rooks,"September 9, 1969",29.0,NBA,C,36.0,315.0,9.1,0.49,0.02,0.61,12.5,14.1,13.3,4.3,0.3,2.1,17.3,17.3,0.2,0.2,0.3,0.05,-4.6,-2.1,-6.7,-0.4
2001,13,2504,LAC,Los Angeles Clippers,Sean Rooks,"September 9, 1969",31.0,NBA,C,82.0,1553.0,11.5,0.49,0.0,0.36,6.9,15.2,11.2,8.1,1.2,2.9,13.7,15.8,0.8,1.5,2.3,0.07,-2.3,0.7,-1.7,0.1
2002,13,2504,LAC,Los Angeles Clippers,Sean Rooks,"September 9, 1969",32.0,NBA,C,61.0,728.0,7.5,0.44,0.0,0.15,5.0,14.1,9.6,5.4,0.9,2.0,8.8,14.1,0.0,0.5,0.6,0.04,-4.6,0.1,-4.5,-0.5
2003,13,2504,LAC,Los Angeles Clippers,Sean Rooks,"September 9, 1969",33.0,NBA,C,70.0,1344.0,7.7,0.46,0.0,0.2,4.5,13.7,9.1,8.2,1.3,2.3,17.0,13.1,-0.4,0.8,0.4,0.02,-3.9,0.2,-3.7,-0.6
2004,31,2504,TOT,Total After Trade,Sean Rooks,"September 9, 1969",34.0,NBA,C,55.0,595.0,6.8,0.42,0.01,0.24,4.5,14.3,9.3,7.7,1.3,1.3,11.6,14.5,-0.2,0.3,0.2,0.01,-5.4,-0.6,-6.1,-0.6
2004,19,2504,NOH,New Orleans Hornets,Sean Rooks,"September 9, 1969",34.0,NBA,C,35.0,325.0,5.0,0.4,0.0,0.16,3.4,14.4,8.8,5.7,1.5,1.2,13.0,16.2,-0.4,0.3,-0.1,-0.01,-6.9,-0.5,-7.4,-0.4
2004,22,2504,ORL,Orlando Magic,Sean Rooks,"September 9, 1969",34.0,NBA,C,20.0,270.0,9.0,0.46,0.02,0.39,5.8,14.2,9.9,10.1,1.0,1.3,9.5,12.3,0.2,0.0,0.2,0.04,-3.7,-0.8,-4.5,-0.2
