Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008,4,793,CHA,Charlotte Bobcats,22.0,NBA,PF,73.0,14.0,1384.0,4.2,9.1,0.47,0.2,1.1,0.22,4.0,8.0,0.5,2.3,3.1,0.74,3.1,4.3,7.4,2.1,1.4,0.3,1.3,3.3,11.0
2009,31,793,TOT,Total After Trade,23.0,NBA,SF,68.0,7.0,1155.0,4.2,8.9,0.48,0.9,2.3,0.39,3.3,6.6,0.51,2.2,3.3,0.68,2.6,3.8,6.4,1.7,1.8,0.2,1.3,3.3,11.6
2009,4,793,CHA,Charlotte Bobcats,23.0,NBA,SF,20.0,7.0,427.0,3.8,8.1,0.47,0.3,0.7,0.38,3.5,7.4,0.48,1.3,2.0,0.62,2.1,2.9,5.0,1.6,1.5,0.2,0.8,3.4,9.1
2009,24,793,PHO,Phoenix Suns,23.0,NBA,SF,48.0,0.0,728.0,4.5,9.3,0.48,1.3,3.3,0.39,3.2,6.1,0.53,2.8,4.0,0.69,2.8,4.4,7.2,1.8,1.9,0.3,1.6,3.2,13.1
2010,24,793,PHO,Phoenix Suns,24.0,NBA,SF,82.0,1.0,1991.0,4.1,8.9,0.46,2.2,4.7,0.46,1.9,4.1,0.46,1.9,2.5,0.75,1.8,3.3,5.1,2.1,1.5,0.3,1.2,2.9,12.2
2011,24,793,PHO,Phoenix Suns,25.0,NBA,SF,82.0,15.0,2140.0,5.0,10.6,0.48,1.8,4.3,0.42,3.3,6.3,0.52,2.7,3.7,0.74,1.9,3.5,5.3,1.8,1.5,0.3,1.3,2.3,14.6
2012,24,793,PHO,Phoenix Suns,26.0,NBA,SG,65.0,60.0,2020.0,5.6,11.5,0.48,1.4,3.7,0.38,4.1,7.7,0.54,2.1,2.9,0.73,1.7,3.7,5.4,2.0,0.9,0.3,1.3,1.9,14.7
2013,24,793,PHO,Phoenix Suns,27.0,NBA,SF,79.0,50.0,2170.0,5.2,11.1,0.47,1.8,4.5,0.39,3.4,6.6,0.52,2.1,2.7,0.8,1.3,2.8,4.1,3.4,1.2,0.1,1.7,2.1,14.3
2014,13,793,LAC,Los Angeles Clippers,28.0,NBA,SF,74.0,43.0,1729.0,4.1,9.3,0.44,1.7,4.7,0.36,2.4,4.6,0.52,0.8,1.2,0.66,0.7,2.6,3.3,2.2,0.9,0.2,1.2,3.0,10.6
2015,17,793,MIL,Milwaukee Bucks,29.0,NBA,SG,72.0,22.0,1717.0,4.2,8.9,0.47,1.6,4.0,0.38,2.6,4.8,0.54,1.0,1.4,0.72,0.9,3.7,4.6,2.7,1.5,0.2,1.3,2.4,10.9
2016,30,793,WAS,Washington Wizards,30.0,NBA,PF,81.0,41.0,2098.0,4.0,8.4,0.48,1.7,4.1,0.42,2.3,4.3,0.53,1.2,1.7,0.74,0.9,4.0,4.9,2.9,1.3,0.3,1.4,3.3,10.9
2017,24,793,PHO,Phoenix Suns,31.0,NBA,PF,64.0,7.0,1362.0,4.1,9.1,0.45,2.0,5.4,0.38,2.1,3.8,0.56,1.1,1.7,0.66,0.8,5.1,5.9,3.2,1.1,0.4,1.9,4.1,11.5
2018,24,793,PHO,Phoenix Suns,32.0,NBA,PF,48.0,0.0,686.0,2.5,6.4,0.39,1.5,4.2,0.36,1.0,2.2,0.45,1.4,1.8,0.77,0.4,4.5,4.9,4.1,1.3,0.6,1.5,4.5,8.0
2019,3,793,BRK,Brooklyn Nets,33.0,NBA,PF,59.0,25.0,1220.0,3.0,7.1,0.42,1.6,4.5,0.35,1.4,2.6,0.55,0.9,1.4,0.7,1.0,3.6,4.6,2.4,1.1,0.5,1.3,3.9,8.5
2020,14,793,LAL,Los Angeles Lakers,34.0,NBA,PF,45.0,1.0,364.0,2.4,5.9,0.4,1.8,4.2,0.43,0.6,1.8,0.33,0.2,0.2,1.0,0.6,4.5,5.1,2.8,1.5,0.3,0.8,4.1,6.7
2021,14,793,LAL,Los Angeles Lakers,35.0,NBA,PF,6.0,0.0,22.0,1.6,1.6,1.0,1.6,1.6,1.0,0.0,0.0,,0.0,0.0,,1.6,8.2,9.8,1.6,0.0,0.0,0.0,0.0,4.9
