Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,24.0,IND,NBA,C,71,9,16.2,1.4,3.0,0.469,0.0,0.1,0.286,1.4,2.9,0.476,0.474,0.7,1.3,0.516,2.0,3.5,5.5,0.5,0.5,0.4,0.7,2.1,3.5
2002,25.0,IND,NBA,C,82,48,21.8,2.2,4.8,0.449,0.0,0.2,0.133,2.1,4.6,0.462,0.452,1.4,2.2,0.61,2.5,4.3,6.8,0.9,0.9,0.5,1.0,2.8,5.7
2003,26.0,IND,NBA,C,77,2,10.4,0.8,2.3,0.36,0.0,0.0,0.0,0.8,2.3,0.364,0.36,0.4,0.8,0.54,1.5,2.1,3.6,0.7,0.4,0.3,0.4,1.3,2.1
2004,27.0,IND,NBA,C,82,79,23.9,2.4,4.4,0.544,0.0,0.0,0.0,2.4,4.4,0.55,0.544,1.3,1.9,0.669,3.0,4.4,7.4,0.8,0.9,0.3,0.7,2.3,6.1
2005,28.0,IND,NBA,C,61,43,26.1,2.8,5.3,0.519,0.0,0.1,0.0,2.8,5.2,0.527,0.519,1.5,2.3,0.634,3.4,5.7,9.0,0.7,0.8,0.2,0.9,3.0,7.0
2006,29.0,IND,NBA,C,63,37,25.1,2.2,4.0,0.552,0.0,0.1,0.0,2.2,3.9,0.561,0.552,1.5,2.5,0.604,3.6,5.6,9.1,0.8,0.7,0.4,1.0,3.0,5.9
2007,30.0,IND,NBA,C,75,43,23.2,1.6,3.5,0.469,0.0,0.0,0.0,1.6,3.5,0.471,0.469,1.0,1.6,0.639,3.4,4.7,8.1,0.8,0.8,0.5,0.9,2.7,4.3
2008,31.0,IND,NBA,C,77,52,24.5,2.7,4.8,0.55,0.0,0.0,0.0,2.7,4.8,0.554,0.55,1.1,1.9,0.593,3.4,5.2,8.7,1.7,0.7,0.4,0.8,2.9,6.4
2009,32.0,IND,NBA,C,74,26,24.7,2.4,4.8,0.501,0.0,0.1,0.286,2.4,4.7,0.506,0.504,1.3,2.0,0.658,2.9,4.0,6.9,1.8,0.7,0.7,1.2,3.1,6.1
2010,33.0,IND,NBA,C,16,3,15.9,1.4,2.9,0.478,0.0,0.1,0.0,1.4,2.8,0.489,0.478,0.3,0.6,0.556,2.1,2.9,5.1,1.3,0.2,0.3,0.9,2.8,3.1
2011,34.0,IND,NBA,C,56,3,16.8,1.4,3.0,0.479,0.0,0.1,0.0,1.4,2.9,0.488,0.479,0.5,0.9,0.563,2.9,3.4,6.3,0.8,0.4,0.6,0.5,2.3,3.3
2012,35.0,IND,NBA,C,11,0,12.8,0.8,1.6,0.5,0.1,0.1,1.0,0.7,1.5,0.471,0.528,0.5,0.8,0.667,1.6,2.2,3.8,0.4,0.7,0.1,0.6,2.4,2.3
