Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1992,3.0,77,NJN,New Jersey Nets,21.0,NBA,PG,64.0,13.0,1086.0,187.0,480.0,0.39,3.0,13.0,0.23,184.0,467.0,0.39,0.39,73.0,98.0,0.74,38.0,89.0,127.0,203.0,67.0,9.0,97.0,68.0,450.0,,0.0
1993,3.0,77,NJN,New Jersey Nets,22.0,NBA,PG,55.0,55.0,2010.0,370.0,850.0,0.44,7.0,25.0,0.28,363.0,825.0,0.44,0.44,180.0,232.0,0.78,51.0,175.0,226.0,449.0,96.0,11.0,153.0,140.0,927.0,,2.0
1994,3.0,77,NJN,New Jersey Nets,23.0,NBA,PG,82.0,82.0,3135.0,576.0,1381.0,0.42,40.0,132.0,0.3,536.0,1249.0,0.43,0.43,346.0,423.0,0.82,89.0,233.0,322.0,784.0,158.0,15.0,266.0,201.0,1538.0,,3.0
1995,3.0,77,NJN,New Jersey Nets,24.0,NBA,PG,72.0,70.0,2689.0,411.0,1031.0,0.4,97.0,294.0,0.33,314.0,737.0,0.43,0.45,348.0,414.0,0.84,73.0,177.0,250.0,680.0,103.0,14.0,225.0,184.0,1267.0,,0.0
1996,31.0,77,TOT,Total After Trade,25.0,NBA,PG,69.0,64.0,2344.0,349.0,834.0,0.42,92.0,256.0,0.36,257.0,578.0,0.44,0.47,260.0,338.0,0.77,63.0,140.0,203.0,575.0,111.0,14.0,146.0,178.0,1050.0,,0.0
1996,3.0,77,NJN,New Jersey Nets,25.0,NBA,PG,31.0,28.0,1042.0,143.0,380.0,0.38,36.0,99.0,0.36,107.0,281.0,0.38,0.42,151.0,188.0,0.8,37.0,64.0,101.0,247.0,52.0,8.0,58.0,73.0,473.0,,0.0
1996,,77,CHH,None,25.0,NBA,PG,38.0,36.0,1302.0,206.0,454.0,0.45,56.0,157.0,0.36,150.0,297.0,0.5,0.52,109.0,150.0,0.73,26.0,76.0,102.0,328.0,59.0,6.0,88.0,105.0,577.0,,0.0
1997,25.0,77,POR,Portland Trail Blazers,26.0,NBA,PG,82.0,81.0,3081.0,485.0,1137.0,0.43,132.0,366.0,0.36,353.0,771.0,0.46,0.48,334.0,435.0,0.77,91.0,272.0,363.0,584.0,162.0,15.0,193.0,222.0,1436.0,,0.0
1998,31.0,77,TOT,Total After Trade,27.0,NBA,PG,61.0,56.0,1858.0,268.0,674.0,0.4,57.0,160.0,0.36,211.0,514.0,0.41,0.44,153.0,194.0,0.79,39.0,134.0,173.0,345.0,87.0,1.0,143.0,135.0,746.0,,0.0
1998,25.0,77,POR,Portland Trail Blazers,27.0,NBA,PG,45.0,40.0,1472.0,204.0,527.0,0.39,47.0,133.0,0.35,157.0,394.0,0.4,0.43,112.0,145.0,0.77,36.0,98.0,134.0,245.0,61.0,1.0,114.0,99.0,567.0,,0.0
1998,2.0,77,BOS,Boston Celtics,27.0,NBA,PG,16.0,16.0,386.0,64.0,147.0,0.44,10.0,27.0,0.37,54.0,120.0,0.45,0.47,41.0,49.0,0.84,3.0,36.0,39.0,100.0,26.0,0.0,29.0,36.0,179.0,,0.0
1999,2.0,77,BOS,Boston Celtics,28.0,NBA,PG,34.0,33.0,1010.0,161.0,357.0,0.45,6.0,24.0,0.25,155.0,333.0,0.46,0.46,84.0,101.0,0.83,24.0,79.0,103.0,193.0,33.0,2.0,71.0,78.0,412.0,,0.0
2001,2.0,77,BOS,Boston Celtics,30.0,NBA,PG,33.0,28.0,849.0,88.0,227.0,0.39,11.0,33.0,0.33,77.0,194.0,0.4,0.41,59.0,71.0,0.83,16.0,57.0,73.0,134.0,44.0,2.0,52.0,62.0,246.0,,0.0
