SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,8,DEN,Marcus Camby,29,5,5,38.8,5.4,11.0,0.49,0.2,0.4,0.5,5.2,10.6,0.49,0.5,1.6,2.8,0.57,2.8,8.6,11.4,2.4,0.8,1.4,1.2,4.2,12.6
2004,8,DEN,Carmelo Anthony,19,4,4,35.8,5.3,16.0,0.33,0.5,2.8,0.18,4.8,13.3,0.36,0.34,4.0,5.0,0.8,1.8,6.5,8.3,2.8,1.3,0.0,4.3,2.8,15.0
2004,8,DEN,Andre Miller,27,5,5,34.8,6.8,14.4,0.47,0.0,0.4,0.0,6.8,14.0,0.49,0.47,1.8,2.2,0.82,3.0,1.6,4.6,3.2,1.6,0.0,2.0,3.2,15.4
2004,8,DEN,Voshon Lenard,30,5,5,32.2,6.4,15.0,0.43,2.2,4.8,0.46,4.2,10.2,0.41,0.5,2.0,2.8,0.71,0.8,1.8,2.6,2.4,0.8,0.0,1.8,2.6,17.0
2004,8,DEN,NenA HilArio,21,5,5,26.4,3.2,7.2,0.44,0.0,0.0,,3.2,7.2,0.44,0.44,1.4,2.6,0.54,2.4,2.6,5.0,3.0,1.0,0.6,1.8,4.4,7.8
2004,8,DEN,Earl Boykins,27,5,0,24.2,5.6,12.6,0.44,1.0,2.8,0.36,4.6,9.8,0.47,0.48,1.2,1.4,0.86,1.2,1.2,2.4,3.8,1.0,0.2,1.2,1.2,13.4
2004,8,DEN,Jon Barry,34,5,1,20.0,1.6,4.8,0.33,0.6,1.8,0.33,1.0,3.0,0.33,0.4,0.4,0.6,0.67,0.8,2.8,3.6,2.0,0.6,0.0,0.8,0.8,4.2
2004,8,DEN,Francisco Elson,27,4,0,15.0,1.8,3.0,0.58,0.0,0.0,,1.8,3.0,0.58,0.58,0.3,0.5,0.5,0.3,2.0,2.3,0.5,0.5,0.3,0.8,3.5,3.8
2004,8,DEN,Michael Doleac,26,5,0,9.8,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.4,1.0,1.4,0.6,0.0,0.0,0.2,1.6,2.0
2004,8,DEN,Chris Andersen,25,5,0,6.8,0.6,1.8,0.33,0.0,0.0,,0.6,1.8,0.33,0.33,0.0,0.0,,1.2,1.6,2.8,0.4,0.2,0.4,0.4,0.6,1.2
2004,8,DEN,Rodney White,23,4,0,6.5,1.0,3.8,0.27,0.0,0.8,0.0,1.0,3.0,0.33,0.27,0.0,0.0,,0.3,1.0,1.3,0.0,0.5,0.0,0.5,0.8,2.0
2004,8,DEN,Ryan Bowen,28,4,0,1.5,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
