Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1983,21.0,LAL,NBA,SF,77,1970,17.4,0.594,0.005,0.286,9.2,13.0,11.2,8.6,2.1,1.7,17.0,21.0,,3.0,2.1,5.1,0.125,,1.0,-0.1,0.8,1.4
1984,22.0,LAL,NBA,PF,82,2415,16.5,0.591,0.007,0.289,7.9,15.6,12.1,11.1,1.5,1.6,15.3,19.7,,3.8,2.7,6.5,0.129,,0.7,0.2,0.9,1.8
1985,23.0,LAL,NBA,SF,80,2696,17.0,0.601,0.007,0.23,7.9,13.2,10.8,9.6,1.5,1.3,14.4,20.6,,4.6,2.9,7.5,0.134,,1.7,-0.1,1.6,2.5
1986,24.0,LAL,NBA,SF,75,2454,20.4,0.613,0.012,0.289,6.6,11.1,9.0,11.5,1.6,1.7,10.9,22.6,,6.7,2.7,9.5,0.185,,3.5,0.3,3.9,3.6
1987,25.0,LAL,NBA,SF,82,2819,18.4,0.578,0.011,0.322,6.7,11.4,9.2,11.2,1.8,1.6,10.9,22.3,,5.9,3.4,9.3,0.158,,2.3,0.3,2.6,3.3
1988,26.0,LAL,NBA,SF,75,2655,18.2,0.571,0.014,0.262,5.8,10.0,8.0,16.2,1.3,1.2,10.7,22.8,,5.5,2.4,7.9,0.143,,2.6,-0.2,2.3,2.9
1989,27.0,LAL,NBA,SF,81,2960,19.0,0.582,0.018,0.25,6.8,11.3,9.2,14.6,1.7,1.1,11.3,22.4,,6.6,3.1,9.7,0.158,,2.9,0.0,3.0,3.7
1990,28.0,LAL,NBA,SF,80,2960,19.8,0.586,0.038,0.244,6.4,11.9,9.3,15.6,1.7,1.0,10.0,23.0,,7.5,3.1,10.6,0.172,,3.6,0.2,3.8,4.3
1991,29.0,LAL,NBA,SF,78,3008,18.1,0.531,0.062,0.183,4.3,9.2,6.9,15.1,1.8,0.7,7.5,24.6,,5.5,3.5,9.0,0.143,,2.2,0.3,2.5,3.4
1992,30.0,LAL,NBA,SF,54,2108,16.7,0.49,0.043,0.203,5.2,11.4,8.2,20.3,1.9,0.7,10.4,25.4,,1.4,1.6,3.1,0.07,,1.5,-0.4,1.1,1.6
1993,31.0,LAL,NBA,SF,82,2359,15.6,0.494,0.097,0.185,3.5,8.5,6.0,19.1,1.9,0.7,10.0,24.9,,1.4,1.6,3.0,0.06,,0.8,-1.0,-0.2,1.0
1994,32.0,LAL,NBA,SF,80,1597,12.8,0.452,0.132,0.161,3.1,9.4,6.2,15.6,1.4,0.7,9.8,26.2,,-0.5,0.5,0.1,0.002,,-0.6,-2.3,-2.9,-0.4
