Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1990,22,80,ORL,Orlando Magic,Nick Anderson,"January 20, 1968",22.0,NBA,SG,81.0,9.0,1785.0,9.6,19.4,0.49,0.0,0.4,0.06,9.6,19.0,0.5,4.8,6.8,0.7,2.8,5.4,8.2,3.2,1.8,0.9,3.6,3.6,24.0,,105.0,114.0
1991,22,80,ORL,Orlando Magic,Nick Anderson,"January 20, 1968",23.0,NBA,SG,70.0,42.0,1971.0,9.8,21.0,0.47,0.4,1.4,0.29,9.4,19.6,0.48,4.2,6.3,0.67,2.3,7.2,9.4,2.6,1.8,1.1,2.8,3.5,24.2,,104.0,108.0
1992,22,80,ORL,Orlando Magic,Nick Anderson,"January 20, 1968",24.0,NBA,SG,60.0,59.0,2203.0,10.7,23.2,0.46,0.7,1.9,0.35,10.0,21.3,0.47,4.5,6.7,0.67,2.2,6.4,8.5,3.6,2.2,0.7,2.8,2.9,26.6,,105.0,109.0
1993,22,80,ORL,Orlando Magic,Nick Anderson,"January 20, 1968",25.0,NBA,SG,79.0,76.0,2920.0,10.1,22.6,0.45,1.5,4.3,0.35,8.6,18.4,0.47,5.1,6.9,0.74,2.1,6.1,8.1,4.5,2.2,1.0,2.8,3.4,26.9,,109.0,106.0
1994,22,80,ORL,Orlando Magic,Nick Anderson,"January 20, 1968",26.0,NBA,SG,81.0,81.0,2811.0,9.0,18.9,0.48,1.8,5.6,0.32,7.2,13.3,0.55,3.0,4.5,0.67,2.0,6.5,8.5,5.3,2.4,0.6,3.0,2.7,22.9,,111.0,106.0
1995,22,80,ORL,Orlando Magic,Nick Anderson,"January 20, 1968",27.0,NBA,SG,76.0,76.0,2588.0,8.6,18.0,0.48,3.5,8.4,0.42,5.1,9.6,0.53,2.8,4.0,0.7,1.7,4.9,6.5,6.1,2.4,0.4,2.7,2.4,23.4,,119.0,108.0
1996,22,80,ORL,Orlando Magic,Nick Anderson,"January 20, 1968",28.0,NBA,SG,77.0,77.0,2717.0,7.7,17.4,0.44,3.2,8.3,0.39,4.5,9.1,0.49,3.2,4.6,0.69,1.8,6.2,8.0,5.4,2.3,0.9,2.7,2.6,21.8,,112.0,106.0
1997,22,80,ORL,Orlando Magic,Nick Anderson,"January 20, 1968",29.0,NBA,SG,63.0,61.0,2163.0,7.2,18.2,0.4,3.6,10.2,0.35,3.6,8.0,0.45,1.0,2.4,0.4,1.7,6.0,7.6,4.6,3.0,0.8,2.2,4.0,19.0,,104.0,104.0
1998,22,80,ORL,Orlando Magic,Nick Anderson,"January 20, 1968",30.0,NBA,SF,58.0,44.0,1701.0,11.1,24.4,0.46,2.5,6.9,0.36,8.6,17.5,0.49,4.1,6.4,0.64,3.2,6.4,9.6,3.9,2.3,0.7,2.8,3.2,28.8,,109.0,103.0
1999,22,80,ORL,Orlando Magic,Nick Anderson,"January 20, 1968",31.0,NBA,SF,47.0,39.0,1581.0,8.6,21.9,0.4,3.3,9.5,0.35,5.4,12.4,0.43,3.4,5.5,0.61,1.7,7.7,9.5,3.1,2.2,0.5,2.8,2.5,24.0,,100.0,97.0
2001,26,80,SAC,Sacramento Kings,Nick Anderson,"January 20, 1968",33.0,NBA,SG,21.0,0.0,169.0,4.2,17.2,0.25,3.0,11.7,0.26,1.2,5.4,0.22,0.0,0.0,,0.9,6.6,7.5,3.9,3.0,1.2,2.1,3.9,11.4,,76.0,98.0
2002,15,80,MEM,Memphis Grizzlies,Nick Anderson,"January 20, 1968",34.0,NBA,SG,15.0,0.0,219.0,5.1,18.3,0.28,3.1,11.5,0.27,1.9,6.7,0.29,1.2,2.2,0.56,0.2,7.7,7.9,3.4,1.4,1.4,3.4,4.1,14.4,,74.0,106.0
