Season,Team ID,Team ABV,Team,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1985,25,POR,Portland Trail Blazers,Clyde Drexler,22,9,339,17.3,0.49,0.05,0.34,8.2,9.3,8.7,30.7,3.2,1.5,15.9,21.0,0.4,0.2,0.5,0.08,3.0,1.7,4.7,0.6
1985,25,POR,Portland Trail Blazers,Kiki Vandeweghe,26,9,311,17.8,0.58,0.04,0.21,4.6,4.7,4.7,8.0,1.2,0.6,6.5,23.1,0.8,-0.1,0.7,0.12,3.0,-1.6,1.4,0.3
1985,25,POR,Portland Trail Blazers,Kenny Carr,29,9,265,11.2,0.56,0.01,0.21,11.7,17.0,14.2,4.9,0.5,0.4,18.1,18.6,0.1,0.0,0.1,0.02,-2.2,-2.7,-4.8,-0.2
1985,25,POR,Portland Trail Blazers,Sam Bowie,23,9,259,11.0,0.47,0.0,0.42,6.4,26.1,15.8,9.4,0.7,4.7,14.6,12.3,0.0,0.2,0.2,0.04,-2.3,1.3,-1.0,0.1
1985,25,POR,Portland Trail Blazers,Mychal Thompson,30,9,250,16.3,0.54,0.0,0.48,10.3,21.2,15.5,7.4,1.3,2.8,13.3,22.2,0.2,0.1,0.4,0.07,0.2,-0.6,-0.4,0.1
1985,25,POR,Portland Trail Blazers,Darnell Valentine,25,9,244,16.5,0.57,0.0,0.35,2.5,5.1,3.8,30.3,3.1,0.0,17.1,19.6,0.4,0.1,0.5,0.09,1.2,0.5,1.7,0.2
1985,25,POR,Portland Trail Blazers,Jim Paxson,27,9,212,15.0,0.52,0.1,0.24,2.9,7.5,5.1,13.4,1.3,0.0,4.3,21.4,0.4,0.0,0.4,0.08,1.0,-1.4,-0.4,0.1
1985,25,POR,Portland Trail Blazers,Steve Colter,22,9,166,14.1,0.51,0.15,0.11,2.5,8.2,5.2,30.0,1.4,0.0,11.3,20.8,0.2,0.0,0.2,0.06,0.1,-0.4,-0.3,0.1
1985,25,POR,Portland Trail Blazers,Audie Norris,24,8,109,14.4,0.56,0.0,0.69,20.8,21.7,21.3,3.5,1.7,2.6,20.9,18.8,0.0,0.1,0.1,0.05,-1.7,-0.8,-2.5,0.0
1985,25,POR,Portland Trail Blazers,Jerome Kersey,22,8,60,22.5,0.55,0.0,0.26,8.6,7.5,8.1,14.4,5.4,1.9,5.5,23.7,0.2,0.1,0.2,0.18,3.2,4.0,7.2,0.1
1985,25,POR,Portland Trail Blazers,Tom Scheffler,30,3,10,32.8,0.74,0.0,1.33,31.0,22.6,27.0,0.0,4.7,0.0,17.4,22.4,0.0,0.0,0.1,0.29,7.9,-0.6,7.3,0.0
1985,25,POR,Portland Trail Blazers,Bernard Thompson,22,2,10,5.6,0.17,0.0,0.4,10.3,22.6,16.2,20.8,0.0,5.8,0.0,22.9,0.0,0.0,0.0,-0.14,-3.6,-0.6,-4.3,0.0
