Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1989,30,31,WSB,Washington Bullets,31,Mark Alarie,PF,6-8,217,1963-12-11,US,2,Duke
1989,30,500,WSB,Washington Bullets,33,Terry Catledge,PF,6-8,220,1963-08-22,US,3,University of South Alabama
1989,30,582,WSB,Washington Bullets,20,Steve Colter,PG,6-3,165,1962-07-24,US,4,New Mexico State
1989,30,815,WSB,Washington Bullets,21,Ledell Eackles,SG,6-5,220,1966-11-24,US,R,New Orleans
1989,30,900,WSB,Washington Bullets,22,Dave Feitl,C,6-11,235,1962-06-08,US,2,Texas-El Paso
1989,30,1084,WSB,Washington Bullets,44,Harvey Grant,PF,6-8,195,1965-07-04,US,R,"Clemson, Oklahoma"
1989,30,1532,WSB,Washington Bullets,23,Charles Jones,C,6-9,215,1957-04-03,US,5,Albany State University
1989,30,1533,WSB,Washington Bullets,51,Charles Alexander Jones,PF,6-8,215,1962-01-12,US,3,Louisville
1989,30,1618,WSB,Washington Bullets,30,Bernard King,SF,6-7,205,1956-12-04,US,10,Tennessee
1989,30,1825,WSB,Washington Bullets,24,Jeff Malone,SG,6-4,205,1961-06-28,US,5,Mississippi State
1989,30,2363,WSB,Washington Bullets,3,Dominic Pressley,PG,6-2,170,1964-05-30,US,R,Boston College
1989,30,3007,WSB,Washington Bullets,5,Darrell Walker,PG,6-4,180,1961-03-09,US,5,Arkansas
1989,30,3158,WSB,Washington Bullets,34,John Williams,SF,6-8,235,1966-10-26,US,2,LSU
