Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1989,25,81,POR,Portland Trail Blazers,35,Richard Anderson,PF,6-10,240,"November 19, 1960",US,4,UC Santa Barbara
1989,25,312,POR,Portland Trail Blazers,31,Sam Bowie,C,7-1,235,"March 17, 1961",US,3,Kentucky
1989,25,332,POR,Portland Trail Blazers,24,Adrian Branch,SF,6-7,185,"November 17, 1963",US,2,Maryland
1989,25,409,POR,Portland Trail Blazers,2,Mark Bryant,PF,6-9,245,"April 25, 1965",US,R,Seton Hall
1989,25,786,POR,Portland Trail Blazers,22,Clyde Drexler,SG,6-7,210,"June 22, 1962",US,5,Houston
1989,25,791,POR,Portland Trail Blazers,0,Kevin Duckworth,C,7-0,275,"April 1, 1964",US,2,Eastern Illinois University
1989,25,909,POR,Portland Trail Blazers,32,Rolando Ferreira,C,7-1,240,"May 24, 1964",BR,R,Houston
1989,25,1514,POR,Portland Trail Blazers,33,Steve Johnson,C,6-10,235,"November 3, 1957",US,7,Oregon State
1989,25,1529,POR,Portland Trail Blazers,27,Caldwell Jones,PF,6-11,217,"August 4, 1950",US,15,Albany State University
1989,25,1600,POR,Portland Trail Blazers,25,Jerome Kersey,SF,6-7,215,"June 26, 1962",US,4,Longwood University
1989,25,2121,POR,Portland Trail Blazers,10,Craig Neal,PG,6-5,165,"February 16, 1964",US,R,Georgia Tech
1989,25,2344,POR,Portland Trail Blazers,30,Terry Porter,PG,6-3,195,"April 8, 1963",US,3,University of Wisconsin-Stevens Point
1989,25,2627,POR,Portland Trail Blazers,14,Jerry Sichting,PG,6-1,168,"November 29, 1956",US,8,Purdue
1989,25,2750,POR,Portland Trail Blazers,7,Brook Steppe,PG,6-5,195,"November 7, 1959",US,4,Georgia Tech
1989,25,2958,POR,Portland Trail Blazers,55,Kiki Vandeweghe,PF,6-8,220,"August 1, 1958",DE,8,UCLA
1989,25,3085,POR,Portland Trail Blazers,11,Clinton Wheeler,PG,6-1,185,"October 27, 1959",US,1,William Paterson University
1989,25,3259,POR,Portland Trail Blazers,21,Danny Young,PG,6-3,175,"July 26, 1962",US,4,Wake Forest
