PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Patrick Ewing,26,9,9,37.8,7.8,16.0,0.486,0.0,0.0,,7.8,16.0,0.486,0.486,4.3,5.8,0.75,2.6,7.4,10.0,2.2,1.0,2.0,1.7,3.9,19.9
Mark Jackson,23,9,9,37.3,5.7,11.1,0.51,1.2,3.1,0.39299999999999996,4.4,8.0,0.556,0.565,2.1,3.1,0.679,0.8,2.7,3.4,10.1,1.1,0.3,3.1,1.0,14.7
Charles Oakley,25,9,9,33.2,3.9,8.1,0.479,0.1,0.2,0.5,3.8,7.9,0.479,0.486,1.8,2.7,0.667,4.8,6.4,11.2,1.2,1.3,0.1,2.4,3.4,9.7
Gerald Wilkins,25,9,9,32.2,7.0,14.6,0.48100000000000004,0.1,1.1,0.1,6.9,13.4,0.512,0.485,2.0,2.6,0.7829999999999999,1.0,2.7,3.7,4.7,1.3,0.3,2.4,3.0,16.1
Johnny Newman,25,9,9,28.7,5.6,11.9,0.467,0.8,3.1,0.25,4.8,8.8,0.544,0.5,4.2,5.4,0.7759999999999999,1.4,1.3,2.8,1.9,0.9,0.1,2.0,3.0,16.1
Trent Tucker,29,9,0,17.7,3.0,6.4,0.466,1.7,3.6,0.469,1.3,2.9,0.462,0.595,0.2,0.4,0.5,1.0,1.1,2.1,1.6,1.1,0.2,0.7,2.2,7.9
Kiki Vandeweghe,30,9,0,17.7,2.8,5.4,0.51,0.3,0.9,0.375,2.4,4.6,0.537,0.541,2.2,2.3,0.9520000000000001,0.2,1.0,1.2,0.8,0.3,0.2,0.6,1.1,8.1
Sidney Green,28,9,0,14.2,1.4,3.3,0.433,0.0,0.0,,1.4,3.3,0.433,0.433,1.1,1.6,0.7140000000000001,1.6,2.4,4.0,0.6,0.2,0.1,0.8,2.6,4.0
Rod Strickland,22,9,0,12.3,2.4,5.4,0.449,0.1,0.1,1.0,2.3,5.3,0.43799999999999994,0.45899999999999996,1.0,1.9,0.529,0.7,0.8,1.4,2.8,0.4,0.1,1.4,2.3,6.0
Kenny Walker,24,9,0,10.0,0.3,1.4,0.231,0.0,0.0,,0.3,1.4,0.231,0.231,1.6,2.1,0.737,0.6,1.2,1.8,0.2,0.1,0.3,0.4,2.4,2.2
Eddie Lee Wilkins,26,7,0,3.7,0.7,1.6,0.455,0.0,0.0,,0.7,1.6,0.455,0.455,0.7,1.4,0.5,0.7,0.9,1.6,0.0,0.0,0.0,0.6,0.4,2.1
Pete Myers,25,4,0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,1.5,0.667,0.3,0.5,0.8,0.3,0.0,0.3,0.0,0.5,1.0
