Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005,25.0,WAS,NBA,C,10.0,10.0,296.0,4.7,8.8,0.542,0.0,0.0,,4.7,8.8,0.542,3.4,5.4,0.636,4.3,5.0,9.2,1.2,1.7,2.4,1.2,4.9,12.9
2006,26.0,WAS,NBA,C,6.0,6.0,155.0,3.5,5.1,0.682,0.0,0.0,,3.5,5.1,0.682,3.0,5.8,0.52,1.6,2.8,4.4,1.2,0.5,2.6,1.6,5.1,10.0
2007,27.0,WAS,NBA,C,3.0,0.0,34.0,5.3,7.4,0.714,0.0,0.0,,5.3,7.4,0.714,3.2,4.2,0.75,3.2,2.1,5.3,1.1,1.1,0.0,1.1,7.4,13.8
2008,28.0,WAS,NBA,C,6.0,6.0,178.0,5.3,8.9,0.591,0.0,0.0,,5.3,8.9,0.591,4.0,5.1,0.8,2.6,5.5,8.1,1.0,0.8,1.8,1.2,5.1,14.6
2010,30.0,DAL,NBA,C,6.0,2.0,139.0,3.1,5.4,0.571,0.0,0.0,,3.1,5.4,0.571,3.1,5.2,0.6,4.7,4.9,9.6,0.8,1.8,2.6,0.8,3.6,9.3
2011,31.0,DAL,NBA,C,18.0,0.0,275.0,2.4,4.1,0.581,0.0,0.0,,2.4,4.1,0.581,2.6,5.6,0.465,4.5,5.1,9.6,0.5,0.3,2.4,1.7,6.3,7.3
2012,32.0,DAL,NBA,C,4.0,4.0,61.0,2.4,8.3,0.286,0.0,0.0,,2.4,8.3,0.286,3.0,4.7,0.625,4.1,3.5,7.7,0.6,0.6,1.2,1.2,4.7,7.7
2015,35.0,CLE,NBA,C,1.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
