Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005,21.0,BOS,NBA,SG,39.0,7.0,507.0,4.7,11.0,0.426,1.7,4.8,0.358,3.0,6.2,0.477,1.3,1.9,0.704,1.0,3.6,4.6,3.8,1.5,0.6,1.7,4.9,12.4
2006,22.0,BOS,NBA,PG,71.0,71.0,2418.0,5.0,10.2,0.487,1.3,3.2,0.385,3.7,6.9,0.534,1.3,1.5,0.851,0.8,3.5,4.3,4.9,1.3,0.7,2.0,2.9,12.4
2007,23.0,BOS,NBA,SG,69.0,47.0,2219.0,5.0,11.6,0.427,1.1,2.9,0.365,3.9,8.7,0.447,2.7,3.2,0.853,0.5,2.9,3.4,4.9,1.2,0.6,2.3,2.5,13.7
2008,24.0,TOT,NBA,PG,61.0,31.0,1533.0,4.6,11.2,0.413,1.1,3.2,0.356,3.5,8.0,0.435,1.6,2.1,0.736,0.7,3.8,4.5,5.4,1.4,0.7,2.7,2.4,11.9
2008,24.0,SEA,NBA,PG,35.0,5.0,727.0,4.8,12.4,0.388,0.9,2.8,0.339,3.9,9.6,0.402,1.3,1.9,0.667,0.6,4.1,4.8,5.6,1.5,0.5,3.3,2.2,11.8
2008,24.0,CLE,NBA,PG,26.0,26.0,806.0,4.4,10.0,0.44,1.3,3.5,0.367,3.1,6.5,0.479,1.8,2.3,0.788,0.8,3.5,4.3,5.2,1.3,0.8,2.3,2.6,12.0
2009,25.0,CLE,NBA,SG,64.0,64.0,2152.0,4.8,10.4,0.457,1.5,3.8,0.399,3.2,6.6,0.49,1.5,1.8,0.833,0.5,2.9,3.4,3.8,1.6,0.2,1.5,2.1,12.6
2010,26.0,CLE,NBA,SG,60.0,3.0,1500.0,4.7,10.5,0.445,0.6,1.8,0.325,4.1,8.6,0.471,2.8,3.4,0.81,0.7,3.4,4.1,4.7,1.3,0.7,2.2,2.1,12.7
2011,27.0,BOS,NBA,PG,24.0,2.0,453.0,4.4,9.5,0.458,1.0,2.6,0.364,3.4,6.9,0.494,1.0,1.2,0.867,0.5,2.5,2.9,5.1,1.6,0.8,2.4,2.3,10.7
2012,28.0,DAL,NBA,PG,44.0,33.0,1060.0,5.6,12.2,0.461,0.9,2.6,0.355,4.7,9.6,0.489,2.1,2.4,0.886,0.4,3.0,3.4,4.7,2.0,0.4,2.6,2.3,14.3
