Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998,21.0,LAC,NBA,C,58,1,740,93,207,0.449,0,0,,93,207,0.449,0.449,46,77,0.597,63,105,168,19,12,81,38,73,232
1999,22.0,LAC,NBA,C,15,0,87,12,23,0.522,0,1,0.0,12,22,0.545,0.522,8,10,0.8,5,20,25,0,3,9,6,14,32
