SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996,27,SAS,Avery Johnson,30,10,10,407,4.6,10.7,0.43,0.0,0.2,0.0,4.6,10.5,0.44,1.7,2.4,0.7,0.5,2.7,3.2,8.3,1.8,0.1,2.1,1.9,10.9
1996,27,SAS,Sean Elliott,27,10,10,389,4.3,10.8,0.4,0.9,3.1,0.29,3.4,7.7,0.45,4.7,5.9,0.8,1.0,2.6,3.6,2.3,1.0,0.4,2.8,2.2,14.3
1996,27,SAS,Vinny Del Negro,29,10,10,379,5.4,11.8,0.46,1.5,2.6,0.59,3.9,9.2,0.42,1.2,1.8,0.68,0.4,2.1,2.5,2.8,1.2,0.3,0.6,1.8,13.6
1996,27,SAS,David Robinson,30,10,10,353,8.5,16.4,0.52,0.0,0.0,,8.5,16.4,0.52,7.1,10.7,0.67,3.8,6.5,10.3,2.4,1.5,2.5,2.4,3.9,24.1
1996,27,SAS,Chuck Person,31,10,0,284,5.2,9.8,0.53,3.2,6.0,0.53,2.0,3.8,0.53,1.8,2.2,0.82,0.6,4.4,5.1,2.0,0.3,0.4,1.4,4.1,15.3
1996,27,SAS,Will Perdue,30,10,2,242,4.3,6.2,0.69,0.0,0.0,,4.3,6.2,0.69,2.4,3.0,0.8,3.9,7.9,11.8,0.7,0.3,0.6,1.6,3.6,11.0
1996,27,SAS,Charles Smith,30,10,8,165,5.2,10.5,0.5,0.0,0.0,,5.2,10.5,0.5,0.7,1.7,0.38,2.4,5.7,8.1,2.2,1.5,2.2,1.7,6.1,11.1
1996,27,SAS,Cory Alexander,22,9,0,70,5.1,12.3,0.42,0.5,2.6,0.2,4.6,9.8,0.47,2.6,3.6,0.71,2.1,2.6,4.6,4.6,1.0,0.0,3.1,4.1,13.4
1996,27,SAS,Greg Anderson,31,6,0,34,0.0,5.3,0.0,0.0,0.0,,0.0,5.3,0.0,1.1,2.1,0.5,2.1,7.4,9.5,0.0,2.1,1.1,4.2,5.3,1.1
1996,27,SAS,Monty Williams,24,7,0,29,2.5,11.2,0.22,0.0,0.0,,2.5,11.2,0.22,3.7,7.4,0.5,3.7,5.0,8.7,0.0,0.0,0.0,5.0,5.0,8.7
1996,27,SAS,Carl Herrera,29,7,0,28,0.0,3.9,0.0,0.0,0.0,,0.0,3.9,0.0,2.6,2.6,1.0,2.6,2.6,5.1,1.3,2.6,1.3,3.9,9.0,2.6
1996,27,SAS,Doc Rivers,34,2,0,20,1.8,5.4,0.33,1.8,3.6,0.5,0.0,1.8,0.0,0.0,0.0,,0.0,1.8,1.8,0.0,0.0,0.0,1.8,5.4,5.4
