Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998,6,1637,CLE,Cleveland Cavaliers,22.0,NBA,PG,80.0,76.0,2483.0,3.8,8.6,0.44,0.0,0.1,0.0,3.8,8.5,0.45,2.9,3.6,0.8,1.0,2.7,3.7,9.5,2.8,0.3,2.8,3.9,10.5
1999,6,1637,CLE,Cleveland Cavaliers,23.0,NBA,PG,39.0,38.0,1186.0,4.1,9.6,0.42,0.0,0.2,0.0,4.1,9.4,0.43,3.2,4.3,0.74,0.5,3.5,4.0,9.2,2.1,0.2,3.2,3.5,11.3
2001,31,1637,TOT,Total After Trade,25.0,NBA,PG,53.0,43.0,1457.0,3.4,9.2,0.38,0.0,0.2,0.1,3.4,8.9,0.38,1.3,1.6,0.82,0.6,3.6,4.2,7.7,2.5,0.1,2.2,3.8,8.2
2001,6,1637,CLE,Cleveland Cavaliers,25.0,NBA,PG,6.0,0.0,93.0,0.8,5.8,0.13,0.0,0.0,,0.8,5.8,0.13,1.9,2.3,0.83,0.4,2.3,2.7,9.7,2.3,0.4,2.7,6.6,3.5
2001,1,1637,ATL,Atlanta Hawks,25.0,NBA,PG,47.0,43.0,1364.0,3.6,9.4,0.38,0.0,0.3,0.1,3.6,9.1,0.39,1.3,1.6,0.82,0.6,3.7,4.2,7.5,2.5,0.1,2.2,3.6,8.6
2002,15,1637,MEM,Memphis Grizzlies,26.0,NBA,PG,53.0,11.0,1151.0,4.4,10.4,0.42,0.1,0.3,0.25,4.3,10.2,0.43,2.7,3.6,0.76,0.3,3.1,3.4,9.4,2.5,0.2,3.5,4.2,11.6
2003,15,1637,MEM,Memphis Grizzlies,27.0,NBA,PG,55.0,4.0,928.0,3.8,8.8,0.42,0.1,0.3,0.25,3.7,8.5,0.43,0.8,1.4,0.54,0.6,2.6,3.1,9.0,2.7,0.1,3.6,4.8,8.4
2004,31,1637,TOT,Total After Trade,28.0,NBA,PG,56.0,13.0,1037.0,3.6,8.5,0.43,0.1,0.3,0.25,3.6,8.3,0.43,1.7,2.3,0.75,0.5,3.4,3.9,7.1,2.9,0.0,2.5,3.7,9.1
2004,24,1637,PHO,Phoenix Suns,28.0,NBA,PG,3.0,0.0,19.0,1.9,5.7,0.33,0.0,0.0,,1.9,5.7,0.33,0.0,0.0,,0.0,5.7,5.7,7.6,5.7,1.9,5.7,1.9,3.8
2004,30,1637,WAS,Washington Wizards,28.0,NBA,PG,32.0,12.0,598.0,3.5,8.3,0.42,0.1,0.3,0.2,3.4,8.0,0.43,1.1,1.6,0.7,0.7,3.0,3.7,6.1,3.1,0.0,2.6,3.0,8.2
2004,17,1637,MIL,Milwaukee Bucks,28.0,NBA,PG,21.0,1.0,420.0,3.9,9.0,0.44,0.1,0.3,0.33,3.9,8.7,0.44,2.6,3.3,0.79,0.3,3.9,4.1,8.4,2.5,0.0,2.1,4.8,10.5
2005,4,1637,CHA,Charlotte Bobcats,29.0,NBA,PG,66.0,61.0,1944.0,4.6,10.9,0.42,0.1,0.4,0.15,4.5,10.5,0.43,3.1,3.6,0.85,0.4,2.8,3.1,10.9,2.4,0.1,2.7,3.6,12.3
2006,4,1637,CHA,Charlotte Bobcats,30.0,NBA,PG,69.0,67.0,2351.0,4.7,11.8,0.4,0.0,0.2,0.23,4.7,11.6,0.4,3.9,4.8,0.8,0.5,2.9,3.4,9.3,2.4,0.1,2.5,3.1,13.3
2007,4,1637,CHA,Charlotte Bobcats,31.0,NBA,PG,45.0,25.0,1273.0,4.3,10.3,0.42,0.0,0.5,0.06,4.3,9.8,0.44,2.9,3.6,0.8,0.4,2.9,3.3,8.4,1.9,0.1,2.7,3.2,11.5
2008,13,1637,LAC,Los Angeles Clippers,32.0,NBA,PG,74.0,39.0,1674.0,3.0,7.4,0.4,0.0,0.1,0.0,3.0,7.2,0.41,1.3,1.5,0.87,0.3,2.7,3.1,7.1,2.2,0.2,1.5,3.4,7.3
2009,29,1637,UTA,Utah Jazz,33.0,NBA,PG,74.0,0.0,938.0,2.5,7.3,0.35,0.0,0.2,0.0,2.5,7.0,0.36,1.8,2.5,0.75,0.5,2.9,3.4,7.3,2.6,0.2,2.5,3.8,6.9
