Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1994,9,1334,DET,Detroit Pistons,Allan Houston,"April 20, 1971",22.0,NBA,SG,79.0,20.0,1519.0,9.1,22.5,0.4,1.2,3.9,0.3,8.0,18.6,0.43,3.0,3.6,0.82,0.6,3.4,4.0,3.4,1.1,0.4,3.3,5.5,22.4,,91.0,114.0
1995,9,1334,DET,Detroit Pistons,Allan Houston,"April 20, 1971",23.0,NBA,SG,76.0,39.0,1996.0,10.3,22.2,0.46,4.1,9.6,0.42,6.2,12.5,0.49,3.8,4.4,0.86,0.7,3.6,4.3,4.2,1.6,0.4,2.9,4.7,28.4,,113.0,116.0
1996,9,1334,DET,Detroit Pistons,Allan Houston,"April 20, 1971",24.0,NBA,SG,82.0,75.0,3072.0,10.0,22.2,0.45,3.4,8.0,0.43,6.6,14.2,0.47,5.3,6.4,0.82,1.0,4.4,5.3,4.5,1.1,0.3,4.2,4.2,28.8,,108.0,108.0
1997,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",25.0,NBA,SG,81.0,81.0,2681.0,8.6,20.4,0.42,2.9,7.6,0.38,5.7,12.8,0.45,3.5,4.3,0.8,0.9,3.9,4.7,3.5,0.8,0.4,3.3,4.6,23.7,,103.0,105.0
1998,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",26.0,NBA,SG,82.0,82.0,2848.0,10.9,24.4,0.45,1.6,4.1,0.38,9.3,20.3,0.46,5.4,6.4,0.85,0.8,4.4,5.2,4.1,1.2,0.5,3.8,4.0,28.8,,102.0,103.0
1999,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",27.0,NBA,SG,50.0,50.0,1815.0,9.0,21.4,0.42,1.7,4.3,0.41,7.2,17.1,0.42,5.1,5.9,0.86,0.6,4.0,4.6,4.2,1.1,0.3,4.0,3.5,24.8,,98.0,102.0
2000,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",28.0,NBA,SG,82.0,82.0,3169.0,10.4,21.6,0.48,1.8,4.1,0.44,8.6,17.5,0.49,4.8,5.7,0.84,0.6,4.0,4.6,3.8,1.1,0.2,3.2,3.7,27.4,,108.0,105.0
2001,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",29.0,NBA,SG,78.0,78.0,2858.0,10.5,23.4,0.45,1.9,4.9,0.38,8.6,18.5,0.47,5.4,5.9,0.91,0.4,5.1,5.5,3.4,1.0,0.2,3.1,3.7,28.3,,104.0,102.0
2002,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",30.0,NBA,SG,77.0,77.0,2914.0,10.4,23.9,0.44,2.5,6.4,0.39,7.9,17.5,0.45,5.4,6.2,0.87,0.7,3.9,4.6,3.5,1.0,0.2,3.1,3.3,28.8,,104.0,110.0
2003,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",31.0,NBA,SG,82.0,82.0,3108.0,11.1,24.9,0.44,3.0,7.7,0.4,8.1,17.3,0.47,6.2,6.7,0.92,0.4,3.5,3.9,3.7,0.9,0.1,3.0,3.3,31.4,,109.0,110.0
2004,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",32.0,NBA,SG,50.0,50.0,1799.0,10.1,23.3,0.44,2.6,6.0,0.43,7.5,17.3,0.44,4.7,5.1,0.91,0.6,3.0,3.6,3.0,1.1,0.1,3.0,3.1,27.5,,104.0,108.0
2005,20,1334,NYK,New York Knicks,Allan Houston,"April 20, 1971",33.0,NBA,SG,20.0,11.0,532.0,8.5,20.4,0.42,3.1,8.0,0.39,5.4,12.4,0.43,3.6,4.3,0.84,0.4,1.9,2.3,4.2,0.8,0.2,2.1,4.0,23.6,,108.0,114.0
