Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
2001,PHI,Allen Iverson,1,1121.0,1240,0.904,MVP
2001,SAS,Tim Duncan,2,706.0,1240,0.569,MVP
2001,LAL,Shaquille O'Neal,3,578.0,1240,0.466,MVP
2001,SAC,Chris Webber,4,521.0,1240,0.42,MVP
2001,MIN,Kevin Garnett,5,151.0,1240,0.122,MVP
2001,ORL,Tracy McGrady,6,64.0,1240,0.052,MVP
2001,UTA,Karl Malone,7,21.0,1240,0.017,MVP
2001,PHO,Jason Kidd,8,18.0,1240,0.015,MVP
2001,LAL,Kobe Bryant,9,11.0,1240,0.009,MVP
2001,SAS,David Robinson,10,8.0,1240,0.006,MVP
2001,MIL,Ray Allen,11T,7.0,1240,0.006,MVP
2001,TOR,Vince Carter,11T,7.0,1240,0.006,MVP
2001,BOS,Paul Pierce,13,5.0,1240,0.004,MVP
2001,DET,Jerry Stackhouse,14,3.0,1240,0.002,MVP
2001,DAL,Michael Finley,15T,1.0,1240,0.001,MVP
2001,MIA,Anthony Mason,15T,1.0,1240,0.001,MVP
2001,UTA,John Stockton,15T,1.0,1240,0.001,MVP
