Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983,21.0,KCK,NBA,C,71.0,3.0,987.0,147.0,287.0,0.512,0.0,1.0,0.0,147.0,286.0,0.514,0.512,89.0,137.0,0.65,133.0,242.0,375.0,33.0,40.0,61.0,96.0,186.0,383.0
1984,22.0,KCK,NBA,C,80.0,38.0,1915.0,333.0,637.0,0.523,0.0,0.0,,333.0,637.0,0.523,0.523,160.0,223.0,0.717,260.0,449.0,709.0,86.0,71.0,145.0,168.0,327.0,826.0
1985,23.0,KCK,NBA,C,82.0,77.0,2458.0,369.0,695.0,0.531,0.0,0.0,,369.0,695.0,0.531,0.531,227.0,315.0,0.721,274.0,580.0,854.0,130.0,98.0,128.0,202.0,328.0,965.0
1986,24.0,SAC,NBA,C,80.0,64.0,2377.0,411.0,794.0,0.518,0.0,1.0,0.0,411.0,793.0,0.518,0.518,202.0,276.0,0.732,252.0,518.0,770.0,168.0,71.0,109.0,184.0,295.0,1024.0
1987,25.0,SAC,NBA,C,82.0,53.0,2166.0,362.0,752.0,0.481,0.0,5.0,0.0,362.0,747.0,0.485,0.481,188.0,255.0,0.737,237.0,450.0,687.0,122.0,69.0,126.0,143.0,290.0,912.0
1988,26.0,SAC,NBA,C,69.0,9.0,1257.0,215.0,456.0,0.471,2.0,5.0,0.4,213.0,451.0,0.472,0.474,118.0,164.0,0.72,138.0,289.0,427.0,68.0,54.0,73.0,109.0,217.0,550.0
1989,27.0,TOT,NBA,C,76.0,71.0,2329.0,416.0,850.0,0.489,0.0,1.0,0.0,416.0,849.0,0.49,0.489,227.0,281.0,0.808,224.0,494.0,718.0,81.0,79.0,94.0,179.0,285.0,1059.0
1989,27.0,SAC,NBA,C,43.0,42.0,1276.0,247.0,536.0,0.461,0.0,1.0,0.0,247.0,535.0,0.462,0.461,152.0,188.0,0.809,120.0,272.0,392.0,44.0,46.0,55.0,117.0,153.0,646.0
1989,27.0,IND,NBA,C,33.0,29.0,1053.0,169.0,314.0,0.538,0.0,0.0,,169.0,314.0,0.538,0.538,75.0,93.0,0.806,104.0,222.0,326.0,37.0,33.0,39.0,62.0,132.0,413.0
1990,28.0,IND,NBA,C,82.0,60.0,2126.0,223.0,471.0,0.473,1.0,5.0,0.2,222.0,466.0,0.476,0.475,107.0,134.0,0.799,175.0,455.0,630.0,106.0,65.0,71.0,150.0,313.0,554.0
1991,29.0,IND,NBA,C,82.0,77.0,1946.0,276.0,565.0,0.488,1.0,5.0,0.2,275.0,560.0,0.491,0.489,72.0,104.0,0.692,154.0,409.0,563.0,147.0,63.0,63.0,168.0,265.0,625.0
1992,30.0,IND,NBA,C,80.0,49.0,1299.0,168.0,359.0,0.468,0.0,2.0,0.0,168.0,357.0,0.471,0.468,58.0,71.0,0.817,98.0,283.0,381.0,102.0,52.0,34.0,98.0,207.0,394.0
1993,31.0,IND,NBA,C,63.0,0.0,730.0,104.0,213.0,0.488,0.0,1.0,0.0,104.0,212.0,0.491,0.488,29.0,39.0,0.744,55.0,123.0,178.0,34.0,29.0,24.0,47.0,137.0,237.0
1994,32.0,IND,NBA,C,30.0,1.0,282.0,27.0,77.0,0.351,0.0,0.0,,27.0,77.0,0.351,0.351,16.0,30.0,0.533,26.0,49.0,75.0,16.0,10.0,8.0,23.0,59.0,70.0
1995,33.0,IND,NBA,C,38.0,3.0,453.0,49.0,118.0,0.415,0.0,0.0,,49.0,118.0,0.415,0.415,14.0,16.0,0.875,28.0,61.0,89.0,18.0,18.0,10.0,33.0,76.0,112.0
1996,34.0,PHI,NBA,C,44.0,11.0,773.0,33.0,83.0,0.398,0.0,0.0,,33.0,83.0,0.398,0.398,19.0,24.0,0.792,62.0,137.0,199.0,26.0,19.0,20.0,37.0,125.0,85.0
1997,35.0,TOT,NBA,C,26.0,0.0,140.0,3.0,19.0,0.158,0.0,0.0,,3.0,19.0,0.158,0.158,4.0,6.0,0.667,7.0,27.0,34.0,2.0,3.0,6.0,9.0,33.0,10.0
1997,35.0,DEN,NBA,C,17.0,0.0,105.0,3.0,16.0,0.188,0.0,0.0,,3.0,16.0,0.188,0.188,1.0,2.0,0.5,5.0,21.0,26.0,0.0,3.0,6.0,7.0,26.0,7.0
1997,35.0,IND,NBA,C,9.0,0.0,35.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,3.0,4.0,0.75,2.0,6.0,8.0,2.0,0.0,0.0,2.0,7.0,3.0
