SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1992,5,CHI,Michael Jordan,28,80,80,38.8,11.8,22.7,0.52,0.3,1.3,0.27,11.5,21.5,0.53,0.53,6.1,7.4,0.83,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1
1992,5,CHI,Scottie Pippen,26,82,82,38.6,8.4,16.6,0.51,0.2,1.0,0.2,8.2,15.6,0.52,0.51,4.0,5.3,0.76,2.3,5.4,7.7,7.0,1.9,1.1,3.1,3.0,21.0
1992,5,CHI,Horace Grant,26,81,81,35.3,5.6,9.8,0.58,0.0,0.0,0.0,5.6,9.7,0.58,0.58,2.9,3.9,0.74,4.2,5.7,10.0,2.7,1.2,1.6,1.2,2.4,14.2
1992,5,CHI,John Paxson,31,79,79,24.6,3.3,6.2,0.53,0.2,0.6,0.27,3.1,5.6,0.55,0.54,0.4,0.5,0.78,0.3,0.9,1.2,3.1,0.6,0.1,0.6,1.8,7.0
1992,5,CHI,Bill Cartwright,34,64,64,23.0,3.3,7.0,0.47,0.0,0.0,,3.3,7.0,0.47,0.47,1.5,2.5,0.6,1.5,3.6,5.1,1.4,0.3,0.2,1.2,2.0,8.0
1992,5,CHI,B.J. Armstrong,24,82,3,22.9,4.1,8.5,0.48,0.4,1.1,0.4,3.7,7.4,0.49,0.51,1.3,1.6,0.81,0.2,1.5,1.8,3.2,0.6,0.1,1.1,1.1,9.9
1992,5,CHI,Stacey King,25,79,12,16.1,2.7,5.4,0.51,0.0,0.1,0.4,2.7,5.3,0.51,0.51,1.5,2.0,0.75,1.1,1.5,2.6,1.0,0.3,0.3,1.0,1.6,7.0
1992,5,CHI,Will Perdue,26,77,7,13.1,2.0,3.6,0.55,0.0,0.0,0.5,2.0,3.6,0.55,0.55,0.6,1.2,0.5,1.4,2.6,4.1,1.0,0.2,0.6,0.9,1.7,4.5
1992,5,CHI,Cliff Levingston,31,79,0,12.9,1.6,3.2,0.5,0.0,0.1,0.17,1.6,3.1,0.51,0.5,0.8,1.2,0.62,1.4,1.5,2.9,0.8,0.3,0.6,0.5,1.7,3.9
1992,5,CHI,Bob Hansen,31,66,0,11.7,1.1,2.6,0.44,0.1,0.4,0.28,1.0,2.2,0.47,0.46,0.1,0.3,0.36,0.2,0.9,1.1,1.0,0.4,0.0,0.4,1.9,2.5
1992,5,CHI,Scott Williams,23,63,0,11.0,1.3,2.7,0.48,0.0,0.0,0.0,1.3,2.7,0.49,0.48,0.8,1.2,0.65,1.4,2.5,3.9,0.8,0.2,0.6,0.6,1.9,3.4
1992,5,CHI,Craig Hodges,31,56,2,9.9,1.7,4.3,0.38,0.6,1.7,0.38,1.0,2.6,0.39,0.46,0.3,0.3,0.94,0.1,0.3,0.4,1.0,0.3,0.0,0.4,0.6,4.3
1992,5,CHI,Dennis Hopson,26,2,0,5.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0
1992,5,CHI,Mark Randall,24,15,0,4.5,0.7,1.5,0.46,0.0,0.1,0.0,0.7,1.3,0.5,0.46,0.4,0.5,0.75,0.3,0.3,0.6,0.5,0.0,0.0,0.4,0.5,1.7
1992,5,CHI,Rory Sparrow,33,4,0,4.5,0.3,2.0,0.12,0.3,0.5,0.5,0.0,1.5,0.0,0.19,0.0,0.0,,0.0,0.3,0.3,1.0,0.0,0.0,0.5,0.5,0.8
1992,5,CHI,Chuck Nevitt,32,4,0,2.3,0.3,0.8,0.33,0.0,0.0,,0.3,0.8,0.33,0.33,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.8,0.5,0.5
