Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,8,1987,DEN,Denver Nuggets,27.0,NBA,PG,5.0,5.0,174.0,7.0,14.9,0.47,0.0,0.4,0.0,7.0,14.5,0.49,1.9,2.3,0.82,3.1,1.7,4.8,3.3,1.7,0.0,2.1,3.3,15.9
2005,8,1987,DEN,Denver Nuggets,28.0,NBA,PG,5.0,5.0,184.0,5.5,12.9,0.42,0.4,0.8,0.5,5.1,12.1,0.42,4.5,6.3,0.72,1.8,3.3,5.1,5.1,2.0,0.2,2.3,4.3,15.8
2006,8,1987,DEN,Denver Nuggets,29.0,NBA,PG,5.0,5.0,182.0,6.7,15.2,0.44,0.0,0.0,,6.7,15.2,0.44,2.8,3.4,0.82,1.6,2.8,4.4,7.1,1.0,0.2,3.2,2.4,16.2
2008,23,1987,PHI,Philadelphia 76Ers,31.0,NBA,PG,6.0,6.0,229.0,6.1,14.0,0.44,0.0,0.5,0.0,6.1,13.5,0.45,2.2,3.5,0.64,1.1,1.9,3.0,3.1,0.8,0.0,2.2,1.9,14.5
2009,23,1987,PHI,Philadelphia 76Ers,32.0,NBA,PG,6.0,6.0,258.0,6.7,14.1,0.48,0.4,1.4,0.3,6.3,12.7,0.5,3.9,4.7,0.82,1.3,4.0,5.3,4.5,1.0,0.1,2.7,2.4,17.7
2010,25,1987,POR,Portland Trail Blazers,33.0,NBA,PG,6.0,6.0,210.0,5.1,12.7,0.4,0.5,1.2,0.43,4.6,11.5,0.4,5.3,6.9,0.78,0.9,2.4,3.3,6.2,1.2,0.2,3.3,2.1,16.1
2011,25,1987,POR,Portland Trail Blazers,34.0,NBA,PG,6.0,6.0,194.0,6.1,12.4,0.49,0.7,1.9,0.4,5.4,10.6,0.51,3.5,4.5,0.79,0.9,2.6,3.5,6.1,0.4,0.0,2.4,3.2,16.5
2012,8,1987,DEN,Denver Nuggets,35.0,NBA,SG,7.0,0.0,200.0,5.6,13.1,0.42,0.7,1.3,0.57,4.9,11.9,0.41,2.3,2.7,0.87,2.5,4.5,7.0,7.6,1.6,0.2,3.1,3.4,14.2
2013,8,1987,DEN,Denver Nuggets,36.0,NBA,PG,6.0,0.0,154.0,6.8,16.1,0.42,1.2,2.6,0.46,5.6,13.6,0.41,4.9,6.3,0.78,2.6,2.1,4.7,5.4,0.5,0.0,3.7,1.9,19.6
2014,30,1987,WAS,Washington Wizards,37.0,NBA,SG,11.0,0.0,108.0,6.3,13.7,0.46,0.3,1.0,0.33,6.0,12.7,0.47,1.7,3.0,0.56,0.7,3.0,3.7,3.0,1.0,0.0,2.7,4.0,14.7
2016,27,1987,SAS,San Antonio Spurs,39.0,NBA,PG,5.0,0.0,35.0,3.1,7.2,0.43,1.0,3.1,0.33,2.1,4.1,0.5,2.1,2.1,1.0,2.1,3.1,5.1,7.2,0.0,0.0,0.0,4.1,9.3
