SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1982,13,SDC,15,Jim Brogan,SG,6-4,185,1958-02-24,US,R,West Virginia Wesleyan College
1982,13,SDC,7,Michael Brooks,SF,6-7,220,1958-08-17,US,1,La Salle
1982,13,SDC,23,Joe Bryant,SF,6-9,185,1954-10-19,US,6,La Salle
1982,13,SDC,22,Tom Chambers,PF,6-10,220,1959-06-21,US,R,Utah
1982,13,SDC,1,Charlie Criss,PG,5-8,165,1948-11-06,US,4,New Mexico State
1982,13,SDC,42,Ron Davis,SF,6-6,198,1954-05-01,US,2,Washington State
1982,13,SDC,13,John Douglas,SG,6-2,170,1956-06-12,US,R,Kansas
1982,13,SDC,24,Armond Hill,PG,6-4,190,1953-03-31,US,5,Princeton
1982,13,SDC,34,Rock Lee,C,6-10,220,1955-05-01,US,R,"California, San Diego State"
1982,13,SDC,31,Swen Nater,C,6-11,240,1950-01-14,NL,8,UCLA
1982,13,SDC,30,Jim Smith,PF,6-9,225,1958-04-12,US,R,Ohio State
1982,13,SDC,11,Phil Smith,SG,6-4,185,1952-04-22,US,7,San Francisco
1982,13,SDC,14,Brian Taylor,PG,6-2,185,1951-06-09,US,9,Princeton
1982,13,SDC,33,Jerome Whitehead,C,6-10,220,1956-09-30,US,3,Marquette
1982,13,SDC,21,Michael Wiley,PF,6-9,200,1957-10-16,US,1,Cal State Long Beach
1982,13,SDC,20,Freeman Williams,SG,6-4,190,1956-05-15,US,3,Portland State
1982,13,SDC,4,Al Wood,SG,6-6,193,1958-06-02,US,R,UNC
