SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1982,26,KCK,9,Kenny Dennard,PF,6-8,220,1958-10-18,US,R,Duke
1982,26,KCK,13,Leon Douglas,C,6-10,230,1954-08-26,US,5,Alabama
1982,26,KCK,22,Larry Drew,PG,6-1,170,1958-04-02,US,1,Missouri
1982,26,KCK,1,Phil Ford,PG,6-2,175,1956-02-09,US,3,UNC
1982,26,KCK,20,Ernie Grunfeld,SG,6-6,210,1955-04-24,RO,4,Tennessee
1982,26,KCK,8,Eddie Johnson,SF,6-7,215,1959-05-01,US,R,Illinois
1982,26,KCK,32,Reggie Johnson,PF,6-9,205,1957-06-25,US,1,Tennessee
1982,26,KCK,33,Steve Johnson,C,6-10,235,1957-11-03,US,R,Oregon State
1982,26,KCK,51,Reggie King,SF,6-6,225,1957-02-14,US,2,Alabama
1982,26,KCK,44,Sam Lacey,C,6-10,235,1948-03-28,US,11,New Mexico State
1982,26,KCK,24,John Lambert,PF,6-10,225,1953-01-14,US,6,USC
1982,26,KCK,30,Kevin Loder,SF,6-6,205,1959-03-15,US,R,"Kentucky State University, Alabama State University"
1982,26,KCK,50,Joe Meriweather,C,6-10,215,1953-10-26,US,6,Southern Illinois
1982,26,KCK,11,Cliff Robinson,PF,6-9,220,1960-03-13,US,2,USC
1982,26,KCK,43,Hawkeye Whitney,SG,6-5,235,1957-06-22,US,1,NC State
1982,26,KCK,42,Mike Woodson,SG,6-5,195,1958-03-24,US,1,Indiana
