Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1989,23.0,LAC,NBA,PG,71.0,48.0,1924.0,361.0,830.0,0.435,5.0,22.0,0.227,356.0,808.0,0.441,0.438,119.0,162.0,0.735,80.0,158.0,238.0,506.0,144.0,9.0,258.0,170.0,846.0,,0.0
1990,24.0,LAC,NBA,PG,44.0,44.0,1529.0,241.0,517.0,0.466,5.0,21.0,0.238,236.0,496.0,0.476,0.471,88.0,113.0,0.779,59.0,136.0,195.0,442.0,108.0,5.0,206.0,120.0,575.0,,1.0
1991,25.0,LAC,NBA,PG,68.0,65.0,2105.0,265.0,587.0,0.451,9.0,39.0,0.231,256.0,548.0,0.467,0.459,51.0,74.0,0.689,69.0,140.0,209.0,587.0,103.0,12.0,210.0,192.0,590.0,,0.0
1992,26.0,LAC,NBA,PG,78.0,53.0,2049.0,275.0,595.0,0.462,15.0,51.0,0.294,260.0,544.0,0.478,0.475,44.0,54.0,0.815,34.0,150.0,184.0,538.0,138.0,14.0,187.0,181.0,609.0,,0.0
1993,27.0,LAC,NBA,PG,74.0,8.0,1624.0,210.0,476.0,0.441,11.0,42.0,0.262,199.0,434.0,0.459,0.453,55.0,74.0,0.743,27.0,112.0,139.0,353.0,106.0,9.0,129.0,168.0,486.0,,0.0
1994,28.0,LAC,NBA,PG,78.0,8.0,1533.0,253.0,563.0,0.449,17.0,62.0,0.274,236.0,501.0,0.471,0.464,65.0,76.0,0.855,42.0,100.0,142.0,291.0,119.0,12.0,136.0,139.0,588.0,,0.0
1995,29.0,LAC,NBA,PG,33.0,2.0,470.0,78.0,166.0,0.47,4.0,16.0,0.25,74.0,150.0,0.493,0.482,45.0,55.0,0.818,8.0,27.0,35.0,93.0,29.0,3.0,44.0,66.0,205.0,,0.0
1996,30.0,NYK,NBA,PG,47.0,1.0,596.0,88.0,181.0,0.486,8.0,24.0,0.333,80.0,157.0,0.51,0.508,48.0,58.0,0.828,12.0,40.0,52.0,69.0,39.0,3.0,45.0,91.0,232.0,,0.0
1997,31.0,MIA,NBA,PG,28.0,0.0,365.0,39.0,110.0,0.355,14.0,46.0,0.304,25.0,64.0,0.391,0.418,18.0,22.0,0.818,8.0,30.0,38.0,45.0,16.0,0.0,27.0,39.0,110.0,,0.0
1998,32.0,POR,NBA,PG,22.0,2.0,359.0,43.0,93.0,0.462,7.0,19.0,0.368,36.0,74.0,0.486,0.5,12.0,14.0,0.857,8.0,40.0,48.0,84.0,17.0,2.0,24.0,30.0,105.0,,0.0
1999,33.0,POR,NBA,PG,2.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,0.0
2001,35.0,POR,NBA,PG,4.0,0.0,17.0,5.0,7.0,0.714,0.0,0.0,,5.0,7.0,0.714,0.714,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,,0.0
