Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1980,5.0,1039,CHI,Chicago Bulls,30.0,NBA,C,48.0,1568.0,19.9,0.64,0.0,0.67,7.9,22.7,15.5,13.0,0.9,2.1,16.7,20.7,4.0,1.7,5.6,0.17,2.5,0.4,2.9,1.9
1981,5.0,1039,CHI,Chicago Bulls,31.0,NBA,C,82.0,2832.0,21.7,0.7,0.0,0.65,9.2,23.5,16.7,8.9,0.8,4.0,18.4,18.5,8.4,3.9,12.3,0.21,3.1,1.2,4.3,4.5
1982,5.0,1039,CHI,Chicago Bulls,32.0,NBA,C,82.0,2796.0,22.4,0.7,0.0,0.66,9.5,23.7,16.9,7.5,0.8,4.3,17.4,19.6,8.3,3.8,12.1,0.21,3.0,1.3,4.3,4.4
1983,27.0,1039,SAS,San Antonio Spurs,33.0,NBA,C,82.0,2797.0,21.2,0.67,0.01,0.56,12.1,25.8,19.2,6.1,0.7,3.7,18.7,19.4,7.5,3.5,11.0,0.19,2.7,0.2,2.8,3.4
1984,27.0,1039,SAS,San Antonio Spurs,34.0,NBA,C,64.0,2034.0,18.8,0.68,0.0,0.7,11.4,23.1,17.3,4.3,0.8,3.4,17.0,16.7,4.8,1.9,6.7,0.16,1.5,-0.1,1.4,1.7
1985,27.0,1039,SAS,San Antonio Spurs,35.0,NBA,C,81.0,2756.0,20.3,0.68,0.0,0.76,9.8,24.5,17.4,6.4,0.7,3.5,17.5,20.0,7.1,3.3,10.5,0.18,2.0,0.2,2.2,2.9
1986,27.0,1039,SAS,San Antonio Spurs,36.0,NBA,C,71.0,2395.0,17.1,0.66,0.0,0.7,8.1,20.1,14.3,5.8,0.8,2.5,17.2,18.2,4.8,2.4,7.1,0.14,0.8,0.0,0.8,1.7
1987,27.0,1039,SAS,San Antonio Spurs,37.0,NBA,C,82.0,2405.0,14.2,0.63,0.0,0.61,8.1,18.8,13.3,8.3,0.8,2.3,19.5,15.3,3.0,1.8,4.9,0.1,-0.8,-0.2,-1.0,0.6
1988,31.0,1039,TOT,Total After Trade,38.0,NBA,C,71.0,893.0,8.4,0.56,0.0,0.71,9.6,17.8,13.9,3.0,0.8,2.0,22.0,14.6,-0.1,1.0,0.9,0.05,-4.5,-0.8,-5.3,-0.7
1988,5.0,1039,CHI,Chicago Bulls,38.0,NBA,C,24.0,372.0,6.0,0.52,0.0,0.46,4.7,14.7,9.7,3.2,0.7,1.9,22.5,14.3,-0.3,0.4,0.1,0.01,-5.7,-0.2,-5.9,-0.4
1988,2.0,1039,BOS,Boston Celtics,38.0,NBA,C,47.0,521.0,10.2,0.58,0.0,0.9,13.1,20.0,16.8,2.9,0.9,2.0,21.7,14.8,0.2,0.5,0.8,0.07,-3.7,-1.2,-4.9,-0.4
