Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2010,22.0,WAS,NBA,SG,11.0,182.0,16.2,0.564,0.153,0.492,9.3,11.6,10.4,6.4,2.0,0.4,12.2,20.4,,0.3,0.1,0.4,0.108,,1.7,-0.1,1.6,0.2
2011,23.0,TOT,NBA,SG,56.0,1118.0,10.8,0.544,0.193,0.348,6.2,12.7,9.3,5.4,1.8,1.2,15.3,14.5,,0.5,0.6,1.0,0.045,,-2.1,-0.4,-2.5,-0.1
2011,23.0,SAS,NBA,SG,5.0,18.0,-2.1,0.333,0.0,0.0,13.2,6.3,9.7,0.0,0.0,7.9,50.0,15.3,,-0.1,0.0,-0.1,-0.175,,-8.5,-0.7,-9.2,0.0
2011,23.0,WAS,NBA,SG,11.0,127.0,9.9,0.496,0.074,0.444,9.5,10.3,9.9,5.9,2.8,0.0,19.9,14.0,,0.0,0.1,0.1,0.023,,-2.6,-0.2,-2.8,0.0
2011,23.0,CLE,NBA,SG,40.0,973.0,11.1,0.552,0.209,0.342,5.6,13.1,9.3,5.5,1.7,1.3,14.0,14.6,,0.6,0.5,1.0,0.052,,-1.9,-0.4,-2.3,-0.1
2012,24.0,CLE,NBA,SG,63.0,1827.0,13.2,0.516,0.249,0.385,6.1,14.3,10.0,10.6,2.4,0.7,15.0,18.7,,1.2,1.2,2.4,0.063,,-1.2,-0.2,-1.4,0.3
2013,25.0,CLE,NBA,SF,82.0,2541.0,10.5,0.505,0.294,0.276,3.3,11.7,7.3,8.2,2.2,0.9,13.7,16.9,,0.5,1.5,1.9,0.036,,-2.2,-0.3,-2.6,-0.4
2014,26.0,CLE,NBA,SF,65.0,1020.0,8.6,0.491,0.246,0.258,3.8,12.8,8.2,6.9,2.0,1.2,14.3,13.4,,-0.1,1.0,0.9,0.041,,-3.7,0.6,-3.1,-0.3
2015,27.0,TOT,NBA,SF,54.0,662.0,13.0,0.548,0.188,0.414,5.9,9.5,7.7,5.8,2.7,0.8,13.0,16.7,,0.6,0.6,1.2,0.086,,-1.3,0.7,-0.6,0.2
2015,27.0,DEN,NBA,SF,39.0,511.0,14.0,0.574,0.175,0.474,5.9,9.0,7.4,5.7,2.7,0.9,13.1,16.1,,0.7,0.4,1.1,0.1,,-0.5,0.7,0.2,0.3
2015,27.0,POR,NBA,SF,15.0,151.0,9.7,0.47,0.224,0.245,5.8,11.1,8.5,6.0,2.4,0.5,12.8,18.5,,-0.1,0.2,0.1,0.039,,-3.8,0.6,-3.2,0.0
2016,28.0,NOP,NBA,SF,73.0,1632.0,8.4,0.572,0.235,0.259,3.9,13.0,8.3,6.2,1.9,0.7,16.2,9.2,,1.0,0.9,1.9,0.056,,-3.2,0.6,-2.6,-0.2
2017,29.0,DEN,NBA,SF,13.0,89.0,3.1,0.306,0.214,0.643,5.0,13.5,9.3,8.2,2.7,0.9,18.2,10.5,,-0.1,0.1,-0.1,-0.032,,-7.5,0.7,-6.7,-0.1
