Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,23.0,DAL,NBA,PF,82.0,42.0,2317.0,5.4,11.4,0.471,0.1,0.6,0.25,5.3,10.9,0.483,3.1,3.8,0.82,2.9,6.5,9.4,2.1,1.0,1.0,1.6,3.7,14.0
1986,24.0,DAL,NBA,PF,80.0,79.0,2626.0,6.3,12.5,0.503,0.2,0.5,0.333,6.1,12.0,0.51,4.2,5.2,0.814,2.7,6.7,9.4,2.1,1.0,1.3,2.0,2.9,16.9
1987,25.0,DAL,NBA,PF,80.0,80.0,2687.0,6.2,12.8,0.482,0.3,0.7,0.352,5.9,12.1,0.489,3.3,4.0,0.828,2.6,5.6,8.3,2.0,1.5,1.0,1.8,3.6,15.9
1988,26.0,DAL,NBA,PF,75.0,75.0,2499.0,5.7,12.6,0.45,0.1,0.4,0.167,5.6,12.2,0.46,3.9,4.8,0.822,2.9,5.8,8.7,1.7,1.1,0.8,1.7,3.3,15.4
1989,27.0,DAL,NBA,PF,78.0,77.0,2860.0,5.6,12.1,0.464,0.1,0.5,0.184,5.5,11.6,0.476,3.4,4.1,0.833,3.0,5.7,8.7,1.6,1.0,1.2,1.8,2.8,14.7
1990,28.0,DAL,NBA,SF,76.0,70.0,2668.0,5.9,11.9,0.493,0.1,0.4,0.214,5.8,11.5,0.502,4.5,5.7,0.778,2.8,4.9,7.7,2.4,1.2,0.9,2.0,3.0,16.3
1991,29.0,LAL,NBA,PF,73.0,66.0,2504.0,5.3,10.7,0.495,0.3,0.9,0.281,5.0,9.8,0.515,3.3,4.0,0.821,2.4,5.3,7.7,1.6,0.9,1.1,1.5,3.6,14.1
1992,30.0,LAL,NBA,PF,63.0,63.0,2332.0,5.6,12.4,0.45,0.2,1.1,0.217,5.3,11.3,0.471,4.7,5.7,0.817,3.0,5.6,8.6,2.2,1.0,1.0,1.3,3.0,16.1
1993,31.0,TOT,NBA,PF,79.0,62.0,2351.0,5.8,12.2,0.477,0.4,1.1,0.338,5.5,11.1,0.49,3.8,4.7,0.82,2.5,5.5,8.0,2.4,0.9,1.3,1.7,3.4,15.9
1993,31.0,LAL,NBA,PF,49.0,49.0,1589.0,5.5,11.9,0.459,0.1,0.7,0.172,5.4,11.3,0.476,4.2,5.0,0.829,2.5,6.1,8.6,2.9,0.9,1.2,1.7,3.1,15.2
1993,31.0,SEA,NBA,PF,30.0,13.0,762.0,6.6,12.9,0.511,0.9,2.0,0.452,5.7,10.9,0.522,3.1,3.9,0.795,2.5,4.4,6.9,1.3,0.9,1.5,1.5,4.1,17.1
1994,32.0,SEA,NBA,PF,81.0,41.0,2170.0,5.7,12.9,0.438,1.6,4.5,0.367,4.0,8.4,0.475,3.6,4.5,0.801,2.0,4.1,6.1,1.8,1.1,0.5,1.7,3.3,16.6
1995,33.0,SEA,NBA,C,82.0,37.0,2356.0,5.3,11.3,0.466,2.1,5.2,0.397,3.2,6.1,0.526,3.3,4.1,0.799,1.5,4.6,6.1,2.1,1.1,0.7,1.2,2.8,15.9
1996,34.0,SEA,NBA,PF,82.0,20.0,2169.0,5.4,13.2,0.408,2.1,6.0,0.355,3.3,7.2,0.452,3.2,4.0,0.793,1.7,4.4,6.1,2.0,1.4,0.8,1.4,2.9,16.1
1997,35.0,SEA,NBA,C,81.0,4.0,1976.0,5.3,12.0,0.439,2.2,5.6,0.395,3.1,6.4,0.477,3.4,4.2,0.817,1.3,4.1,5.5,1.9,1.3,0.9,1.4,2.4,16.2
1998,36.0,SEA,NBA,PF,81.0,0.0,1675.0,4.2,10.1,0.416,1.9,4.8,0.392,2.3,5.4,0.438,2.2,2.8,0.789,1.1,4.3,5.5,2.4,1.3,0.6,1.3,3.4,12.5
1999,37.0,IND,NBA,PF,48.0,0.0,789.0,3.7,9.1,0.4,1.6,4.1,0.389,2.1,5.0,0.409,2.0,2.7,0.717,1.6,4.7,6.3,1.1,0.7,0.6,1.0,3.4,10.9
2001,39.0,IND,NBA,PF,64.0,41.0,999.0,3.1,8.1,0.381,1.4,4.0,0.345,1.7,4.2,0.414,1.2,1.4,0.842,1.2,4.9,6.1,1.5,1.2,0.6,0.7,2.2,8.7
