Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1992,21.0,CLE,NBA,PG,82.0,9.0,1605.0,7.9,18.9,0.419,0.0,0.7,0.043,7.9,18.2,0.434,3.1,3.9,0.806,1.5,3.6,5.1,10.0,2.6,0.7,4.3,3.4,19.1,,97.0,109.0
1993,22.0,CLE,NBA,PG,82.0,8.0,1622.0,9.3,19.4,0.478,0.4,1.3,0.31,8.9,18.1,0.491,3.7,4.5,0.825,1.2,4.4,5.6,9.4,2.5,0.8,3.3,3.8,22.6,,108.0,106.0
1994,23.0,CLE,NBA,PG,73.0,10.0,1548.0,7.8,18.5,0.42,0.2,1.1,0.219,7.5,17.5,0.432,4.7,5.5,0.858,1.3,4.1,5.4,9.4,2.8,0.5,3.8,3.7,20.5,,103.0,105.0
1995,24.0,CLE,NBA,PG,67.0,41.0,1961.0,9.8,22.0,0.448,1.4,3.5,0.397,8.5,18.5,0.457,4.6,5.4,0.855,1.0,4.4,5.4,10.5,3.1,0.4,4.2,3.4,25.7,,108.0,104.0
1996,25.0,CLE,NBA,PG,75.0,75.0,2570.0,11.6,24.9,0.465,2.1,5.3,0.387,9.5,19.5,0.487,7.7,8.6,0.887,1.1,4.6,5.6,11.0,3.0,0.7,3.2,3.3,32.9,,121.0,106.0
1997,26.0,CLE,NBA,PG,78.0,78.0,2868.0,11.6,26.5,0.438,2.0,5.5,0.373,9.6,21.0,0.455,5.4,6.0,0.902,1.0,5.1,6.1,9.9,2.8,0.6,3.6,3.6,30.7,,111.0,102.0
1998,27.0,MIL,NBA,PG,50.0,48.0,1784.0,10.1,21.8,0.464,0.9,2.8,0.333,9.2,19.0,0.483,3.9,4.7,0.846,0.7,4.6,5.3,11.5,3.3,0.5,4.3,3.6,25.1,,108.0,104.0
1999,28.0,TOT,NBA,PG,36.0,34.0,1217.0,9.4,22.4,0.418,0.5,2.1,0.255,8.8,20.3,0.435,2.9,3.4,0.833,1.2,4.7,5.9,13.6,2.8,0.4,3.3,3.6,22.1,,105.0,102.0
1999,28.0,MIL,NBA,PG,15.0,14.0,505.0,9.3,22.7,0.409,0.8,3.1,0.25,8.5,19.7,0.433,2.8,3.4,0.839,1.2,4.6,5.8,11.4,2.6,0.3,3.9,2.7,22.2,,100.0,104.0
1999,28.0,MIN,NBA,PG,21.0,20.0,712.0,9.4,22.1,0.425,0.4,1.4,0.263,9.0,20.7,0.436,2.9,3.5,0.83,1.2,4.8,6.0,15.2,2.9,0.5,2.8,4.2,22.1,,108.0,101.0
2001,30.0,MIN,NBA,PG,78.0,78.0,2821.0,9.5,21.0,0.451,0.6,1.7,0.363,8.9,19.3,0.458,3.6,4.2,0.871,1.1,4.4,5.5,10.8,3.0,0.4,2.9,2.6,23.2,,109.0,104.0
2002,31.0,MIN,NBA,PG,32.0,28.0,962.0,8.5,20.1,0.425,0.2,1.3,0.174,8.3,18.9,0.442,4.6,4.6,0.988,0.9,4.2,5.1,14.6,2.9,0.3,2.4,2.7,21.9,,117.0,105.0
