Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
2005,PHO,Steve Nash,1,1066.0,1270,0.839,MVP
2005,MIA,Shaquille O'Neal,2,1032.0,1270,0.813,MVP
2005,DAL,Dirk Nowitzki,3,349.0,1270,0.275,MVP
2005,SAS,Tim Duncan,4,328.0,1270,0.258,MVP
2005,PHI,Allen Iverson,5,240.0,1270,0.189,MVP
2005,CLE,LeBron James,6,93.0,1270,0.073,MVP
2005,HOU,Tracy McGrady,7,44.0,1270,0.035,MVP
2005,MIA,Dwyane Wade,8,43.0,1270,0.034,MVP
2005,PHO,Amar'e Stoudemire,9T,41.0,1270,0.032,MVP
2005,SEA,Ray Allen,9T,41.0,1270,0.032,MVP
2005,MIN,Kevin Garnett,11,15.0,1270,0.012,MVP
2005,WAS,Gilbert Arenas,12,4.0,1270,0.003,MVP
2005,TOT,Vince Carter,13,3.0,1270,0.002,MVP
2005,NOH,P.J. Brown,14T,1.0,1270,0.001,MVP
2005,DEN,Marcus Camby,14T,1.0,1270,0.001,MVP
2005,PHO,Shawn Marion,14T,1.0,1270,0.001,MVP
