Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,22.0,SAC,NBA,PF,34.0,6.0,750.0,4.9,11.0,0.448,0.0,0.0,,4.9,11.0,0.448,2.1,3.6,0.579,2.8,4.9,7.7,2.4,1.9,0.2,2.0,3.0,12.0
1992,23.0,SAC,NBA,PF,79.0,18.0,2287.0,4.6,10.4,0.447,0.0,0.1,0.25,4.6,10.3,0.448,2.4,3.8,0.627,3.0,4.6,7.6,2.0,1.5,0.4,2.1,3.1,11.6
1993,24.0,SAC,NBA,PF,70.0,35.0,1764.0,4.7,10.1,0.461,0.0,0.1,0.0,4.7,10.0,0.467,2.9,4.9,0.593,3.8,5.4,9.3,2.0,1.8,0.3,2.1,3.7,12.3
1994,25.0,NYK,NBA,SF,73.0,38.0,1402.0,4.2,7.4,0.563,0.0,0.0,,4.2,7.4,0.563,1.3,2.7,0.476,3.9,5.0,8.8,2.3,2.0,0.3,2.3,4.5,9.6
1995,26.0,NYK,NBA,PF,58.0,23.0,1126.0,2.8,6.2,0.456,0.0,0.2,0.2,2.8,6.0,0.463,1.4,2.1,0.657,3.6,4.8,8.4,2.6,1.5,0.7,2.5,5.1,7.1
1996,27.0,ORL,NBA,PF,4.0,0.0,43.0,4.2,12.6,0.333,0.0,0.0,,4.2,12.6,0.333,2.5,5.9,0.429,5.0,10.9,15.9,3.3,2.5,0.0,2.5,9.2,10.9
