NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
45,Cole Aldrich,C,6-11,250,1988-10-31,US,7,Kansas
8,Nemanja Bjelica,PF,6-10,234,1988-05-09,RS,2,
30,Aaron Brooks,PG,6-0,161,1985-01-14,US,9,Oregon
3,Anthony Brown,SF,6-7,210,1992-10-10,US,2,Stanford
23,Jimmy Butler,SG,6-7,230,1989-09-14,US,6,Marquette
11,Jamal Crawford,SG,6-5,185,1980-03-20,US,17,Michigan
5,Gorgui Dieng,C,6-10,252,1990-01-18,SN,4,Louisville
13,Marcus Georges-Hunt,SG,6-5,216,1994-03-28,US,1,Georgia Tech
67,Taj Gibson,PF,6-9,232,1985-06-24,US,8,USC
1,Tyus Jones,PG,6-0,196,1996-05-10,US,2,Duke
15,Shabazz Muhammad,SF,6-6,223,1992-11-13,US,4,UCLA
24,Justin Patton,C,6-11,241,1997-06-14,US,R,Creighton
25,Derrick Rose,PG,6-2,200,1988-10-04,US,8,Memphis
0,Jeff Teague,PG,6-3,195,1988-06-10,US,8,Wake Forest
32,Karl-Anthony Towns,C,6-11,248,1995-11-15,US,2,Kentucky
22,Andrew Wiggins,SF,6-7,197,1995-02-23,CA,3,Kansas
