NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
13,Quincy Acy,PF,6-7,240,1990-10-06,US,5,Baylor
31,Jarrett Allen,C,6-11,243,1998-04-21,US,R,Texas
35,Trevor Booker,PF,6-8,228,1987-11-25,US,7,Clemson
9,DeMarre Carroll,PF,6-6,215,1986-07-27,US,8,"Vanderbilt, Missouri"
33,Allen Crabbe,SG,6-5,212,1992-04-09,US,4,California
44,Dante Cunningham,SF,6-8,230,1987-04-22,US,8,Villanova
8,Spencer Dinwiddie,PG,6-5,215,1993-04-06,US,3,Colorado
14,Milton Doyle,SG,6-4,185,1993-10-31,US,R,Loyola Chicago
12,Joe Harris,SG,6-6,220,1991-09-06,US,3,Virginia
24,Rondae Hollis-Jefferson,SF,6-6,217,1995-01-03,US,2,Arizona
6,Sean Kilpatrick,SG,6-4,210,1990-01-06,US,3,Cincinnati
22,Caris LeVert,SF,6-6,205,1994-08-25,US,1,Michigan
7,Jeremy Lin,PG,6-3,200,1988-08-23,US,7,Harvard University
20,Timofey Mozgov,C,7-1,275,1986-07-16,RU,7,
4,Jahlil Okafor,C,6-10,270,1995-12-15,US,2,Duke
1,D'Angelo Russell,PG,6-4,193,1996-02-23,US,2,Ohio State
2,Nik Stauskas,SG,6-6,205,1993-10-07,CA,3,Michigan
17,Rashad Vaughn,SG,6-6,202,1996-08-16,US,2,UNLV
0,James Webb,SF,6-9,202,1993-08-19,US,R,Boise State
15,Isaiah Whitehead,PG,6-4,213,1995-03-08,US,1,Seton Hall
21,Jacob Wiley,PF,6-7,215,1994-09-04,US,R,Eastern Washington
44,Tyler Zeller,C,7-0,253,1990-01-17,US,5,UNC
