Team
Golden State Warriors
Denver Nuggets
Phoenix Suns
Los Angeles Lakers
Utah Jazz
Orlando Magic
Indiana Pacers
Sacramento Kings
New Orleans Hornets
Memphis Grizzlies
Boston Celtics
Dallas Mavericks
Toronto Raptors
Washington Wizards
Atlanta Hawks
Seattle Supersonics
Detroit Pistons
Chicago Bulls
Charlotte Bobcats
Milwaukee Bucks
New York Knicks
Houston Rockets
Philadelphia 76Ers
Cleveland Cavaliers
New Jersey Nets
Minnesota Timberwolves
Portland Trail Blazers
San Antonio Spurs
Los Angeles Clippers
Miami Heat
