Team
Phoenix Suns
Golden State Warriors
Los Angeles Lakers
New York Knicks
Indiana Pacers
Denver Nuggets
Utah Jazz
Chicago Bulls
Dallas Mavericks
Orlando Magic
Boston Celtics
Sacramento Kings
Cleveland Cavaliers
Portland Trail Blazers
Milwaukee Bucks
Toronto Raptors
Houston Rockets
Miami Heat
Atlanta Hawks
New Jersey Nets
Minnesota Timberwolves
Philadelphia 76Ers
San Antonio Spurs
Oklahoma City Thunder
Washington Wizards
New Orleans Hornets
Los Angeles Clippers
Detroit Pistons
Memphis Grizzlies
Charlotte Bobcats
