Team
Golden State Warriors
Oklahoma City Thunder
Sacramento Kings
Houston Rockets
Boston Celtics
Portland Trail Blazers
Los Angeles Clippers
Cleveland Cavaliers
Washington Wizards
San Antonio Spurs
Charlotte Hornets
Atlanta Hawks
New Orleans Pelicans
Toronto Raptors
Minnesota Timberwolves
Dallas Mavericks
Indiana Pacers
Orlando Magic
Detroit Pistons
Denver Nuggets
Chicago Bulls
Phoenix Suns
Miami Heat
Memphis Grizzlies
Milwaukee Bucks
Brooklyn Nets
New York Knicks
Utah Jazz
Philadelphia 76Ers
Los Angeles Lakers
