Team
Phoenix Suns
Golden State Warriors
Denver Nuggets
Washington Wizards
Los Angeles Lakers
Memphis Grizzlies
Utah Jazz
Sacramento Kings
Dallas Mavericks
Milwaukee Bucks
Toronto Raptors
Seattle Supersonics
Chicago Bulls
San Antonio Spurs
New Jersey Nets
New York Knicks
Houston Rockets
Charlotte Bobcats
Cleveland Cavaliers
Minnesota Timberwolves
Detroit Pistons
Boston Celtics
Los Angeles Clippers
Indiana Pacers
New Orleans/Oklahoma City Hornets
Philadelphia 76Ers
Orlando Magic
Miami Heat
Portland Trail Blazers
Atlanta Hawks
