Team
Golden State Warriors
Indiana Pacers
Phoenix Suns
Portland Trail Blazers
Chicago Bulls
Charlotte Hornets
Cleveland Cavaliers
Utah Jazz
Boston Celtics
Seattle Supersonics
Atlanta Hawks
New Jersey Nets
Milwaukee Bucks
Miami Heat
Sacramento Kings
San Antonio Spurs
Los Angeles Clippers
Washington Bullets
Houston Rockets
Philadelphia 76Ers
Orlando Magic
New York Knicks
Minnesota Timberwolves
Los Angeles Lakers
Denver Nuggets
Detroit Pistons
Dallas Mavericks
