Team
Golden State Warriors
Houston Rockets
New Orleans Pelicans
Toronto Raptors
Cleveland Cavaliers
Denver Nuggets
Philadelphia 76Ers
Minnesota Timberwolves
Los Angeles Clippers
Charlotte Hornets
Los Angeles Lakers
Oklahoma City Thunder
Washington Wizards
Brooklyn Nets
Milwaukee Bucks
Portland Trail Blazers
Indiana Pacers
New York Knicks
Utah Jazz
Boston Celtics
Phoenix Suns
Detroit Pistons
Miami Heat
Orlando Magic
Atlanta Hawks
Chicago Bulls
San Antonio Spurs
Dallas Mavericks
Memphis Grizzlies
Sacramento Kings
