Team
Sacramento Kings
Los Angeles Lakers
Phoenix Suns
Seattle Supersonics
Portland Trail Blazers
Indiana Pacers
Houston Rockets
Denver Nuggets
Utah Jazz
Boston Celtics
Minnesota Timberwolves
Charlotte Hornets
San Antonio Spurs
Milwaukee Bucks
Dallas Mavericks
New Jersey Nets
Washington Wizards
Toronto Raptors
Los Angeles Clippers
Detroit Pistons
Philadelphia 76Ers
Orlando Magic
Miami Heat
Vancouver Grizzlies
Golden State Warriors
Cleveland Cavaliers
New York Knicks
Atlanta Hawks
Chicago Bulls
