Team
San Antonio Spurs
Los Angeles Lakers
Cleveland Cavaliers
New York Knicks
Boston Celtics
Indiana Pacers
Phoenix Suns
Houston Rockets
Milwaukee Bucks
Philadelphia 76Ers
Detroit Pistons
Seattle Supersonics
New Jersey Nets
Denver Nuggets
Kansas City Kings
San Diego Clippers
Chicago Bulls
Washington Bullets
Atlanta Hawks
Golden State Warriors
Portland Trail Blazers
Utah Jazz
