SEASON,TEAM ID,Team,TEAM
1996,5,Chicago Bulls,CHI
1996,21,Seattle Supersonics,SEA
1996,22,Orlando Magic,ORL
1996,24,Phoenix Suns,PHO
1996,2,Boston Celtics,BOS
1996,27,San Antonio Spurs,SAS
1996,14,Los Angeles Lakers,LAL
1996,4,Charlotte Hornets,CHO
1996,7,Dallas Mavericks,DAL
1996,30,Washington Bullets,WAB
1996,11,Houston Rockets,HOU
1996,29,Utah Jazz,UTA
1996,10,Golden State Warriors,GSW
1996,26,Sacramento Kings,SAC
1996,13,Los Angeles Clippers,LAC
1996,25,Portland Trail Blazers,POR
1996,12,Indiana Pacers,IND
1996,1,Atlanta Hawks,ALT
1996,18,Minnesota Timberwolves,MIN
1996,8,Denver Nuggets,DEN
1996,28,Toronto Raptors,TOR
1996,20,New York Knicks,NYK
1996,16,Miami Heat,MIA
1996,17,Milwaukee Bucks,MIL
1996,9,Detroit Pistons,DET
1996,23,Philadelphia 76Ers,PHI
1996,3,New Jersey Nets,NJN
1996,6,Cleveland Cavaliers,CLE
1996,15,Vancouver Grizzlies,VAN
