Team
Denver Nuggets
New York Knicks
Houston Rockets
Phoenix Suns
Oklahoma City Thunder
San Antonio Spurs
Golden State Warriors
Miami Heat
Los Angeles Lakers
Minnesota Timberwolves
Dallas Mavericks
Memphis Grizzlies
Indiana Pacers
Utah Jazz
Sacramento Kings
Orlando Magic
Toronto Raptors
Philadelphia 76Ers
Los Angeles Clippers
Chicago Bulls
Washington Wizards
Detroit Pistons
Boston Celtics
Portland Trail Blazers
Cleveland Cavaliers
Atlanta Hawks
New Orleans Hornets
New Jersey Nets
Charlotte Bobcats
Milwaukee Bucks
