Team
Golden State Warriors
Los Angeles Clippers
Dallas Mavericks
Toronto Raptors
Oklahoma City Thunder
Houston Rockets
San Antonio Spurs
Cleveland Cavaliers
Portland Trail Blazers
Atlanta Hawks
Phoenix Suns
Denver Nuggets
Boston Celtics
Sacramento Kings
Chicago Bulls
New Orleans Pelicans
Washington Wizards
Detroit Pistons
Los Angeles Lakers
Memphis Grizzlies
Brooklyn Nets
Milwaukee Bucks
Minnesota Timberwolves
Indiana Pacers
Orlando Magic
Utah Jazz
Miami Heat
Charlotte Hornets
Philadelphia 76Ers
New York Knicks
