Team
Phoenix Suns
Sacramento Kings
Dallas Mavericks
Miami Heat
Boston Celtics
Washington Wizards
Toronto Raptors
Denver Nuggets
Orlando Magic
Philadelphia 76Ers
Seattle Supersonics
Los Angeles Lakers
Golden State Warriors
New York Knicks
Milwaukee Bucks
Minnesota Timberwolves
Cleveland Cavaliers
San Antonio Spurs
Los Angeles Clippers
Houston Rockets
Chicago Bulls
Charlotte Bobcats
Memphis Grizzlies
Detroit Pistons
Indiana Pacers
Utah Jazz
Portland Trail Blazers
Atlanta Hawks
New Jersey Nets
New Orleans Hornets
