Team
Denver Nuggets
Houston Rockets
Oklahoma City Thunder
San Antonio Spurs
Miami Heat
Los Angeles Lakers
Golden State Warriors
Dallas Mavericks
Los Angeles Clippers
Sacramento Kings
New York Knicks
Milwaukee Bucks
Utah Jazz
Atlanta Hawks
Portland Trail Blazers
Toronto Raptors
Brooklyn Nets
Cleveland Cavaliers
Minnesota Timberwolves
Boston Celtics
Phoenix Suns
Detroit Pistons
Orlando Magic
New Orleans Hornets
Indiana Pacers
Charlotte Bobcats
Memphis Grizzlies
Washington Wizards
Chicago Bulls
Philadelphia 76Ers
